Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season
Brock Boeser,23,VAN,RW,56,23,26,49,-3,16,5.9,14,8,1,1,20,6,0,141,16.3,1082,19:19,20,32,8,14,36.4,boesebr01,20-21
Zach Bogosian,30,TOR,D,45,0,4,4,7,49,1.2,0,0,0,0,4,0,0,36,0.0,654,14:32,31,67,0,0,,bogosza01,20-21
Nick Bonino,32,MIN,C,55,10,16,26,0,26,2.2,7,3,0,2,14,2,0,66,15.2,817,14:51,50,11,365,326,52.8,boninni01,20-21
Adam Boqvist,20,CHI,D,35,2,14,16,-7,14,1.9,1,1,0,0,7,7,0,39,5.1,595,16:59,29,29,0,0,,boqviad01,20-21
Jesper Boqvist,22,NJD,C,28,4,3,7,-5,2,0.4,4,0,0,1,3,0,0,34,11.8,312,11:09,10,15,28,45,38.4,boqvije01,20-21
William Borgen,24,BUF,D,10,0,0,0,-4,4,-0.1,0,0,0,0,0,0,0,7,0.0,163,16:16,14,30,0,0,,borgewi01,20-21
Andreas Borgman,25,TBL,D,7,0,2,2,-2,4,0.1,0,0,0,0,2,0,0,7,0.0,84,11:58,3,10,0,0,,borgman01,20-21
Mark Borowiecki,31,NSH,D,22,0,1,1,-2,38,0.2,0,0,0,0,1,0,0,18,0.0,301,13:41,37,54,0,0,,borowma01,20-21
Robert Bortuzzo,31,STL,D,40,1,4,5,-3,47,0.8,1,0,0,1,4,0,0,31,3.2,567,14:10,49,85,0,0,,borturo01,20-21
Evan Bouchard,21,EDM,D,14,2,3,5,-2,2,0.8,1,1,0,0,3,0,0,38,5.3,208,14:50,11,11,0,0,,bouchev01,20-21
Madison Bowey,25,CHI,D,2,0,1,1,1,0,0.2,0,0,0,0,1,0,0,0,,22,11:09,1,4,0,0,,boweyma01,20-21
Travis Boyd,27,TOT,C,39,5,5,10,-5,2,0.6,4,1,0,0,5,0,0,23,21.7,418,10:44,15,18,75,85,46.9,boydtr01,20-21
Tyler Bozak,34,STL,C,31,5,12,17,-3,10,1.3,2,1,2,0,8,3,1,35,14.3,462,14:55,20,17,217,165,56.8,bozakty01,20-21
Erik Brännström,21,OTT,D,30,2,11,13,3,25,2.2,1,1,0,0,9,2,0,42,4.8,491,16:21,18,26,0,0,,branner01,20-21
Derick Brassard,33,ARI,C,53,8,12,20,-10,12,1.4,4,4,0,1,10,2,0,67,11.9,784,14:48,5,80,229,206,52.6,brassde01,20-21
Jesper Bratt,22,NJD,W,46,7,23,30,4,8,2.7,5,2,0,1,16,6,1,101,6.9,740,16:05,18,31,3,6,33.3,brattje01,20-21
Justin Braun,33,PHI,D,53,1,5,6,0,18,1.4,1,0,0,0,5,0,0,59,1.7,982,18:32,73,78,0,0,,braunju01,20-21
Guillaume Brisebois,23,VAN,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,12,11:31,3,0,0,0,,brisegu01,20-21
T.J. Brodie,30,TOR,D,56,1,13,14,23,12,3.8,1,0,0,0,10,3,0,48,2.1,1207,21:33,84,34,0,0,,broditj01,20-21
Jonas Brodin,27,MIN,D,53,9,14,23,2,18,4.2,8,1,0,2,13,1,0,79,11.4,1189,22:26,99,35,0,0,,brodijo01,20-21
Jonny Brodzinski,27,NYR,C,5,1,0,1,0,4,0.1,1,0,0,0,0,0,0,7,14.3,57,11:20,2,4,0,1,0.0,brodzjo01,20-21
Mathias Bromé,26,DET,F,26,1,1,2,-9,8,-0.6,1,0,0,1,1,0,0,22,4.5,355,13:39,7,19,1,2,33.3,bromema01,20-21
Adam Brooks,24,TOR,C,11,4,1,5,4,0,0.8,2,1,1,0,1,0,0,10,40.0,117,10:41,2,14,7,10,41.2,brookad01,20-21
Connor Brown,27,OTT,RW,56,21,14,35,1,12,4.3,15,1,5,1,11,3,0,123,17.1,1022,18:15,30,22,12,15,44.4,brownco02,20-21
Dustin Brown,36,LAK,RW,49,17,14,31,-3,18,3.7,8,9,0,1,12,2,0,129,13.2,863,17:37,10,85,2,2,50.0,browndu01,20-21
Josh Brown,27,OTT,D,26,0,1,1,-1,30,0.3,0,0,0,0,1,0,0,8,0.0,368,14:08,40,71,0,0,,brownjo01,20-21
Logan Brown,22,OTT,C,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,10,9:40,0,0,0,4,0.0,brownlo01,20-21
Patrick Brown,28,VEG,C,4,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,5,0.0,36,9:06,2,7,16,7,69.6,brownpa02,20-21
Jacob Bryson,23,BUF,D,38,1,8,9,-1,12,2.1,1,0,0,0,5,1,2,24,4.2,724,19:03,43,32,0,0,,brysoja01,20-21
Pavel Buchnevich,25,NYR,LW,54,20,28,48,12,42,5.7,16,1,3,2,20,7,1,120,16.7,1012,18:44,29,49,4,14,22.2,buchnpa01,20-21
Connor Bunnaman,22,PHI,F,18,0,1,1,-6,2,-0.5,0,0,0,0,1,0,0,15,0.0,208,11:34,6,31,56,48,53.8,bunnaco01,20-21
Michael Bunting,25,ARI,LW,21,10,3,13,-1,12,1.8,7,3,0,1,3,0,0,38,26.3,351,16:42,1,28,7,5,58.3,buntimi01,20-21
André Burakovsky,25,COL,LW,53,19,25,44,4,10,5.1,15,4,0,3,15,10,0,102,18.6,800,15:06,16,22,2,2,50.0,burakan01,20-21
Brent Burns,35,SJS,D,56,7,22,29,-12,36,4.2,5,2,0,1,17,4,1,138,5.1,1463,26:08,94,31,0,0,,burnsbr01,20-21
Kyle Burroughs,25,COL,D,5,0,1,1,1,5,0.2,0,0,0,0,1,0,0,3,0.0,50,10:05,2,10,0,0,,burroky01,20-21
Will Butcher,26,NJD,D,23,1,10,11,-3,2,1.3,1,0,0,0,8,2,0,37,2.7,438,19:02,28,7,0,0,,butchwi01,20-21
Quinton Byfield,18,LAK,C,6,0,1,1,1,2,0.0,0,0,0,0,1,0,0,9,0.0,90,15:01,3,3,26,40,39.4,byfiequ01,20-21
Bowen Byram,19,COL,D,19,0,2,2,1,23,0.5,0,0,0,0,2,0,0,21,0.0,333,17:31,13,33,0,0,,byrambo01,20-21
Paul Byron,31,MTL,LW,46,5,11,16,5,12,1.4,4,0,1,1,11,0,0,44,11.4,591,12:51,22,116,11,15,42.3,byronpa01,20-21
Nicholas Caamano,22,DAL,RW,24,0,1,1,-7,17,-0.5,0,0,0,0,1,0,0,33,0.0,224,9:21,8,41,1,0,100.0,caamani01,20-21
Drake Caggiula,26,TOT,LW,38,3,7,10,-6,19,0.4,3,0,0,0,7,0,0,46,6.5,471,12:24,9,64,5,8,38.5,caggidr01,20-21
