Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
D,3,0.01,0.11,0.12,0.04,0.78,1,8,9,3,41,0,50,18,9,39.1,46.9,-7.8,-0.6,3.1,2.6,,emelial01,17-18
LW,4,0.13,0.27,0.4,0.14,1.0,4,8,12,4,21,5,14,0,2,15.2,12.6,2.6,0.6,0.5,1.1,,bjorkan01,17-18
LW,27,0.49,0.27,0.76,0.33,2.54,41,22,63,28,103,42,87,1,-25,52.2,57.0,-4.8,6.5,0.3,6.7,1.0,leean01,17-18
LW,10,0.21,0.23,0.45,0.18,1.5,12,13,25,10,36,5,28,0,3,24.7,25.6,-0.9,1.6,0.9,2.6,,burakan01,17-18
C,13,0.23,0.24,0.46,0.19,2.39,16,17,33,13,48,11,58,6,-15,37.0,40.5,-3.5,2.0,0.8,2.7,2.0,athanan01,17-18
D,4,0.06,0.17,0.23,0.08,0.96,3,8,11,4,33,0,31,2,4,27.0,25.9,1.1,0.6,1.5,2.2,,borgman01,17-18
D,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.2,0.5,-0.3,0.0,0.1,0.1,,engluan01,17-18
LW,1,0.22,0.11,0.33,0.15,2.11,2,1,3,1,7,4,5,0,-2,4.7,2.8,1.9,0.2,0.0,0.3,,johnsan01,17-18
LW,1,0.11,0.0,0.11,0.06,1.56,1,0,1,1,3,0,4,1,-1,3.9,4.2,-0.3,-0.1,0.1,0.0,,martian01,17-18
D,1,0.1,0.2,0.3,0.11,0.3,1,2,3,1,4,0,4,2,2,2.1,3.8,-1.7,0.3,0.4,0.7,,mironan01,17-18
D,2,0.0,0.22,0.22,0.06,1.0,0,8,8,2,16,3,33,4,-15,19.3,23.5,-4.2,0.1,0.0,0.1,,sekeran01,17-18
D,2,0.05,0.11,0.16,0.06,1.02,2,5,7,2,21,0,29,3,-5,22.0,24.5,-2.4,0.2,0.4,0.6,,sustran01,17-18
LW/C,13,0.15,0.29,0.44,0.16,2.19,12,23,35,13,49,0,44,12,18,44.1,47.7,-3.6,1.4,2.0,3.5,,coglian01,17-18
