Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
LW,1,0.11,0.11,0.22,0.09,1.56,1,1,2,1,3,0,3,0,0.0,3.0,1.9,1.2,0.1,0.1,0.2,,greeraj01,21-22
D,19,0.25,0.69,0.93,0.32,2.95,15,40,55,19,125,35,72,20,38.0,59.6,41.4,18.1,5.1,4.5,9.5,,ekblaaa01,21-22
LW,0,0.0,0.33,0.33,0.09,1.33,0,1,1,0,2,1,2,0,-1.0,0.8,1.5,-0.7,0.0,0.0,0.0,,beckmad01,21-22
D,9,0.21,0.21,0.42,0.17,1.23,11,10,21,9,50,8,53,0,-11.0,31.8,39.2,-7.4,2.1,0.8,2.9,1.0,boqviad01,21-22
C,1,0.08,0.04,0.12,0.05,0.56,2,1,3,1,5,0,3,0,2.0,7.9,6.8,1.1,-0.1,0.3,0.2,,brookad01,21-22
LW,7,0.08,0.16,0.24,0.09,1.37,6,12,18,7,35,3,55,1,-22.0,34.7,47.6,-12.9,-0.5,0.5,-0.1,2.0,ernead01,21-22
D,23,0.14,0.81,0.95,0.29,2.03,11,60,71,22,127,47,77,15,18.0,59.0,56.2,2.9,5.9,6.0,11.8,2.0,foxad01,21-22
C,5,0.09,0.16,0.24,0.09,1.62,5,9,14,5,21,4,26,0,-9.0,21.3,28.3,-7.0,0.0,0.6,0.6,,gaudead01,21-22
C,17,0.33,0.4,0.72,0.28,2.43,18,22,40,16,71,19,54,0,-2.0,42.8,38.2,4.5,3.1,1.3,4.4,,henriad01,21-22
D,9,0.1,0.21,0.3,0.11,1.45,8,16,24,9,67,1,121,32,-23.0,54.5,64.8,-10.4,0.9,2.6,3.5,,larssad01,21-22
LW,9,0.16,0.1,0.27,0.12,1.46,13,8,21,9,40,7,63,31,1.0,36.3,39.6,-3.2,-0.1,1.4,1.3,,lowryad01,21-22
