Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season
Nicholas Abruzzese,23.0,TOR,C,2,0,2,2,1,0,0.2,0,0,0,0,1,1,0,2,0.0,18,8:59,0,1,0,0,,abruzni01,22-23
Noel Acciari,31.0,TOT,C,77,14,9,23,-4,21,1.5,14,0,0,2,7,0,2,102,13.7,1102,14:19,81,244,337,289,53.8,acciano01,22-23
Calen Addison,22.0,MIN,D,62,3,26,29,-17,22,3.2,3,0,0,1,8,18,0,77,3.9,999,16:07,38,19,0,0,,addisca01,22-23
Egor Afanasyev,22.0,NSH,LW,17,1,0,1,-7,2,-0.3,1,0,0,0,0,0,0,21,4.8,184,10:51,13,23,0,0,,afanaeg01,22-23
Andrew Agozzino,32.0,SJS,LW,4,1,2,3,-1,0,0.2,0,0,1,0,2,0,0,9,11.1,65,16:22,4,12,1,0,100.0,agozzan01,22-23
Sebastian Aho,25.0,CAR,F,75,36,31,67,8,42,8.2,26,7,3,9,22,8,1,218,16.5,1462,19:30,21,59,531,503,51.4,ahose01,22-23
Sebastian Aho,26.0,NYI,D,71,5,18,23,9,22,4.6,5,0,0,0,16,2,0,89,5.6,1191,16:46,69,38,0,0,,ahose02,22-23
Nikita Alexandrov,22.0,STL,C,28,3,4,7,0,8,0.5,3,0,0,0,4,0,0,28,10.7,275,9:49,13,28,53,97,35.3,alexani01,22-23
Alexander Alexeyev,23.0,WSH,D,32,0,5,5,-2,4,0.9,0,0,0,0,5,0,0,28,0.0,527,16:27,48,33,0,0,,alexeal01,22-23
Frédéric Allard,25.0,MTL,D,3,0,0,0,2,0,0.2,0,0,0,0,0,0,0,6,0.0,42,13:51,2,0,0,0,,allarfr01,22-23
Wade Allison,25.0,PHI,RW,60,9,6,15,-3,36,1.0,9,0,0,2,6,0,0,89,10.1,774,12:54,62,190,1,5,16.7,alliswa01,22-23
Michael Amadio,26.0,VEG,C,67,16,11,27,2,12,2.8,15,1,0,2,10,1,0,99,16.2,818,12:13,27,56,31,32,49.2,amadimi01,22-23
Nils Åman,22.0,VAN,C,68,4,12,16,-12,18,-0.1,4,0,0,1,10,0,2,50,8.0,864,12:42,41,44,181,293,38.2,amanni01,22-23
Joey Anderson,24.0,TOT,RW,38,6,3,9,-8,0,0.5,6,0,0,1,3,0,0,41,14.6,445,11:42,17,36,0,2,0.0,anderjo08,22-23
Josh Anderson,28.0,MTL,RW,69,21,11,32,-8,72,2.8,16,4,1,5,11,0,0,164,12.8,1170,16:58,49,139,19,25,43.2,anderjo05,22-23
Michael Anderson,23.0,LAK,D,77,5,15,20,20,40,5.2,4,1,0,1,14,0,1,90,5.6,1668,21:40,129,162,0,0,,andermi02,22-23
Jaret Anderson-Dolan,23.0,LAK,C,46,7,5,12,-11,2,0.6,7,0,0,2,4,1,0,54,13.0,488,10:37,29,61,23,16,59.0,anderja01,22-23
Lias Andersson,24.0,LAK,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,9,8:37,0,2,0,0,,anderli01,22-23
Rasmus Andersson,26.0,CGY,D,79,11,38,49,5,26,8.0,9,1,1,4,17,20,1,159,6.9,1903,24:05,136,50,0,0,,anderra01,22-23
Andy Andreoff,31.0,NYI,LW,3,0,1,1,-3,0,0.0,0,0,0,0,1,0,0,1,0.0,22,7:21,1,7,3,4,42.9,andrean01,22-23
Tyler Angle,22.0,CBJ,C,2,1,0,1,-2,0,0.1,1,0,0,0,0,0,0,5,20.0,23,11:29,0,2,8,10,44.4,anglety01,22-23
Mason Appleton,27.0,WPG,C,41,5,11,16,2,8,1.1,4,1,0,0,11,0,0,71,7.0,657,16:01,11,47,2,8,20.0,applema01,22-23
Josh Archibald,30.0,PIT,RW,62,6,6,12,6,43,0.9,6,0,0,0,6,0,0,71,8.5,619,9:59,28,195,1,3,25.0,archijo01,22-23
Joel Armia,29.0,MTL,RW,43,7,7,14,-7,22,0.7,6,0,1,0,6,1,0,69,10.1,643,14:57,25,37,3,6,33.3,armiajo01,22-23
Viktor Arvidsson,29.0,LAK,LW,77,26,33,59,-4,24,5.7,15,10,1,2,18,15,0,228,11.4,1316,17:06,48,25,27,40,40.3,arvidvi01,22-23
Rasmus Asplund,25.0,TOT,F,46,2,6,8,-6,4,-0.1,1,0,1,0,6,0,0,54,3.7,504,10:58,11,23,22,33,40.0,asplura01,22-23
Zach Aston-Reese,28.0,TOR,C,77,10,4,14,-6,25,0.7,10,0,0,2,4,0,0,89,11.2,841,10:56,43,163,7,7,50.0,astonza01,22-23
Andreas Athanasiou,28.0,CHI,C,81,20,20,40,-29,34,3.1,17,3,0,4,16,4,0,175,11.4,1296,16:00,44,43,81,93,46.6,athanan01,22-23
Ronald Attard,23.0,PHI,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,33,16:45,2,3,0,0,,attarro01,22-23
Nicolas Aubé-Kubel,26.0,TOT,RW,53,4,8,12,1,50,0.7,4,0,0,0,8,0,0,67,6.0,602,11:21,9,117,6,8,42.9,aubekni01,22-23
Mikael Backlund,33.0,CGY,C,82,19,37,56,24,36,5.6,13,5,1,2,27,7,3,260,7.3,1489,18:10,31,97,705,681,50.9,backlmi01,22-23
Nicklas Bäckström,35.0,WSH,C,39,7,14,21,-25,14,0.8,1,6,0,0,9,5,0,59,11.9,658,16:53,23,24,259,255,50.4,backsni02,22-23
Kevin Bahl,22.0,NJD,D,42,2,6,8,4,35,1.6,2,0,0,0,6,0,0,27,7.4,589,14:01,38,64,0,0,,bahlke01,22-23
Josh Bailey,33.0,NYI,C,64,8,17,25,3,2,1.9,8,0,0,2,14,3,0,72,11.1,969,15:08,31,11,40,56,41.7,bailejo01,22-23
Rūdolfs Balcers,25.0,TOT,LW,17,3,2,5,-1,4,0.4,3,0,0,0,2,0,0,24,12.5,173,10:12,4,7,0,2,0.0,balceru01,22-23
Alexander Barabanov,28.0,SJS,F,68,15,32,47,-30,20,3.0,12,3,0,2,22,10,0,120,12.5,1228,18:03,37,40,1,2,33.3,barabal01,22-23
Ivan Barbashev,27.0,TOT,C,82,16,29,45,1,42,3.5,14,2,0,2,25,3,1,126,12.7,1374,16:45,46,182,55,89,38.2,barbaiv01,22-23
Cole Bardreau,29.0,NYI,F,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,7,6:37,0,2,0,0,,bardrco01,22-23
Aleksander Barkov,27.0,FLA,C,68,23,55,78,10,8,7.3,14,8,1,6,32,22,1,208,11.1,1443,21:13,48,52,731,601,54.9,barkoal01,22-23
Alex Barré-Boulet,25.0,TBL,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,10,10:01,0,0,0,1,0.0,barreal01,22-23
Tyson Barrie,31.0,TOT,D,85,13,42,55,-7,36,7.0,9,4,0,1,14,27,1,163,8.0,1681,19:47,90,55,0,0,,barrity01,22-23
Justin Barron,21.0,MTL,D,39,4,11,15,-2,20,2.2,2,1,1,1,10,1,0,40,10.0,636,16:18,38,49,0,0,,barroju01,22-23
Morgan Barron,24.0,WPG,C,70,8,13,21,4,31,1.5,7,0,1,2,10,1,2,112,7.1,928,13:15,44,118,13,16,44.8,barromo01,22-23
Mathew Barzal,25.0,NYI,C,58,14,37,51,5,22,4.9,10,4,0,5,22,15,0,139,10.1,1086,18:43,34,25,104,188,35.6,barzama01,22-23
Nathan Bastian,25.0,NJD,RW,43,6,9,15,7,31,1.3,6,0,0,1,9,0,0,62,9.7,535,12:26,38,99,11,26,29.7,bastina01,22-23
Drake Batherson,24.0,OTT,C,82,22,40,62,-35,33,4.7,8,14,0,2,25,15,0,249,8.8,1526,18:36,35,115,13,25,34.2,bathedr01,22-23
Gavin Bayreuther,28.0,CBJ,D,51,2,12,14,-18,23,1.2,2,0,0,0,11,1,0,61,3.3,813,15:57,71,54,0,0,,bayrega01,22-23
Jake Bean,24.0,CBJ,D,14,1,5,6,-2,6,0.8,1,0,0,0,4,1,0,16,6.3,220,15:42,21,13,0,0,,beanja01,22-23
Ethan Bear,25.0,VAN,D,61,3,13,16,6,25,2.9,3,0,0,1,12,0,1,75,4.0,1130,18:32,82,39,0,0,,bearet01,22-23
Nathan Beaulieu,30.0,ANA,D,52,0,4,4,-23,39,-0.5,0,0,0,0,4,0,0,33,0.0,792,15:14,80,49,0,0,,beaulna01,22-23
Anthony Beauvillier,25.0,TOT,LW,82,18,22,40,-10,24,3.0,15,3,0,5,21,1,0,176,10.2,1334,16:16,30,78,3,10,23.1,beauvan01,22-23
Owen Beck,18.0,MTL,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,10,9:48,1,0,1,2,33.3,beckow01,22-23
Adam Beckman,21.0,MIN,LW,9,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,12,0.0,96,10:41,2,3,0,1,0.0,beckmad01,22-23
Pierre-Édouard Bellemare,37.0,TBL,LW,73,4,9,13,-9,34,-0.1,4,0,0,0,7,0,2,51,7.8,824,11:17,48,67,322,294,52.3,bellepi01,22-23
Kieffer Bellows,24.0,TOT,LW,28,3,0,3,-8,6,-0.1,3,0,0,1,0,0,0,32,9.4,271,9:41,10,48,3,15,16.7,belloki01,22-23
Alex Belzile,31.0,MTL,F,31,6,8,14,0,13,1.3,6,0,0,0,8,0,0,40,15.0,376,12:08,22,27,96,109,46.8,belzial01,22-23
Emil Bemström,23.0,CBJ,C,55,7,15,22,-11,6,1.4,4,3,0,0,12,3,0,95,7.4,666,12:07,21,16,7,10,41.2,bemstem01,22-23
Matthew Beniers,20.0,SEA,C,80,24,33,57,14,2,5.8,20,4,0,4,26,6,1,148,16.2,1367,17:06,48,79,409,560,42.2,beniema01,22-23
Jamie Benn,33.0,DAL,LW,82,33,45,78,23,34,9.5,18,13,2,4,27,17,1,190,17.4,1294,15:47,38,97,520,345,60.1,bennja01,22-23
Jordie Benn,35.0,TOR,D,12,1,1,2,-1,12,0.4,1,0,0,1,1,0,0,13,7.7,190,15:48,29,31,0,0,,bennjo01,22-23
Sam Bennett,26.0,FLA,C,63,16,24,40,5,54,3.5,12,4,0,3,19,5,0,193,8.3,1097,17:24,35,150,425,479,47.0,bennesa01,22-23
Matt Benning,28.0,SJS,D,77,1,23,24,-18,26,2.7,1,0,0,0,21,1,1,58,1.7,1523,19:47,125,102,0,0,,bennima01,22-23
