Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
LW,0,0.0,0.2,0.2,0.05,1.6,0,1,1,0,1,0,3,0,-2,2.5,2.5,0.0,-0.1,0.0,-0.1,,greeraj01,16-17
D,8,0.15,0.16,0.31,0.12,3.31,11,12,23,9,54,19,62,4,-23,42.2,44.8,-2.6,1.6,1.7,3.4,1.0,ekblaaa01,16-17
D,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,-1,0.6,0.6,-0.1,0.0,0.0,-0.1,,nessaa01,16-17
D,4,0.06,0.29,0.35,0.11,1.23,2,10,12,4,23,3,17,0,3,17.3,15.3,2.0,0.8,1.1,1.9,,clendad01,16-17
RW,7,0.14,0.09,0.23,0.1,1.26,11,7,18,8,29,0,24,4,9,25.9,26.0,-0.2,0.9,1.1,1.9,,crackad01,16-17
LW,2,0.12,0.0,0.12,0.06,1.54,3,0,3,2,5,1,13,0,-9,10.1,9.4,0.7,-0.2,0.0,-0.2,,ernead01,16-17
C,16,0.24,0.24,0.49,0.2,1.73,22,22,44,18,63,17,82,17,-20,40.5,44.1,-3.5,2.5,1.3,3.9,,henriad01,16-17
D,6,0.05,0.19,0.24,0.08,1.08,4,16,20,7,77,0,74,19,21,61.7,56.3,5.5,0.6,5.0,5.5,,larssad01,16-17
C,12,0.18,0.17,0.35,0.15,1.49,17,15,32,13,57,18,66,26,1,36.5,35.6,0.9,1.2,1.2,2.4,,lowryad01,16-17
D,3,0.03,0.1,0.13,0.04,0.83,2,9,11,4,51,0,66,18,4,47.9,42.6,5.2,-0.4,3.7,3.3,,mcquaad01,16-17
D,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,2,0,-1,1.0,2.0,-0.9,-0.1,0.0,-0.1,,pardyad01,16-17
D,4,0.07,0.16,0.23,0.08,0.91,3,8,11,4,27,0,34,2,-5,23.0,29.8,-6.8,0.5,0.8,1.4,,pelecad01,16-17
LW,2,0.08,0.16,0.24,0.09,1.28,2,4,6,2,10,4,11,2,-3,9.0,6.5,2.5,0.0,0.3,0.4,1.0,kempead01,16-17
C,6,0.08,0.21,0.3,0.1,1.34,6,14,20,7,36,3,37,2,-2,25.8,33.1,-7.3,0.5,0.6,1.1,1.0,quineal01,16-17
D,13,0.11,0.37,0.48,0.16,1.76,10,33,43,14,80,23,90,15,-17,53.9,45.3,8.6,3.1,3.7,6.8,,martial01,16-17
C,20,0.34,0.51,0.85,0.32,2.33,23,34,57,22,71,20,44,5,13,37.4,31.5,6.0,4.8,2.1,6.9,3.0,barkoal01,16-17
RW,3,0.27,0.2,0.47,0.2,2.0,4,3,7,3,7,2,6,0,-1,7.3,6.1,1.2,0.6,0.2,0.8,1.0,hemskal01,16-17
