Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
LW,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.3,-1.3,0.0,0.0,0.0,,greeraj01,20-21
D,9,0.31,0.31,0.63,0.26,2.89,17,16,33,14,56,22,38,10,5.0,28.6,19.3,9.3,2.4,2.0,4.4,,ekblaaa01,20-21
D,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,1.1,0.5,0.6,0.0,0.0,0.0,,nessaa01,20-21
D,5,0.06,0.4,0.46,0.14,1.11,3,21,24,7,31,13,26,1,-7.0,20.7,21.8,-1.1,1.1,0.7,1.9,,boqviad01,20-21
C,2,0.36,0.09,0.45,0.21,0.91,6,1,7,4,8,1,3,0,4.0,3.8,2.3,1.5,0.6,0.3,0.8,,brookad01,20-21
LW,8,0.24,0.2,0.44,0.19,1.58,17,13,30,13,28,7,20,0,-1.0,19.1,19.6,-0.5,1.5,0.8,2.2,3.0,ernead01,20-21
D,14,0.09,0.76,0.85,0.25,1.85,8,63,71,22,88,31,50,12,19.0,39.3,35.3,4.0,3.7,4.1,7.8,,foxad01,20-21
C,4,0.13,0.15,0.28,0.11,1.65,8,9,17,7,15,4,24,0,-15.0,17.5,20.6,-3.1,0.5,-0.1,0.4,,gaudead01,20-21
C,9,0.27,0.2,0.47,0.2,1.71,18,13,31,13,32,5,41,7,-8.0,23.0,26.2,-3.1,1.5,0.6,2.1,,henriad01,20-21
D,4,0.07,0.11,0.18,0.07,0.93,6,9,15,6,33,0,44,12,2.0,30.3,33.7,-3.4,0.1,2.6,2.7,,larssad01,20-21
LW,9,0.19,0.27,0.46,0.18,1.54,15,21,36,14,32,2,39,14,6.0,18.6,27.5,-8.9,1.2,1.2,2.4,,lowryad01,20-21
D,5,0.07,0.18,0.25,0.09,1.46,6,15,21,7,50,0,51,17,15.0,48.1,33.4,14.7,0.5,4.2,4.7,,pelecad01,20-21
C,0,0.0,0.33,0.33,0.09,1.0,0,2,2,1,2,0,0,0,2.0,1.0,1.9,-0.8,0.0,0.1,0.1,,ruzicad01,20-21
LW,12,0.25,0.27,0.52,0.21,2.27,21,22,43,17,51,25,48,4,-18.0,23.1,30.8,-7.7,1.8,0.7,2.5,0.0,kempead01,20-21
D,11,0.17,0.43,0.6,0.21,1.6,14,34,48,17,72,9,49,9,26.0,49.8,39.7,10.1,2.8,4.4,7.2,,martial01,20-21
D,0,0.0,0.0,0.0,0.0,0.33,0,0,0,0,0,0,1,0,-1.0,0.6,2.3,-1.7,0.0,0.0,0.0,,regulal01,20-21
C,23,0.52,0.64,1.16,0.46,3.52,40,48,88,35,77,28,53,15,12.0,42.8,22.5,20.3,5.9,1.4,7.3,1.0,barkoal01,20-21
C,1,0.11,0.11,0.22,0.09,1.67,2,1,3,1,5,0,5,1,1.0,3.9,4.5,-0.6,0.0,0.1,0.1,,heponal01,20-21
F,2,0.2,0.0,0.2,0.11,1.73,5,0,5,3,10,4,7,0,0.0,6.4,5.1,1.2,0.0,0.3,0.2,1.0,barreal01,20-21
F,0,0.0,0.5,0.5,0.14,1.5,0,1,1,0,1,0,2,0,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,,belzial01,20-21
D,1,0.0,0.23,0.23,0.06,0.31,0,4,4,1,5,0,8,2,-1.0,2.8,5.6,-2.8,0.1,0.3,0.4,,biegaal01,20-21
RW,7,0.2,0.16,0.36,0.15,1.44,14,10,24,10,40,27,22,0,-10.0,11.2,14.5,-3.3,1.0,0.2,1.2,,chiasal01,20-21
