ShiftLength,CorsiForRelES,GFPer60,GAPer60,ATOIPP,PPCorsiPercRel,PPGFPer60,PPGAPer60,ATOISH,CorsiForRelSH,SHFPPer60,SHGAPer60,UID,season
0:32,-2.4,1.5,3.0,0:00,,0.0,0.0,0:00,-20.0,,,andrean01,19-20
0:44,-2.9,2.2,2.6,0:01,13.6,0.0,0.0,3:12,-7.0,2.0,7.3,greenan01,19-20
0:28,-2.8,2.7,2.7,0:00,,0.0,0.0,0:02,-22.1,0.0,0.0,angelan01,19-20
0:41,-0.3,2.9,3.5,1:46,-5.5,7.0,0.5,0:38,8.4,1.1,4.3,beauvan01,19-20
0:42,-3.2,2.8,2.5,0:03,14.3,0.0,0.0,2:11,-2.4,1.6,8.7,bitetan01,19-20
0:42,0.8,3.8,2.0,0:57,1.0,7.4,0.0,2:48,-6.8,0.6,9.0,cirelan01,19-20
0:31,-0.9,2.9,3.2,2:34,1.6,5.3,1.1,0:55,8.9,1.6,7.3,duclaan01,19-20
0:33,10.9,3.3,3.7,3:03,8.4,6.4,1.8,0:00,-13.6,0.0,7.9,manthan01,19-20
0:30,-5.0,0.0,14.4,0:00,,,,0:00,,,,richaan01,19-20
0:40,0.1,3.3,3.2,1:18,-7.6,9.9,0.0,0:00,17.8,0.0,0.0,roussan01,19-20
0:45,-6.2,2.5,1.7,0:00,,,,1:23,-21.4,0.0,12.3,blidhan01,19-20
0:42,-4.2,3.9,2.6,0:00,,,,0:22,-8.3,0.0,0.0,lindhan01,19-20
0:39,-3.7,3.1,3.5,0:05,-26.4,0.0,0.0,2:29,-7.8,0.3,5.3,stralan01,19-20
0:33,-2.8,1.7,0.0,0:00,,,,0:00,,0.0,0.0,wedinan01,19-20
0:35,-2.9,3.2,1.9,0:02,-36.3,0.0,0.0,0:16,10.5,0.0,10.3,suomean01,19-20
0:46,-0.2,3.0,2.7,2:52,8.2,6.5,0.3,1:47,-4.9,0.5,9.1,kopitan01,19-20
0:36,-0.8,2.0,3.3,1:34,3.9,5.4,1.5,0:14,-3.9,0.0,10.4,anisiar01,19-20
1:05,6.3,4.6,2.5,3:43,9.3,9.1,0.9,0:01,9.7,0.0,0.0,panarar01,19-20
0:34,-2.0,2.3,2.6,0:10,3.2,6.7,0.0,2:25,-4.7,0.7,8.6,lehkoar01,19-20
0:42,-11.9,0.0,0.0,0:00,,,,0:00,,,,sautnas01,19-20
0:32,-5.5,1.7,0.8,1:13,15.4,6.2,0.0,0:00,,,,czarnau01,19-20
0:36,-37.7,0.0,0.0,0:00,,,,0:00,,,,poganau01,19-20
0:51,2.3,1.4,1.9,0:04,-1.5,18.7,0.0,0:02,10.6,0.0,0.0,wagneau01,19-20
0:38,-12.3,2.3,3.7,0:03,11.9,0.0,0.0,1:04,-0.3,2.9,9.5,watsoau01,19-20
0:46,3.2,3.8,2.7,3:11,-1.8,9.0,1.0,0:02,34.3,0.0,0.0,matthau01,19-20
0:35,1.9,2.6,2.7,0:39,-2.2,6.8,3.4,2:25,-5.5,0.4,3.6,goodrba01,19-20
0:32,-0.5,2.3,1.7,0:18,-10.8,0.0,0.0,0:00,,0.0,0.0,haytoba01,19-20
0:40,6.1,0.0,2.6,0:00,,,,1:35,-14.7,0.0,27.2,malenbe01,19-20
0:51,-0.5,2.8,2.7,0:16,-2.7,0.0,0.0,3:02,-3.4,1.1,8.3,chiarbe01,19-20
0:46,3.6,2.5,2.4,0:07,-18.7,6.3,0.0,1:24,2.3,0.7,6.6,huttobe01,19-20
0:53,-14.1,3.6,0.0,0:00,,0.0,0.0,0:00,,,,streebe01,19-20
0:51,3.1,2.8,3.3,0:25,1.3,9.9,1.4,2:39,6.4,1.9,5.6,colembl01,19-20
0:37,-1.0,1.6,2.3,0:09,6.5,6.7,0.0,2:03,3.5,1.0,6.9,comeabl01,19-20
0:47,2.3,1.7,2.3,1:01,-4.1,6.3,0.0,1:06,7.3,3.4,7.6,lizotbl01,19-20
0:43,4.9,2.9,2.8,3:15,5.8,9.3,0.8,0:39,4.5,2.4,13.4,wheelbl01,19-20
0:31,1.9,3.0,3.7,3:41,5.6,7.8,0.9,0:24,2.1,0.0,10.5,horvabo01,19-20
0:30,4.8,2.8,2.1,2:28,-5.5,2.0,1.0,0:00,,0.0,0.0,ryanbo01,19-20
0:46,-5.9,4.4,0.0,0:00,,,,0:38,22.9,0.0,0.0,nievecr01,19-20
0:32,-3.0,2.0,2.8,1:46,-2.1,5.8,0.4,1:47,0.8,0.5,4.9,jennebo01,19-20
0:34,0.7,2.5,2.9,2:15,6.1,5.3,0.4,0:03,22.3,0.0,0.0,huntbr01,19-20
1:01,7.3,4.5,2.9,3:41,1.2,10.4,1.4,1:34,5.8,1.5,5.1,marchbr03,19-20
0:40,-7.4,2.1,2.4,0:02,-17.0,5.0,5.0,2:33,-1.6,1.2,8.0,richabr02,19-20
0:40,-2.5,2.9,4.8,0:07,6.1,0.0,0.0,2:33,-9.5,0.0,0.0,skjeibr01,19-20
0:40,4.1,2.7,3.3,2:55,-3.7,5.5,0.9,0:02,12.5,0.0,11.5,tkachbr01,19-20
0:33,0.2,2.7,2.0,0:03,-15.8,0.0,0.0,3:06,-1.8,0.3,6.3,carlobr01,19-20
0:31,-4.5,2.9,4.3,0:00,,0.0,0.0,0:13,-18.2,0.0,0.0,davidbr01,19-20
0:41,-2.3,5.1,5.1,0:00,,,,0:00,,,,hagelbr01,19-20
0:39,-2.0,0.6,1.8,0:00,,0.0,0.0,0:00,92.2,,,mannibr01,19-20
0:45,-2.8,2.9,2.2,0:39,-12.2,4.8,4.8,1:09,-0.3,2.8,8.4,montobr01,19-20
0:50,-11.0,1.0,2.1,1:45,2.2,0.0,2.1,0:00,,0.0,0.0,pirribr01,19-20
0:37,3.5,3.0,3.1,1:14,-0.9,2.3,0.0,1:45,6.0,1.2,7.2,saadbr01,19-20
0:37,-6.5,2.4,2.2,0:51,-1.3,6.2,0.0,2:22,-0.3,0.0,6.9,suttebr03,19-20
0:43,-1.8,1.9,2.3,0:05,14.6,6.5,0.0,2:11,2.2,1.2,6.0,tanevbr01,19-20
0:49,-3.5,2.7,2.8,0:03,8.0,9.4,0.0,3:05,0.0,1.6,8.5,mcnabbr01,19-20
0:54,3.2,4.6,2.8,3:16,5.4,7.5,1.3,0:03,-3.1,0.0,0.0,pointbr01,19-20
0:51,0.1,2.9,2.5,2:51,-1.6,10.1,1.1,0:13,8.3,0.0,2.7,schenbr01,19-20
0:40,0.2,3.4,2.7,0:02,-33.1,0.0,0.0,0:50,7.7,1.7,6.7,coburbr01,19-20
0:42,8.1,4.2,3.2,2:03,-4.0,6.1,1.4,0:01,-15.3,0.0,18.4,gallabr01,19-20
0:59,-26.9,6.5,0.0,0:00,,,,0:00,,,,gauncbr01,19-20
0:50,-3.6,1.8,2.7,0:05,-38.7,0.0,0.0,0:46,12.9,2.3,9.4,guhlebr01,19-20
0:41,1.2,2.4,2.2,0:26,-4.9,4.5,2.2,0:00,,0.0,0.0,leipsbr01,19-20
0:43,-4.6,1.8,3.4,1:18,-11.2,6.2,0.8,0:38,9.8,3.1,3.1,lemiebr01,19-20
0:49,19.7,0.0,0.0,1:13,,,,0:00,,,,perlibr01,19-20
0:45,-4.0,1.2,2.8,0:03,-5.9,0.0,0.0,2:03,2.3,0.9,7.5,smithbr05,19-20
0:52,2.8,2.4,2.7,0:02,13.0,0.0,0.0,2:07,1.9,1.3,4.2,dillobr01,19-20
0:52,16.0,2.8,1.9,1:06,25.8,0.0,0.0,0:00,,0.0,0.0,menelbr01,19-20
0:41,-1.4,2.9,3.7,2:46,-1.0,5.9,1.4,2:28,-0.9,0.3,3.3,burnsbr01,19-20
0:41,-6.0,2.4,2.3,0:43,8.0,4.2,0.0,1:31,2.3,2.5,12.4,seabrbr01,19-20
0:56,3.5,2.8,2.7,1:18,0.0,5.4,0.7,0:00,-14.2,0.0,0.0,connobr01,19-20
0:43,-7.8,2.1,3.1,0:17,-15.7,11.0,0.0,2:00,-3.7,1.3,9.3,howdebr01,19-20
0:36,1.8,2.6,2.6,0:03,-6.0,0.0,0.0,0:12,5.1,0.0,4.8,kulakbr01,19-20
0:35,-2.2,2.9,2.7,0:17,-8.3,3.3,3.3,3:15,-7.0,0.9,5.3,pescebr01,19-20
0:38,1.3,2.5,2.7,0:30,-17.9,8.4,0.0,0:00,,0.0,0.0,ritchbr01,19-20
1:10,-2.5,0.0,3.0,0:00,,,,0:00,,,,seneybr01,19-20
0:41,-6.7,2.9,3.3,0:53,0.7,1.8,1.8,0:30,1.8,0.0,8.6,boylebr01,19-20
0:45,5.1,4.6,2.8,0:39,-8.8,3.2,0.0,2:07,3.5,3.0,6.0,dumoubr01,19-20
0:40,-11.7,0.4,3.6,0:03,6.6,0.0,0.0,0:41,-14.8,0.0,11.4,gibbobr02,19-20
0:45,-0.6,1.5,0.5,0:00,,0.0,0.0,1:21,6.1,0.0,15.2,lashobr01,19-20
0:36,6.7,3.9,3.3,4:07,2.8,7.1,1.0,0:01,19.8,0.0,0.0,boesebr01,19-20
0:48,-2.9,2.1,2.7,0:02,-8.3,17.7,0.0,2:25,-6.2,0.7,6.0,mcginbr01,19-20
0:36,-1.7,3.7,3.2,2:01,-1.0,6.5,1.6,1:34,-3.0,0.0,5.7,nelsobr01,19-20
0:39,10.1,3.9,1.3,1:33,2.7,0.0,0.0,1:20,2.0,0.0,6.4,littlbr01,19-20
0:39,0.2,4.3,3.2,2:47,4.4,10.5,0.8,1:38,4.9,1.3,5.3,rustbr01,19-20
0:41,-2.8,1.2,1.2,0:00,,,,0:31,-12.9,0.0,0.0,robinbu01,19-20
0:37,-18.6,0.0,9.3,0:00,,,,0:00,,,,frankcl01,19-20
0:39,-6.0,2.1,1.5,0:02,12.0,0.0,0.0,2:13,0.4,2.2,5.9,cluttca01,19-20
0:41,-5.9,1.6,2.4,0:00,17.3,0.0,0.0,0:46,4.6,1.9,3.8,fleurca01,19-20
0:57,2.2,3.8,2.9,3:43,3.8,8.0,0.8,0:06,11.6,0.0,2.4,makarca01,19-20
0:52,2.1,2.8,2.9,0:05,13.7,4.7,0.0,0:02,39.8,0.0,0.0,jonesca01,19-20
0:42,0.7,2.5,2.2,1:47,-0.1,5.8,2.1,1:34,0.8,2.2,7.7,jarnkca01,19-20
0:56,-1.6,2.3,1.7,0:35,-72.4,0.0,0.0,0:01,39.7,0.0,0.0,rosenca01,19-20
0:54,-1.7,2.4,1.3,0:06,15.1,0.0,0.0,2:41,4.3,0.8,5.5,dehaaca01,19-20
0:40,-7.5,0.0,0.0,0:00,,,,0:00,,,,thurkca01,19-20
0:49,0.3,2.6,2.3,2:16,-2.5,5.5,1.1,1:34,2.3,0.0,8.0,atkinca01,19-20
0:46,4.9,2.6,2.7,2:33,-2.4,3.9,1.1,0:40,0.8,3.4,9.1,fowleca01,19-20
0:40,0.7,7.0,3.5,0:00,,,,0:30,,0.0,0.0,gauncca01,19-20
0:37,-5.2,0.0,6.5,0:00,,,,0:35,0.0,0.0,0.0,hugheca01,19-20
0:49,1.2,0.9,2.0,0:04,12.8,0.0,0.0,0:59,-2.2,0.0,0.0,dahlsca01,19-20
0:45,1.5,3.4,2.6,0:26,-66.1,0.0,0.0,0:00,,0.0,0.0,grundca01,19-20
0:35,-3.6,2.6,1.8,0:01,,0.0,0.0,1:52,-3.9,1.8,7.2,gunnaca01,19-20
0:37,2.2,3.1,2.3,0:00,14.4,0.0,0.0,2:55,-0.8,1.0,4.5,hagelca01,19-20
0:44,-2.6,2.5,2.0,2:09,1.6,7.5,0.4,0:55,-1.0,0.0,3.6,soderca01,19-20
0:45,-9.8,0.4,1.5,0:02,12.4,0.0,0.0,0:15,-22.5,0.0,47.0,twaryca01,19-20
0:43,-3.6,2.9,1.7,0:02,14.3,20.2,0.0,1:08,6.4,0.8,4.1,soucyca01,19-20
0:39,-7.6,2.4,2.3,0:05,-16.0,0.0,0.0,2:22,-1.8,2.1,8.2,rowneca01,19-20
0:40,2.1,2.3,3.6,0:14,6.1,14.9,0.0,0:01,20.7,0.0,0.0,verhaca01,19-20
0:42,-0.4,2.0,1.4,0:02,11.4,0.0,0.0,2:20,0.4,2.5,7.4,cizikca01,19-20
0:35,-6.0,2.1,2.8,1:46,-8.0,3.1,1.0,0:00,,0.0,0.0,mitteca01,19-20
0:30,-5.3,2.2,2.7,0:04,-24.8,0.0,0.0,1:52,0.5,2.7,2.7,paquece01,19-20
0:27,-1.1,2.4,2.1,0:01,13.8,0.0,0.0,1:16,5.4,1.1,5.7,ruhwech01,19-20
0:51,1.6,4.1,1.8,0:40,-2.3,6.9,0.0,1:12,9.6,2.7,10.7,stephch02,19-20
0:40,-6.1,0.4,3.5,1:03,3.4,0.0,3.2,0:00,,0.0,0.0,hudonch01,19-20
0:46,1.0,2.7,2.1,1:52,-1.3,5.9,0.9,0:54,12.1,1.6,2.4,coylech01,19-20
0:44,0.4,3.1,2.1,1:20,0.7,5.3,0.7,1:49,2.7,1.7,3.8,mcavoch01,19-20
0:41,-31.8,0.0,0.0,0:44,33.3,,,0:00,,,,deleoch01,19-20
0:45,3.3,3.7,2.7,3:28,8.6,9.1,0.8,0:01,4.0,0.0,16.2,kreidch01,19-20
0:49,-18.2,2.0,4.9,0:01,,0.0,0.0,0:01,77.3,0.0,0.0,stewach02,19-20
0:50,-3.3,3.3,3.1,0:04,-15.9,5.9,0.0,3:24,-6.9,0.8,7.2,tanevch01,19-20
0:33,-0.7,2.9,3.4,0:56,-2.1,3.5,0.9,2:19,-3.0,2.0,7.8,tiernch01,19-20
0:37,-6.9,1.8,2.6,0:04,-26.2,0.0,0.0,1:28,-8.1,1.1,7.1,wagnech01,19-20
0:38,7.9,2.7,2.3,2:10,14.9,5.0,0.0,1:13,-2.1,0.0,8.7,djoosch01,19-20
0:54,4.2,3.4,2.7,2:43,-2.2,5.2,0.9,0:17,5.1,0.0,2.9,dvorach01,19-20
