CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
11,7,61.1,-6.7,6,6,50.0,-17.2,0.0,100.0,100.0,100.0,0.0,8:34,1,0,0.1,2.0,50.0,abbotsp01,16-17
685,790,46.4,-2.1,523,593,46.9,-1.4,5.3,91.1,96.4,46.3,53.7,13:07,15,18,-3.8,160.0,65.0,abdelju01,16-17
138,159,46.5,-6.2,104,117,47.1,-4.9,6.6,92.1,98.7,48.3,51.7,12:05,5,2,-1.5,24.0,50.0,abergpo01,16-17
230,246,48.3,-6.0,170,188,47.5,-7.7,7.8,95.8,103.6,40.9,59.1,10:01,10,4,-1.0,43.0,55.8,acciano01,16-17
86,64,57.3,12.8,69,47,59.5,10.5,5.8,90.9,96.7,60.4,39.6,11:30,1,4,2.0,26.0,65.4,agostke01,16-17
1126,990,53.2,2.7,842,774,52.1,2.4,7.6,91.2,98.8,54.7,45.3,14:15,40,57,6.4,362.0,59.1,ahose01,16-17
1135,1318,46.3,-7.5,852,982,46.5,-6.7,10.3,93.9,104.2,45.9,54.1,16:42,17,52,-3.4,162.0,50.0,alzneka01,16-17
779,882,46.9,-4.1,590,657,47.3,-3.9,9.5,93.8,103.2,45.8,54.2,11:44,25,16,-2.0,193.0,61.7,anderjo05,16-17
15,15,50.0,-2.2,6,9,40.0,-10.0,0.0,80.0,80.0,60.0,40.0,16:40,0,0,0.2,1.0,0.0,anderra01,16-17
358,304,54.1,-1.1,253,224,53.0,-2.3,4.0,93.8,97.8,58.5,41.5,10:21,5,10,2.3,81.0,46.9,andrean01,16-17
550,513,51.7,-2.1,398,372,51.7,-0.7,8.1,92.1,100.2,53.2,46.8,12:44,19,9,0.5,,,andrisv01,16-17
856,865,49.7,-0.5,615,662,48.2,-1.6,11.9,92.0,103.9,65.1,34.9,14:38,35,16,-4.9,191.0,55.0,anisiar01,16-17
87,106,45.1,-2.8,66,76,46.5,-0.9,11.1,94.3,105.5,50.0,50.0,10:20,0,2,-0.3,24.0,45.8,archijo01,16-17
602,696,46.4,-4.6,456,532,46.2,-5.4,6.2,92.6,98.8,42.7,57.3,12:24,42,19,-2.4,195.0,56.9,armiajo01,16-17
1275,1042,55.0,5.5,975,816,54.4,5.2,9.6,91.0,100.6,55.8,44.2,14:02,37,26,7.7,411.0,59.6,arvidvi01,16-17
640,690,48.1,-1.0,500,534,48.4,-0.5,9.0,90.9,99.9,62.1,37.9,11:43,17,19,-3.9,236.0,50.8,athanan01,16-17
1153,1210,48.8,-2.0,828,899,47.9,-3.4,8.9,93.3,102.2,45.3,54.7,13:59,36,21,-5.7,399.0,60.2,atkinca01,16-17
78,67,53.8,3.6,66,55,54.5,2.8,5.7,93.0,98.7,62.3,37.7,15:29,1,2,0.4,10.0,80.0,austibr01,16-17
293,283,50.9,7.0,227,230,49.7,5.5,6.8,94.1,100.9,66.3,33.7,13:31,7,13,-0.9,87.0,62.1,auvityo01,16-17
1149,888,56.4,2.2,873,647,57.4,2.8,8.7,89.2,97.9,50.3,49.7,14:18,28,35,9.1,285.0,61.1,backeda01,16-17
1120,918,55.0,6.2,834,683,55.0,6.9,9.2,89.9,99.1,36.3,63.7,13:14,57,49,4.5,338.0,58.3,backlmi01,16-17
1144,1118,50.6,-1.1,873,841,50.9,0.0,10.2,92.4,102.6,53.0,47.0,14:30,61,54,0.6,268.0,60.1,backsni02,16-17
774,898,46.3,-2.7,585,680,46.2,-1.2,10.0,90.6,100.7,50.0,50.0,13:41,39,23,-3.7,185.0,61.6,baertsv01,16-17
46,48,48.9,1.7,40,28,58.8,10.3,0.0,94.1,94.1,66.7,33.3,7:60,1,0,1.8,12.0,83.3,baileca01,16-17
1246,1212,50.7,4.4,912,877,51.0,4.5,10.5,90.1,100.6,62.1,37.9,15:10,54,61,5.2,304.0,56.9,bailejo01,16-17
283,371,43.3,-3.5,213,276,43.6,-3.6,7.2,94.7,101.9,42.5,57.5,10:38,8,10,-4.5,75.0,48.0,baileju01,16-17
95,118,44.6,-5.1,71,97,42.3,-6.9,10.0,94.7,104.7,54.1,45.9,8:38,1,1,-0.9,21.0,81.0,baptini01,16-17
271,292,48.1,-0.5,203,213,48.8,-0.9,9.7,94.8,104.5,44.0,56.0,10:52,9,3,2.0,41.0,48.8,barbaiv01,16-17
17,27,38.6,-14.1,13,19,40.6,-8.8,0.0,100.0,100.0,64.7,35.3,8:35,0,0,0.3,3.0,66.7,barberi01,16-17
917,835,52.3,0.9,663,645,50.7,0.3,6.9,92.2,99.1,54.4,45.6,15:54,16,33,-1.9,,,barbema01,16-17
911,728,55.6,5.2,704,594,54.2,4.1,9.5,91.7,101.2,57.2,42.8,15:12,49,30,6.0,226.0,62.8,barkoal01,16-17
1330,1328,50.0,2.1,1003,1050,48.9,1.7,6.6,89.7,96.2,58.2,41.8,19:28,22,51,-5.0,407.0,44.2,barrity01,16-17
285,343,45.4,-5.5,201,266,43.0,-8.5,8.7,91.7,100.4,49.5,50.5,14:55,3,13,-4.7,49.0,32.7,bartkma01,16-17
11,28,28.2,-21.5,10,18,35.7,-14.3,0.0,85.7,85.7,66.7,33.3,9:14,0,0,-1.3,0.0,,barzama01,16-17
27,63,30.0,-21.6,21,42,33.3,-16.8,0.0,96.9,96.9,16.1,83.9,6:15,2,1,-2.0,3.0,33.3,bassco01,16-17
684,821,45.4,-7.4,512,619,45.3,-7.2,11.0,94.7,105.6,31.1,68.9,10:47,11,26,-2.6,158.0,63.3,beaglja01,16-17
1273,1383,47.9,-1.7,948,1019,48.2,0.0,7.0,91.3,98.3,46.5,53.5,17:14,28,47,-9.9,279.0,47.3,beaucfr01,16-17
1221,1185,50.7,-2.6,871,854,50.5,-2.8,9.4,92.4,101.7,50.8,49.2,16:52,16,71,-0.1,235.0,50.2,beaulna01,16-17
700,882,44.2,-4.2,527,647,44.9,-3.2,9.6,92.1,101.7,52.4,47.6,12:29,17,30,-9.7,170.0,59.4,beauvan01,16-17
31,44,41.3,-4.5,18,32,36.0,-12.4,0.0,87.0,87.0,53.8,46.2,8:31,1,2,-1.4,,,beckta01,16-17
522,453,53.5,-1.1,407,331,55.1,0.6,4.0,89.9,93.9,53.8,46.2,11:07,7,12,5.0,149.0,53.0,belesma01,16-17
670,768,46.6,-5.6,467,525,47.1,-5.5,6.7,94.1,100.8,46.2,53.8,10:09,24,14,-5.0,172.0,52.3,bellepi01,16-17
1127,1127,50.0,-0.4,831,824,50.2,-0.5,8.7,90.2,98.9,48.9,51.1,14:49,55,55,-4.4,359.0,56.0,bennja01,16-17
1086,1085,50.0,-1.0,788,775,50.4,-0.8,7.2,92.3,99.5,46.1,53.9,14:56,14,49,-2.8,,,bennjo01,16-17
727,635,53.4,7.2,556,493,53.0,6.5,5.9,93.2,99.1,46.1,53.9,11:54,19,16,0.6,185.0,54.6,bennebe01,16-17
854,905,48.6,-2.5,631,666,48.7,-1.7,6.6,90.4,97.0,56.1,43.9,12:33,43,25,-2.3,215.0,56.7,bennesa01,16-17
893,815,52.3,2.0,681,612,52.7,1.0,9.2,91.7,101.0,56.7,43.3,15:28,7,49,4.1,152.0,45.4,bennima01,16-17
1346,833,61.8,9.7,1025,627,62.0,9.6,7.8,89.5,97.3,54.7,45.3,14:11,65,23,20.8,480.0,62.9,bergepa01,16-17
983,938,51.2,1.8,736,704,51.1,1.2,8.0,90.7,98.6,41.5,58.5,13:19,43,23,0.7,275.0,55.6,berglpa01,16-17
