Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
D,14,0.19,0.27,0.46,0.18,2.33,17,23,40,16,93,23,62,8,18,51.9,49.0,2.9,3.7,4.5,8.2,,ekblaaa01,15-16
D,1,0.0,0.25,0.25,0.07,1.0,0,2,2,1,6,0,2,0,4,5.0,3.6,1.4,0.1,0.5,0.6,,nessaa01,15-16
D,2,0.03,0.21,0.24,0.07,1.48,1,7,8,2,19,0,13,0,6,16.9,17.0,-0.1,0.4,1.5,1.8,,clendad01,15-16
RW,4,0.1,0.1,0.19,0.08,1.31,6,6,12,5,13,0,21,7,-1,17.8,24.3,-6.5,-0.1,0.8,0.7,,crackad01,15-16
C,22,0.38,0.25,0.63,0.28,1.86,34,22,56,25,79,20,67,19,10,43.0,40.6,2.4,4.7,2.8,7.6,3.0,henriad01,15-16
D,6,0.04,0.18,0.22,0.07,0.79,3,17,20,6,53,2,64,28,15,49.7,53.8,-4.1,0.1,6.6,6.7,,larssad01,15-16
C,7,0.09,0.14,0.23,0.09,0.99,8,11,19,7,28,0,54,18,-9,30.9,34.4,-3.5,-0.2,0.7,0.5,,lowryad01,15-16
D,3,0.02,0.13,0.14,0.04,0.66,1,9,10,3,40,1,51,18,6,37.5,40.2,-2.7,-0.3,2.6,2.3,,mcquaad01,15-16
D,1,0.0,0.17,0.17,0.05,0.96,0,4,4,1,9,0,21,5,-7,14.5,12.8,1.7,0.0,0.2,0.2,,pardyad01,15-16
D,1,0.0,0.22,0.22,0.06,0.89,0,2,2,1,7,1,10,3,-1,3.9,6.1,-2.2,0.0,0.2,0.3,,pelecad01,15-16
C,1,0.5,0.0,0.5,0.28,2.5,1,0,1,1,1,0,3,2,0,1.4,0.8,0.6,0.1,0.0,0.2,,quineal01,15-16
D,11,0.13,0.27,0.4,0.14,1.59,11,23,34,12,85,24,62,17,16,52.3,46.9,5.4,2.6,5.0,7.6,,martial01,15-16
C,24,0.42,0.47,0.89,0.36,2.59,32,35,67,27,82,21,59,16,18,39.1,38.5,0.6,6.4,2.0,8.4,1.0,barkoal01,15-16
RW,14,0.17,0.35,0.52,0.19,2.07,15,29,44,16,53,7,44,1,3,39.8,36.1,3.7,3.2,1.0,4.2,,hemskal01,15-16
D,2,0.0,0.14,0.14,0.04,1.2,0,8,8,2,29,1,42,4,-11,29.3,40.8,-11.4,-0.3,1.2,0.9,,biegaal01,15-16
RW,6,0.1,0.08,0.18,0.08,1.14,9,7,16,7,41,10,45,17,2,26.5,35.0,-8.4,-0.4,1.0,0.6,1.0,chiasal01,15-16
C,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,2,0,-2,0.4,0.3,0.1,0.0,-0.1,-0.1,,friesal01,15-16
C,23,0.37,0.32,0.68,0.28,2.45,34,29,63,26,81,24,66,0,-8,46.8,43.7,3.0,5.8,1.2,7.0,7.0,galchal01,15-16
D,12,0.06,0.39,0.45,0.14,1.55,6,36,42,13,112,17,92,17,21,78.8,72.6,6.2,2.4,4.9,7.2,,goligal01,15-16
