CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
933,757,55.2,3.8,686,566,54.8,3.3,11.0,91.0,102.1,56.7,43.3,14:18,31,9,12.1,369.0,59.6,hornqpa01,14-15
633,797,44.3,-5.6,489,571,46.1,-4.3,8.0,91.1,99.0,46.6,53.4,11:17,13,10,-5.4,142.0,65.5,horvabo01,14-15
1277,1010,55.8,2.6,920,772,54.4,1.9,8.9,92.9,101.8,56.0,44.0,14:31,68,30,9.3,450.0,54.9,hossama01,14-15
8,8,50.0,,6,6,50.0,,25.0,100.0,125.0,100.0,0.0,10:53,0,0,0.3,0.0,,hrabara01,14-15
1064,946,52.9,2.2,793,718,52.5,1.9,9.2,92.5,101.7,51.1,48.9,14:14,34,23,6.8,265.0,64.2,huberjo01,14-15
1079,1159,48.2,5.1,770,810,48.7,4.1,13.1,90.8,104.0,54.9,45.1,14:49,43,32,0.8,270.0,58.5,hudleji01,14-15
167,178,48.4,-0.3,116,130,47.2,-0.9,7.5,86.9,94.4,54.3,45.7,16:14,6,6,-0.6,49.0,40.8,huntbr01,14-15
798,709,53.0,4.1,617,561,52.4,3.8,9.4,93.4,102.7,59.4,40.6,14:59,15,27,4.2,140.0,51.4,hunwima01,14-15
1027,1413,42.1,-2.7,754,1030,42.3,-3.5,10.4,92.3,102.7,45.9,54.1,14:59,31,30,-12.6,350.0,54.0,iginlja01,14-15
814,758,51.8,0.6,600,562,51.6,0.9,9.1,91.4,100.5,53.0,47.0,15:28,14,26,-0.8,190.0,48.4,irwinma01,14-15
1063,948,52.9,1.0,795,660,54.6,1.7,7.6,91.7,99.3,42.5,57.5,14:32,17,30,4.8,159.0,54.1,jackmba01,14-15
396,392,50.3,1.0,304,289,51.3,1.8,4.6,93.1,97.6,50.4,49.6,8:13,6,6,-0.4,101.0,54.5,jackmti01,14-15
1007,918,52.3,5.3,754,713,51.4,5.1,8.4,91.1,99.6,53.0,47.0,15:08,38,46,9.2,,,jagrja01,14-15
770,656,54.0,2.6,585,472,55.3,3.5,6.6,91.9,98.5,55.4,44.6,11:05,18,10,8.9,178.0,53.4,jarnkca01,14-15
623,503,55.3,3.4,486,365,57.1,4.5,8.4,91.5,99.9,46.8,53.2,12:24,16,11,7.1,191.0,56.5,jaskidm01,14-15
412,452,47.7,2.7,312,341,47.8,3.1,9.4,89.5,98.8,44.7,55.3,14:32,18,17,0.3,136.0,60.3,jennebo01,14-15
41,42,49.4,0.8,32,28,53.3,3.5,3.8,90.0,93.8,52.8,47.2,9:16,0,1,0.5,9.0,77.8,jenseni01,14-15
160,188,46.0,-4.5,122,130,48.4,-0.5,3.7,87.0,90.7,12.4,87.6,9:44,9,4,-3.8,30.0,60.0,joensje01,14-15
1157,1226,48.6,1.5,886,945,48.4,1.8,9.6,90.3,99.9,49.9,50.1,15:13,60,53,-0.4,354.0,57.1,johanry01,14-15
1068,942,53.1,2.4,757,678,52.8,1.6,8.8,91.8,100.6,58.6,41.4,13:24,29,30,7.3,253.0,54.5,johanma03,14-15
819,929,46.9,4.0,634,688,48.0,5.4,7.8,92.5,100.3,44.8,55.2,19:17,26,38,-10.2,226.0,50.9,johnser01,14-15
1254,1374,47.7,0.1,955,1055,47.5,0.1,9.6,90.4,100.0,44.0,56.0,18:19,18,30,-6.2,273.0,51.6,johnsja02,14-15
1056,906,53.8,1.7,806,687,54.0,1.7,12.4,91.8,104.1,54.8,45.2,13:10,24,30,15.7,321.0,59.5,johnsty01,14-15
932,901,50.8,-0.3,707,677,51.1,0.5,8.5,91.0,99.5,51.0,49.0,12:42,29,26,0.9,217.0,61.8,jokinju01,14-15
637,621,50.6,-2.3,488,446,52.2,-0.9,4.9,96.5,101.3,47.0,53.0,11:33,11,11,3.8,,,jokinol01,14-15
782,780,50.1,-4.0,580,579,50.0,-3.8,9.1,90.5,99.6,56.6,43.4,15:29,16,37,-1.6,101.0,39.6,jokipjy01,14-15
19,31,38.0,-14.3,14,24,36.8,-13.2,0.0,81.0,81.0,36.4,63.6,6:55,1,1,-0.8,3.0,0.0,jonesbl01,14-15
776,998,43.7,-1.6,569,676,45.7,-0.8,8.8,91.6,100.5,35.6,64.4,13:18,24,26,0.6,206.0,55.3,jonesda01,14-15
1285,1089,54.1,2.3,948,807,54.0,1.7,7.7,92.1,99.8,55.2,44.8,15:56,41,46,5.6,264.0,46.6,jonesse01,14-15
666,738,47.4,1.4,473,479,49.7,2.2,10.9,89.9,100.7,51.3,48.7,12:38,39,29,-0.4,168.0,54.2,joorijo01,14-15
517,475,52.1,-0.6,370,338,52.3,0.2,6.1,89.8,95.9,60.1,39.9,14:51,8,19,-1.8,85.0,51.8,jordami01,14-15
487,477,50.5,4.5,350,365,49.0,3.3,5.6,94.0,99.5,46.3,53.7,10:04,15,14,-0.6,111.0,55.0,josefja01,14-15
1686,1684,50.0,-4.6,1257,1222,50.7,-4.0,8.5,92.9,101.4,46.3,53.7,20:46,25,45,3.3,390.0,51.5,josiro01,14-15
594,482,55.2,2.5,445,371,54.5,2.9,7.4,92.9,100.3,52.2,47.8,10:23,19,16,3.6,169.0,54.4,jurcoto01,14-15
1071,1067,50.1,5.1,801,813,49.6,4.6,9.1,90.9,100.0,45.8,54.2,14:58,44,43,2.4,327.0,53.8,kadrina01,14-15
176,364,32.6,-6.6,137,260,34.5,-6.2,2.8,92.0,94.9,33.0,67.0,7:35,8,3,-9.6,40.0,62.5,kaletpa01,14-15
341,350,49.3,-1.4,252,257,49.5,0.5,5.9,92.8,98.7,45.3,54.7,15:43,6,6,-0.3,66.0,42.4,kampfst01,14-15
555,496,52.8,1.6,405,375,51.9,1.0,8.3,90.7,99.0,50.5,49.5,15:06,18,19,1.5,244.0,51.6,kaneev01,14-15
1044,863,54.7,0.3,771,663,53.8,0.1,9.4,92.0,101.5,67.9,32.1,16:08,36,30,5.3,323.0,57.6,kanepa01,14-15
1834,1625,53.0,4.9,1321,1276,50.9,4.0,9.0,91.9,100.9,53.3,46.7,21:52,59,99,2.0,654.0,44.6,karlser01,14-15
779,662,54.1,4.4,564,475,54.3,4.2,8.9,89.2,98.1,50.6,49.4,14:06,21,22,9.4,174.0,57.5,karlsme01,14-15
193,201,49.0,-1.4,147,154,48.8,-1.9,9.3,93.7,103.0,57.7,42.3,10:08,8,9,1.0,,,karlswi01,14-15
454,456,49.9,-1.0,345,340,50.4,-1.6,9.1,88.3,97.4,52.7,47.3,11:51,10,14,-3.7,92.0,59.8,kassiza01,14-15
1756,1365,56.3,4.1,1270,1054,54.6,3.2,8.1,92.3,100.3,54.4,45.6,19:51,43,63,8.0,405.0,42.2,keithdu01,14-15
933,891,51.2,-1.1,679,657,50.8,0.0,7.9,92.7,100.7,45.6,54.4,13:11,28,16,2.2,188.0,59.6,kellych01,14-15
304,333,47.7,-3.3,226,243,48.2,-3.4,9.0,90.9,99.9,42.7,57.3,12:09,13,9,-1.0,68.0,55.9,keninro01,14-15
462,387,54.4,1.6,312,287,52.1,-0.1,7.3,90.5,97.8,53.2,46.8,10:60,20,6,0.3,,,kennety01,14-15
1151,1128,50.5,-0.7,841,852,49.7,-2.3,8.8,90.4,99.2,46.7,53.3,14:36,47,27,1.5,383.0,53.3,keslery01,14-15
1190,1358,46.7,0.4,900,1045,46.3,0.2,7.1,90.0,97.1,52.0,48.0,15:06,34,64,-16.6,506.0,55.1,kesseph01,14-15
