Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
D,14,0.15,0.33,0.48,0.17,2.1,14,29,43,16,88,22,57,4,12,60.3,50.6,9.7,3.5,5.0,8.5,1.0,ekblaaa01,14-15
LW,0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0.6,0.3,0.3,-0.1,0.0,0.0,,volpaaa01,14-15
RW,1,0.05,0.1,0.15,0.05,1.1,1,2,3,1,3,0,13,4,-6,4.0,10.3,-6.3,-0.2,0.0,-0.2,,burisad01,14-15
D,1,0.05,0.14,0.19,0.06,0.81,1,3,4,1,20,4,14,0,2,12.2,14.1,-1.8,0.1,0.9,1.0,,clendad01,14-15
RW,0,0.0,0.06,0.06,0.02,1.0,0,1,1,0,1,0,11,2,-8,2.8,8.0,-5.3,-0.4,-0.2,-0.5,,crackad01,14-15
C,16,0.21,0.36,0.57,0.21,1.69,18,29,47,18,61,21,66,20,-6,39.4,44.5,-5.1,2.9,1.5,4.4,2.0,henriad01,14-15
D,7,0.05,0.33,0.38,0.11,1.42,3,23,26,8,38,0,52,16,2,40.0,36.8,3.3,1.3,3.7,5.0,,larssad01,14-15
LW,9,0.14,0.15,0.29,0.12,1.3,12,13,25,10,41,6,37,3,1,36.9,33.8,3.1,0.8,1.2,2.0,,lowryad01,14-15
D,2,0.02,0.1,0.11,0.03,0.95,1,7,8,2,31,0,48,15,-2,36.6,36.3,0.2,-0.6,2.3,1.8,,mcquaad01,14-15
D,2,0.0,0.16,0.16,0.04,0.53,0,10,10,3,32,1,33,11,9,28.4,26.0,2.4,0.0,2.4,2.4,,pardyad01,14-15
D,7,0.11,0.29,0.39,0.13,1.84,7,17,24,8,50,8,39,6,9,34.4,34.1,0.3,1.7,3.3,5.0,,martial01,14-15
C,14,0.23,0.28,0.51,0.2,1.73,18,22,40,16,56,17,46,3,-4,40.7,37.0,3.7,2.4,1.2,3.6,3.0,barkoal01,14-15
RW,12,0.14,0.28,0.42,0.15,1.84,12,23,35,13,51,11,48,0,-8,39.9,35.4,4.4,2.0,0.6,2.5,3.0,hemskal01,14-15
D,1,0.14,0.0,0.14,0.08,1.0,1,0,1,1,5,0,7,0,-2,2.8,6.2,-3.4,0.1,0.1,0.1,,biegaal01,14-15
RW,10,0.14,0.2,0.34,0.13,1.38,12,16,28,11,41,15,37,5,-5,30.4,32.1,-1.7,1.4,0.8,2.1,2.0,chiasal01,14-15
C,18,0.25,0.33,0.58,0.22,2.04,23,28,51,20,72,21,44,1,8,48.2,42.4,5.8,3.8,1.8,5.6,7.0,galchal01,14-15
D,11,0.05,0.4,0.44,0.13,1.51,5,35,40,12,96,15,108,27,0,71.7,60.5,11.2,2.1,3.1,5.2,,goligal01,14-15
C,14,0.21,0.32,0.54,0.2,1.83,17,25,42,16,63,11,51,7,8,46.2,34.4,11.8,2.6,1.4,4.0,,killoal01,14-15
LW,36,0.65,0.35,1.0,0.44,4.88,60,31,91,41,117,51,58,2,10,55.6,46.6,9.1,10.4,2.2,12.6,6.0,ovechal01,14-15
D,14,0.09,0.48,0.57,0.17,2.41,8,43,51,16,90,20,99,26,-2,59.8,64.1,-4.3,3.3,4.2,7.5,,pietral01,14-15
LW,21,0.28,0.41,0.69,0.26,1.3,25,36,61,23,72,17,65,8,-1,43.5,55.6,-12.2,4.6,1.6,6.2,6.0,tangual01,14-15
D,10,0.11,0.31,0.42,0.14,2.36,9,25,34,12,92,31,67,19,13,53.9,48.2,5.6,2.2,4.7,6.9,,edleral01,14-15
C,0,0.0,0.0,0.0,0.0,0.33,0,0,0,0,0,0,2,0,-2,0.1,0.7,-0.6,-0.1,-0.1,-0.1,0.0,khokhal01,14-15
