"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"549","Michael Pezzetta","MTL","L","63","30.3","0.48095238095238","1.94","-14.94","2.85","4.48","-8.35","5.30","5.25","-9.61","8.85","-1.37","-5.42","-10.77","-0.25","-0.45","-2.10","0.48","-3.04","1.07","-1.94","6.86","-6.71","-0.98","-0.72","-12.82","3.22","-13.2","9.75","-0.52","-3.92","-11.76","-3.96","-19.73","-4.90","0","-2.26","0.00","0.00","88.46","0.885","1.98","7.92","15.84","73.27","11.11","1.98","7.92","21.78","8.33"
"171","Mark Stone","VGK","R","43","52.216666666667","1.2143410852713","10.52","-14.97","8.91","9.6","-9.53","10.71","5.93","-7.6","9.27","-0.01","-3.03","7.74","1.7","-1.17","19.19","10.09","-14.73","17.26","11.24","-3.31","30.28","1.37","-2.54","46.67","-1.55","-15.23","-1.58","-1.85","-1.86","-27.27","-0.68","-2.99","-0.63","0","1.32","0.00","14.29","88.64","1.029","1.15","4.6","32.17","55.15","3.45","2.3","6.89","35.62","6.06"
"468","Colton White","ANA","D","46","36.633333333333","0.7963768115942","-3.85","-15","-1.68","-1.98","-14.85","-0.14","-4.33","-1.08","-5.04","0","-1.98","0.00","0.2","-2.78","3.42","3.44","-27.01","7.84","0.71","-12.05","4.84","0","-2.01","0.00","3.65","-19.95","9.62","0","-0.61","0.00","-0.33","11.63","-0.95","0","0.69","0.00","0.00","84.62","0.846","1.64","4.91","18.02","60.6","8.33","4.91","4.91","27.84","15.00"
"394","Rourke Chartier","OTT","C","6","9.3","1.55","-12.51","-15.01","-7.28","-10.2","-0.18","-9.65","-5.58","11.85","-10.39","-4.62","-4.62","-","0.22","-2.72","10.98","8.28","-27.82","21.43","12.9","-12.03","66.67","0","0","-","-6.16","-21.05","-10.00","-3.08","-6.16","-33.33","-13.35","21.84","-23.53","0","0","-","0.00","100.00","1.000","6.45","19.35","19.35","64.52","25.00","6.45","19.35","25.81","20.00"
"660","Alexander Alexeyev","WSH","D","32","37.8","1.18125","-15.14","-15.03","-10.53","-11.37","-18.29","-9.40","-11.35","-6.22","-14.42","-0.54","-1.15","-8.33","-0.94","-2.2","-7.48","-5.43","1.15","-7.70","-4.3","-0.42","-14.29","0","-2.18","0.00","-1.5","2.1","-3.10","0","0.68","0.00","-6.25","-12.6","-7.04","0","0.74","0.00","0.00","90.63","0.906","0","9.52","25.4","44.44","0.00","1.59","9.52","34.92","4.35"
"225","Morgan Rielly","TOR","D","65","62.016666666667","0.95410256410256","-0.88","-15.05","1.52","-2.92","-14.59","0.28","-3.99","-11.35","-2.04","-1.08","-3.02","-13.51","-0.47","-1.25","-2.85","-3.02","-5","-3.53","-2.37","0.09","-7.58","-0.86","0.32","-25.00","-0.86","-6.78","-0.75","0","-2.15","0.00","1.7","-18.24","5.20","-0.31","-2.49","-11.11","0.00","90.70","0.907","1.93","7.74","22.25","66.76","8.00","3.87","9.67","29.02","11.76"
"553","Dylan Gambrell","OTT","C","60","129.75","2.1625","-4.83","-15.11","-1.70","-4.28","-14.65","-1.34","-3.5","-12.21","-0.77","-0.75","2.37","-13.89","-0.37","-2.87","-0.13","-0.47","-20.69","2.60","0.35","-10.15","7.57","0.45","0.38","8.33","-1.09","-14.06","0.12","-0.64","2.38","-20.00","-0.17","5.67","-0.87","0","0.3","0.00","8.70","84.00","0.927","1.39","9.25","15.72","68.44","8.11","1.39","12.49","19.42","6.67"
"577","Jaret Anderson-Dolan","L.A","C","46","7.2833333333333","0.15833333333333","-4.43","-15.24","-2.36","-3.64","10.05","-5.02","-2.85","22.4","-7.65","-1.58","-1.27","-14.29","0.4","-0.53","5.45","2.17","-16.62","7.16","5.6","-12.09","38.51","-0.79","-4.49","-","-4.58","-6.05","-8.39","-0.7","-4.22","-14.29","-4.19","-29.65","-3.99","-0.38","9.61","-14.29","0.00","88.89","0.889","8.24","16.48","8.24","90.62","50.00","8.24","32.95","8.24","50.00"
"454","Jake DeBrusk","BOS","L","64","87.15","1.36171875","7.42","-15.5","9.19","9.02","-16.25","13.40","6.23","-2.45","9.17","0.36","1.24","0.77","0.9","-1.56","14.34","4.95","-10.82","10.71","6.79","-9.97","32.46","-0.41","0.52","-15.38","-2.46","-1.13","-4.52","0.38","-0.17","16.67","4.48","-9.52","9.37","0","1.22","0.00","8.00","87.10","0.951","0.69","6.2","6.2","94.32","10.00","2.07","8.26","9.64","17.65"
"773","Seth Jarvis","CAR","C","82","12.816666666667","0.15630081300813","-8.37","-15.63","-5.48","-6.36","-10.56","-4.84","-2.36","1.2","-3.78","3.25","-0.89","29.59","-0.88","-2.36","-6.62","-4.47","-5.91","-6.00","0.11","-3.04","1.92","3.68","1.68","25.00","-6.1","-3.82","-17.49","-0.57","-2.1","-21.43","-7.43","-20.4","-15.45","0","-1.45","0.00","50.00","90.00","1.400","0","4.68","0","145.12","-","4.68","4.68","0","100.00"
"260","Jake McCabe","CHI, TOR","D","76","150.03333333333","1.9741228070175","0.16","-15.72","2.11","-0.29","-15.85","2.74","-0.22","-9.67","2.39","-0.99","-1.84","-8.33","-0.5","-0.55","-4.55","-0.01","-0.25","0.04","-2.06","-1.07","-6.00","-0.44","-0.98","-5.56","2.73","1.09","5.74","-0.37","0.39","-10.00","-0.43","-24.4","2.31","-0.4","-1.66","-12.50","3.57","85.83","0.894","0.4","5.6","29.59","41.19","1.33","3.6","9.2","42.39","7.83"
"284","MacKenzie Weegar","CGY","D","81","139.15","1.7179012345679","3.28","-15.72","5.76","1.77","-15.79","6.44","3.23","-11.02","8.82","0.93","0.77","8.57","0.11","-2.11","7.16","1.54","-10.82","5.66","2.39","-7.41","14.34","0.27","-0.52","20.00","-1.13","-4.55","-0.13","0.89","1.79","10.42","-0.37","-8.59","1.65","0","-0.08","0.00","8.70","82.22","0.909","0.43","2.59","36.65","68.99","1.16","4.31","7.76","48.72","8.13"
"707","Reese Johnson","CHI","C","57","63.3","1.1105263157895","0.48","-15.77","2.12","1.09","-9.47","2.71","-1.77","-5.58","-1.10","-0.94","-3.99","-8.82","0.19","-1.88","4.29","-0.88","-8.73","-0.10","0.66","-6.3","4.55","-0.31","-0.58","-6.67","-2.05","-3.25","-3.60","-0.42","-2.9","-9.09","-0.4","-16.09","1.32","-0.45","-1.79","-12.50","0.00","89.47","0.895","0.95","4.74","19.91","77.73","4.55","1.9","7.58","33.18","5.41"
"716","Brett Leason","ANA","R","54","3","0.055555555555556","6.82","-15.85","6.45","8.52","6.25","5.76","10.43","14.31","7.29","0","9.16","0.00","-0.46","2.24","-4.32","-3.83","-15.25","-4.84","-2.55","28.54","-7.50","0","-4.25","-","-1.7","-58.39","-","0","-5.1","0.00","-3.68","-5.17","-5.53","0","24.9","0.00","0.00","75.00","0.750","0","0","0","140","-","0","0","0","-"
"367","Kasperi Kapanen","PIT, STL","R","66","48.483333333333","0.73459595959596","-1.04","-16.06","0.79","-0.2","-8.23","1.02","-0.58","-4.79","0.21","0.4","-3.49","7.14","0.32","-1.1","4.81","1.13","-13.99","4.90","-1.09","-4.56","-1.67","-0.42","0.54","-8.70","2.96","-12.58","10.25","1.37","-5.04","94.74","-0.64","-4.87","-0.66","-0.3","-0.37","-7.14","14.29","86.67","1.010","2.48","4.95","17.33","76.73","12.50","3.71","7.43","19.8","15.79"
"412","Connor McDavid","EDM","C","82","104.73333333333","1.2772357723577","8.79","-16.11","8.57","7.09","-15.16","9.32","4.07","-8.82","7.18","2.85","-4.39","31.67","1.25","-0.27","11.32","6.22","-10.26","10.20","3.63","2.83","8.24","1.25","-1.82","26.26","3.45","-17.44","11.30","0.6","-2.87","32.61","1.61","-13.4","3.81","0","-0.6","0.00","28.57","90.00","1.186","0.57","4.58","41.25","58.43","1.37","2.86","5.16","51.56","5.26"
