"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"83","Derek Stepan","CAR","C","73","607.46666666667","8.3214611872146","11.18","-3.95","5.80","8.86","-3.89","6.66","4.54","-2.8","5.84","-0.41","-0.69","5.11","0.44","-0.31","6.74","5.35","-2.95","6.99","0.81","-1.2","4.33","-0.62","-0.21","-6.67","6.1","-2.31","8.92","0.06","-0.19","6.97","5.98","-2.35","4.97","0.25","-0.49","51.36","5.70","93.16","0.989","15.21","14.03","7.8","46.42","66.09","26.96","18.47","16.99","61.35"
"205","William Karlsson","VGK","C","82","1075","13.109756097561","5.42","-3.96","4.03","5.58","-2.63","4.86","3.44","-1.77","4.30","-0.1","-0.3","2.37","0.38","-0.01","3.53","2.85","-1.87","4.14","-0.12","0","-0.25","-0.16","-0.34","5.10","3.97","-2.47","7.15","-0.13","0.01","-3.20","4.77","-4.88","6.51","0.26","-0.01","14.06","8.03","92.55","1.006","9.1","9.32","9.88","44.48","47.94","19.76","15.01","18.64","51.45"
"560","Boris Katchouk","CHI","L","58","606.7","10.460344827586","3.79","-3.96","3.54","1.55","-3.78","3.13","-0.6","-2.69","1.41","-0.16","-0.21","-0.36","-0.06","-0.26","1.45","0.19","-3.15","2.68","0.48","-0.81","2.78","0.16","-0.23","7.54","-0.41","-3.07","2.50","-0.48","-0.28","-9.17","2.56","-0.51","2.32","0.05","0.35","-4.52","7.10","91.15","0.982","4.55","12.96","7.12","53.01","38.98","9.89","18.39","18","35.46"
"318","Shea Theodore","VGK","D","55","983.51666666667","17.882121212121","8.95","-3.98","5.51","4.99","-2.5","4.47","3.62","-0.52","3.34","0.48","0.13","2.52","0.2","-0.21","3.91","3.92","-2.59","5.54","0.66","-0.03","1.36","0.22","0.22","-1.15","4.36","-3.34","8.30","0.36","0.14","3.11","7.08","-2.88","6.93","0.01","-0.22","16.24","9.71","92.35","1.021","8.85","10.8","11.35","41.48","43.81","20.19","19.22","19.7","50.61"
"893","Alexander Barabanov","S.J","L","68","978.95","14.396323529412","-2.12","-3.98","0.76","-1.91","-2.15","0.07","-1.29","-1.3","-0.05","0.53","0.43","1.78","0.1","0.05","0.42","0.14","0.38","-0.20","1.7","0.06","3.02","0.64","0.49","3.25","-2.01","0.42","-2.67","0.02","-0.07","1.23","-1.03","-3.97","1.56","-0.17","0","-7.90","10.55","87.88","0.984","10.11","15.2","9.56","44.44","51.40","18.39","21.7","21.08","46.58"
"941","Ben Meyers","COL","C","39","360.66666666667","9.2478632478632","-11.11","-3.98","-2.90","-8.25","-4.07","-2.40","-7.52","-0.74","-5.56","-1.47","0.2","-18.80","-0.16","-0.51","4.19","-4.67","-3.78","-0.35","-0.49","-2.32","4.49","-0.56","-0.42","-2.34","-5.59","-1.94","-3.66","-0.81","1.21","-43.25","-9.18","-1.18","-4.99","-0.41","-0.41","9.72","5.65","91.52","0.972","6.82","11.15","7.49","58.39","47.67","10.98","16.3","16.47","40.00"
"319","Jason Dickinson","CHI","C","78","1003.0666666667","12.859829059829","-0.05","-3.99","1.57","0.41","-2.34","1.55","0.29","-0.75","0.83","-0.21","1.19","-10.47","0.02","-0.42","3.92","0.1","-3.36","2.71","-0.35","-2.78","4.46","-0.15","0.26","-6.72","0.69","-0.79","1.68","-0.16","1.07","-22.11","-0.63","-1.6","0.54","0.07","0.18","0.26","7.47","87.77","0.952","6.46","11.48","8.97","46.6","41.86","15.07","18.12","19.86","43.15"
"570","Jesper Bratt","N.J","L","82","1110.9166666667","13.547764227642","10.72","-4","5.85","9.49","-2.2","6.16","4.96","-1.18","4.55","0.65","0.41","0.99","0.5","0.08","3.06","8.62","0.6","5.65","2.05","0.75","1.84","-0.51","0.38","-15.31","8.75","-0.21","8.25","0.76","0.24","8.84","8.96","-5.47","7.47","0.87","-0.21","33.98","9.06","90.15","0.992","11.56","14.58","8.16","48.07","58.63","22.47","19.61","15.61","59.01"
"644","Jason Robertson","DAL","L","82","1186.4833333333","14.469308943089","11.44","-4","6.46","8.17","-3.74","6.94","6.68","-3.37","8.26","1.32","-0.39","15.57","0.91","-0.23","10.24","8.82","-1.99","8.77","4.7","-1.11","11.19","0.79","-0.01","11.78","5.46","-1.17","6.97","0.72","-0.26","23.97","4.28","-1.92","4.30","-0.02","-0.27","15.86","10.21","92.58","1.028","9.81","13.05","6.62","46.68","59.69","19.87","20.13","15.83","55.67"
"324","Robert Hagg","DET","D","38","542.51666666667","14.276754385965","-1.49","-4.02","0.83","-0.08","-5.11","2.82","-0.94","-5.14","3.18","-0.07","-0.54","3.68","0.23","-0.28","5.26","-2","-2.32","-0.35","0.99","1.61","-0.41","0.28","0.14","4.79","-3.97","-5.22","-0.14","-0.53","-0.03","-15.14","2.06","-3.99","4.17","0.06","-0.98","36.94","8.22","90.71","0.989","8.85","11.39","5.75","54.52","60.61","18.58","17.7","14.71","55.81"
