"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"675","Jack Drury","CAR","C","38","31.833333333333","0.83771929824561","8.4","-11.25","9.58","-5.41","-11.16","11.24","-4.36","-9.91","14.79","-1.34","-0.79","13.33","-0.01","-1.05","10.95","-1.85","-7.94","11.80","3.51","-4.72","16.00","-1.57","-0.39","-","-7.16","-4.3","7.46","2.41","-0.52","16.67","10.61","0.45","-0.07","-2.27","0","-100.00","8.00","100.00","1.080","16.96","11.31","1.88","49.01","90.00","20.73","15.08","3.77","84.62"
"756","Thomas Harley","DAL","D","6","0.83333333333333","0.13888888888889","127.97","-11.29","11.36","152.8","-9.03","12.50","94.34","-4.51","8.33","-18.06","0","-","16.11","-0.47","5.11","8.8","-4.51","6.67","38.14","-2.26","6.25","-11.29","0","-","-39.12","-3.01","-","-6.02","0","-100.00","175.4","0","0.00","-3.26","0","-100.00","0.00","-","0.00","72","72","0","0","100.00","72","72","0","100.00"
"722","Logan O'Connor","COL","R","82","4","0.048780487804878","-57.96","-11.3","9.89","-50.22","-10.18","11.27","-26.78","-9.63","14.50","-8.93","-0.7","-","-6.32","-0.64","7.33","-60.41","-4.88","-","-23.58","-1.67","-","-3.77","-0.28","-","-49.11","-4.28","-","-4.46","-0.37","-92.31","-18.13","-2.82","4.39","-2.62","0","-100.00","0.00","-","0.00","15","0","15","180","50.00","30","0","15","66.67"
"499","Frederic Allard","MTL","D","3","0.05","0.016666666666667","-68.03","-11.34","-","-62.36","-11.34","-","-45.35","-11.34","-","0","0","-","-7.37","-1.62","-","-39.69","-5.67","-","-17.01","-5.67","-","0","0","-","-30.24","0","-","0","0","-","-40.94","0","-","0","0","-","-","-","-","0","0","0","1200","-","0","0","0","-"
"273","Kurtis MacDermid","COL","D","44","0.083333333333333","0.0018939393939394","619.74","-11.37","10.19","-80.15","-9.52","-","-56.35","-8.99","-","-8.2","-0.26","-","-8.23","-0.52","-","-60.05","-4.5","-","-23.28","-1.06","-","-3.44","0","-","-49.03","-4.59","-","-4.23","-0.35","-92.31","980.39","-3.06","4.88","-2.29","0","-100.00","-","-","-","0","0","0","720","-","0","0","0","-"
"569","Mason Shaw","MIN","C","59","10.516666666667","0.17824858757062","-56.3","-11.48","9.64","-56.81","-9.53","10.05","-41.51","-7.8","10.81","-8.01","-0.22","-","-6.28","-0.61","6.39","-48.8","-4.77","7.33","-16.31","-1.73","5.88","-4.77","0","-","-43.32","-4.04","-","-2.6","0","-100.00","-10.83","-5.01","6.81","-1.88","0","-100.00","0.00","-","0.00","17.12","5.71","5.71","91.28","75.00","22.82","17.12","5.71","80.00"
"503","Markus Niemelainen","EDM","D","23","0.45","0.019565217391304","21.47","-11.51","9.33","41.72","-10.59","10.36","65.2","-8.29","10.84","-12.43","-0.92","-","-0.9","-0.73","6.45","-73.66","-6.91","-","-37.29","-2.3","-","-6.45","-0.46","-","-48.49","-6.14","-","-4.91","-0.61","-88.89","132.08","-3.32","5.21","-3.32","0","-100.00","0.00","-","0.00","0","0","0","133.33","-","133.33","0","0","100.00"
"588","Jonas Rondbjerg","VGK","R","13","0.1","0.0076923076923077","-145.74","-11.51","-","-109.94","-10.23","-","-86.93","-10.23","-","-10.23","0","-","-11.67","-0.92","-","-89.49","-7.67","-","-33.24","-3.84","-","-3.84","0","-","-75","-5.11","-","-6.82","0","-100.00","-90.48","-5.54","-","-1.85","0","-100.00","-","-","-","600","0","0","0","100.00","600","0","0","100.00"
"22","Andrew Cogliano","COL","C","79","1.3833333333333","0.017510548523207","-59.07","-11.69","10.24","-36.71","-10.53","11.62","-13.76","-9.96","14.84","-9.09","-0.72","-","-5.34","-0.66","7.52","-60.02","-5.05","-","-23.95","-1.73","-","-3.9","-0.29","-","-48.1","-4.42","-","-4.42","-0.38","-92.00","1.38","-2.92","4.55","-2.71","0","-100.00","0.00","-","0.00","43.37","0","43.37","477.11","50.00","86.75","0","43.37","66.67"
"554","Vincent Desharnais","EDM","D","36","0.21666666666667","0.0060185185185185","433","-11.78","8.88","462.26","-11.02","10.74","485.44","-9.88","12.62","-14.44","-1.14","-","23.61","-0.56","5.22","-68.4","-4.18","-","-30.02","-1.9","-","-7.6","-1.14","-","-51.18","-3.04","-","-6.59","0","-100.00","320.41","-3.29","3.97","-2.74","0","-100.00","0.00","-","0.00","0","0","0","830.77","-","276.92","0","0","100.00"
