Player,season,Pos,GP,ATOI,BLK,CorsiForPerc,FenwickPerc,CorsiForPercRel,FenwickPercRel,CorsiAgainst,DZoneStartPerc,GAPer60,XGA,XGF,GFPer60,exGA60,exGF60,BLK_60,CorsiAgainst_60,DefenceRating
Andrew Campbell,15-16,D,6,695,10.0,44.5,43.6,-4.2,-0.8,76,50.9,1.8,3.0,2.3,1.8,2.5899280575539567,1.9856115107913666,8.633093525179858,65.6115107913669,2.0
Brian Campbell,15-16,D,82,1337,80.0,52.7,52.7,5.7,5.4,1137,49.1,1.8,53.6,59.5,3.1,1.7600379444332965,1.953773464436215,2.6269223051243227,37.335133261579436,5.0
Gregory Campbell,15-16,C,82,634,56.0,41.2,41.7,-8.3,-8.1,741,56.5,2.0,26.7,23.7,1.5,1.8488882049703779,1.641147957220897,3.8778179579903056,51.31184119412172,3.0
Paul Carey,15-16,C,4,598,1.0,47.2,46.5,-7.8,-7.4,28,44.4,1.5,1.4,0.9,1.5,2.1070234113712374,1.354515050167224,1.5050167224080266,42.14046822742475,3.0
Matt Carle,15-16,D,64,1007,91.0,47.0,47.7,-6.9,-5.6,916,53.8,2.1,36.3,32.6,2.3,2.0276812313803374,1.821002979145978,5.083167825223436,51.16683217477656,2.0
John Carlson,15-16,D,56,1422,114.0,50.2,51.0,-1.1,-0.2,981,50.2,1.9,39.5,45.9,2.9,1.785714285714286,2.0750452079566006,5.153707052441229,44.34900542495479,4.0
Jordan Caron,15-16,RW,4,488,0.0,44.7,38.2,-10.9,-15.5,26,50.0,5.5,1.7,0.8,0.0,3.1352459016393444,1.4754098360655739,0.0,47.950819672131146,1.0
Ryan Carpenter,15-16,C,1,447,0.0,40.0,33.3,-13.4,-19.3,6,33.3,0.0,0.2,0.2,0.0,1.6107382550335572,1.6107382550335572,0.0,48.32214765100671,3.0
Daniel Carr,15-16,LW,23,724,5.0,56.4,56.5,2.7,3.6,202,40.2,2.3,6.8,9.5,2.3,1.4700936824405477,2.053807350468412,1.0809512370886378,43.67042997838097,4.0
Connor Carrick,15-16,D,19,932,19.0,56.3,56.5,3.8,4.9,234,48.6,2.2,11.0,12.3,1.4,2.236277388750847,2.5005647165123106,3.8626609442060085,47.57171899706348,2.0
Sam Carrick,15-16,C,3,688,0.0,32.7,34.9,-12.8,-6.7,35,16.7,4.0,1.4,0.7,0.0,2.4418604651162785,1.2209302325581393,0.0,61.04651162790697,1.0
Trevor Carrick,15-16,D,2,1000,2.0,47.5,46.0,3.5,4.3,32,30.0,3.7,2.4,1.4,1.9,4.319999999999999,2.52,3.6,57.6,1.0
Jeff Carter,15-16,C,77,1103,39.0,55.7,54.9,-0.9,-1.9,1013,40.7,2.3,43.9,53.9,3.2,1.8608046531890594,2.2846781504986398,1.6531066395073648,42.938385277460526,3.0
Ryan Carter,15-16,LW,60,668,37.0,39.0,40.8,-11.5,-10.0,555,70.1,2.0,19.9,12.8,1.4,1.787425149700599,1.1497005988023952,3.3233532934131738,49.8502994011976,3.0
Daniel Catenacci,15-16,C,11,524,2.0,43.2,41.6,-5.4,-7.5,88,39.6,1.9,2.9,1.9,0.6,1.8112421929215823,1.1866759195003471,1.2491325468424705,54.9618320610687,3.0
Cody Ceci,15-16,D,75,1158,130.0,44.6,44.6,-4.7,-3.8,1245,54.2,2.1,54.3,41.4,2.3,2.250777202072539,1.716062176165803,5.3886010362694305,51.60621761658032,2.0
Michael Chaput,15-16,C,8,540,3.0,48.5,47.3,-5.4,-8.2,67,39.5,0.8,2.7,3.1,3.3,2.25,2.5833333333333335,2.5,55.833333333333336,2.0
Zdeno Chára,15-16,D,80,1446,123.0,49.1,49.0,-0.8,-1.3,1474,56.1,2.4,58.6,60.5,2.7,1.8236514522821579,1.8827800829875518,3.8278008298755193,45.871369294605806,4.0
Ben Chiarot,15-16,D,70,867,105.0,49.3,50.0,-2.6,-1.9,881,51.9,2.6,37.9,32.9,2.0,2.2481463173504697,1.9515570934256055,6.228373702422146,52.259021255561045,2.0
Alex Chiasson,15-16,RW,77,818,28.0,43.5,42.6,-5.2,-5.3,853,62.2,2.0,35.0,26.5,2.1,2.000444543231829,1.514622297018385,1.6003556345854635,48.753691296478586,3.0
Jason Chimera,15-16,LW,82,843,13.0,47.5,47.9,-4.3,-4.2,928,52.3,2.5,41.5,38.8,2.4,2.1612707230275148,2.020657928999219,0.6770245638399445,48.329138095651416,2.0
Kyle Chipchura,15-16,C,70,613,13.0,44.4,43.4,-2.8,-2.7,634,63.2,2.5,23.8,23.4,1.7,1.99673735725938,1.9631787462130037,1.0906548590072245,53.19039850850618,3.0
Taylor Chorney,15-16,D,55,791,58.0,48.1,47.7,-2.2,-3.8,609,33.4,2.2,26.0,24.8,2.9,2.1514768417423284,2.0521779105849904,4.799448339271348,50.39420756234915,2.0
Casey Cizikas,15-16,C,80,761,62.0,48.4,47.9,-1.3,-2.1,731,60.1,2.4,37.5,30.5,2.4,2.2174770039421814,1.8035479632063074,3.6662286465177396,43.22601839684625,3.0
Fredrik Claesson,15-16,D,16,1157,30.0,49.4,50.0,1.7,3.3,249,53.8,2.7,9.8,10.0,1.3,1.905790838375108,1.944684528954192,5.834053586862575,48.42264477095937,3.0
David Clarkson,15-16,RW,23,553,6.0,40.4,38.5,-7.6,-10.3,223,48.2,3.5,9.1,8.3,1.2,2.575674188222344,2.349241292554446,1.6982467175092382,63.11816966742668,1.0
Adam Clendening,15-16,D,29,888,34.0,48.4,47.5,-2.9,-2.5,398,45.1,2.1,17.0,16.9,2.7,2.3765144454799625,2.362534948741845,4.753028890959925,55.63839701770736,2.0
Kyle Clifford,15-16,LW,56,561,11.0,53.6,53.6,-3.4,-3.4,429,41.6,1.6,20.4,18.5,1.6,2.3376623376623376,2.1199388846447667,1.2605042016806722,49.15966386554622,2.0
Rich Clune,15-16,LW,19,486,5.0,53.4,49.4,-0.8,-2.1,111,56.0,1.6,3.1,5.2,2.0,1.2085769980506822,2.0272904483430803,1.9493177387914231,43.27485380116959,4.0
Cal Clutterbuck,15-16,RW,77,715,34.0,48.3,48.2,-1.4,-1.8,655,60.0,2.2,30.5,25.9,2.5,1.99436926709654,1.6935791481246028,2.223231314140405,42.82989737535191,3.0
Braydon Coburn,15-16,D,80,1005,88.0,50.7,49.7,-1.8,-2.4,971,50.9,2.1,41.3,39.3,2.6,1.8492537313432835,1.7597014925373133,3.940298507462687,43.47761194029851,3.0
Andrew Cogliano,15-16,LW,82,866,27.0,52.1,53.0,-0.3,-0.2,889,59.6,2.4,35.8,42.0,2.3,1.8149045231791805,2.1292175970258547,1.3687827409451925,45.068439137047264,4.0
Carlo Colaiacovo,15-16,D,36,868,41.0,48.5,48.5,2.0,1.5,454,43.7,3.1,19.7,18.1,1.8,2.269585253456221,2.0852534562211984,4.723502304147464,52.30414746543779,2.0
Joe Colborne,15-16,C,73,910,28.0,48.6,48.8,0.1,-0.3,907,55.3,3.5,39.8,40.7,3.1,2.1568568417883487,2.2056299864519042,1.5173867228661748,49.15249134427217,2.0
Ian Cole,15-16,D,70,1034,122.0,50.1,50.9,-3.7,-2.9,938,47.6,2.4,38.0,43.5,1.9,1.8900248687482726,2.1635810997513127,6.067974578612876,46.65377176015474,3.0
Sean Collins,15-16,C,2,512,2.0,42.3,41.2,-8.4,-7.4,15,58.3,8.1,0.5,0.1,0.0,1.7578125,0.3515625,7.03125,52.734375,2.0
Blake Comeau,15-16,LW,81,1058,35.0,46.6,48.0,3.0,3.3,1074,62.4,2.5,46.1,38.6,2.0,1.9365679479101032,1.621508086536442,1.4702793530770846,45.11657214870826,4.0
Erik Condra,15-16,RW,54,642,16.0,54.8,53.4,3.1,2.5,389,52.3,2.7,17.1,18.3,2.2,1.7757009345794394,1.9003115264797508,1.6614745586708204,40.39460020768432,3.0
Kevin Connauton,15-16,D,65,1004,58.0,47.1,47.5,-0.3,0.0,995,48.4,2.2,40.7,36.1,1.9,2.2451731535396875,1.9914189396261108,3.1995096536929206,54.88813974869752,2.0
Brett Connolly,15-16,RW,71,778,36.0,51.5,51.7,3.5,3.6,779,52.9,2.9,35.1,34.6,2.9,2.287555668199428,2.254969405119664,2.346210941743003,50.7693978782722,2.0
Andrew Copp,15-16,C,77,480,18.0,47.6,47.4,-4.1,-4.1,467,53.9,1.1,17.8,19.4,2.1,1.7337662337662338,1.8896103896103895,1.7532467532467533,45.48701298701299,4.0
Patrice Cormier,15-16,C,2,270,0.0,72.7,75.0,16.8,20.9,3,25.0,0.0,0.1,0.1,0.0,0.6666666666666667,0.6666666666666667,0.0,20.0,5.0
Frank Corrado,15-16,D,39,867,37.0,54.2,52.1,0.5,1.0,441,42.2,3.5,19.4,17.7,2.0,2.065477774820335,1.8844822997072133,3.939313281873835,46.95235560287463,2.0
Nick Cousins,15-16,C,36,644,17.0,53.3,54.5,3.1,3.0,319,42.9,1.5,11.9,12.8,2.3,1.8478260869565217,1.987577639751553,2.639751552795031,49.53416149068323,3.0
Logan Couture,15-16,C,52,1043,38.0,52.4,53.8,0.0,-0.2,586,47.6,2.6,21.6,29.1,3.0,1.4337340511837158,1.9315583745113947,2.52230990486024,38.89667379600266,4.0
Sean Couturier,15-16,C,63,1116,30.0,52.4,51.5,2.1,1.0,837,56.6,2.2,34.5,36.1,2.6,1.7665130568356375,1.8484383000512035,1.5360983102918586,42.85714285714286,4.0
