Player,season,Pos,GP,FOW,FOL,FaceoffRating
Danny DeKeyser,14-15,D,80,0.0,0.0,0
Michael Del Zotto,14-15,D,64,0.0,0.0,0
Jason Demers,14-15,D,81,0.0,0.0,0
David Desharnais,14-15,C,82,629.0,560.0,19
Andrew Desjardins,14-15,C,69,139.0,156.0,5
Nicolas Deslauriers,14-15,LW,82,0.0,1.0,0
Simon Despres,14-15,D,75,0.0,1.0,0
Raphael Diaz,14-15,D,56,0.0,0.0,0
Brenden Dillon,14-15,D,80,0.0,0.0,0
Shane Doan,14-15,RW,79,3.0,8.0,0
Matt Donovan,14-15,D,12,0.0,0.0,0
Derek Dorsett,14-15,RW,79,7.0,9.0,0
Drew Doughty,14-15,D,82,0.0,1.0,0
Steve Downie,14-15,RW,72,4.0,4.0,0
Leon Draisaitl,14-15,C,37,128.0,182.0,5
Jonathan Drouin,14-15,LW,70,10.0,11.0,0
Brandon Dubinsky,14-15,C,47,436.0,423.0,16
Matt Duchene,14-15,C,82,635.0,582.0,18
Anthony Duclair,14-15,LW,18,0.0,0.0,0
Mathew Dumba,14-15,D,58,0.0,0.0,0
Gabriel Dumont,14-15,C,3,11.0,2.0,15
Brian Dumoulin,14-15,D,8,0.0,0.0,0
Pascal Dupuis,14-15,RW,16,1.0,0.0,0
Patrick Dwyer,14-15,RW,71,5.0,14.0,0
Cody Eakin,14-15,C,78,656.0,636.0,16
Patrick Eaves,14-15,RW,47,2.0,3.0,0
Andrew Ebbett,14-15,C,24,39.0,47.0,5
Jordan Eberle,14-15,RW,81,1.0,5.0,0
Alexander Edler,14-15,D,74,0.0,1.0,0
Christian Ehrhoff,14-15,D,49,0.0,0.0,0
Aaron Ekblad,14-15,D,81,0.0,0.0,0
Mattias Ekholm,14-15,D,80,1.0,0.0,-1
Oliver Ekman-Larsson,14-15,D,82,0.0,0.0,0
Patrik Eliáš,14-15,C,69,271.0,415.0,5
Lars Eller,14-15,C,77,405.0,374.0,17
Keaton Ellerby,14-15,D,1,0.0,0.0,0
Stefan Elliott,14-15,D,5,0.0,0.0,0
Matt Ellis,14-15,LW,39,100.0,105.0,7
Ryan Ellis,14-15,D,58,0.0,0.0,0
Alexei Emelin,14-15,D,68,0.0,0.0,0
Deryk Engelland,14-15,D,76,0.0,0.0,0
Tyler Ennis,14-15,C,78,67.0,115.0,5
Toby Enström,14-15,D,60,0.0,0.0,0
Martin Erat,14-15,RW,79,0.0,6.0,0
Jonathan Ericsson,14-15,D,82,0.0,0.0,0
Loui Eriksson,14-15,RW,81,4.0,8.0,0
Tim Erixon,14-15,D,42,0.0,0.0,0
Emerson Etem,14-15,LW,45,2.0,2.0,0
Dennis Everberg,14-15,RW,55,0.0,3.0,0
Justin Falk,14-15,D,18,0.0,0.0,0
Bobby Farnham,14-15,RW,11,0.0,0.0,0
Jesper Fast,14-15,RW,58,6.0,14.0,0
Justin Faulk,14-15,D,82,0.0,0.0,0
Mark Fayne,14-15,D,74,0.0,0.0,0
Taylor Fedun,14-15,D,7,0.0,0.0,0
Eric Fehr,14-15,RW,75,449.0,414.0,17
Andrew Ference,14-15,D,70,0.0,2.0,0
Micheal Ferland,14-15,LW,26,0.0,0.0,0
Brian Ferlin,14-15,RW,7,0.0,1.0,0
Landon Ferraro,14-15,C,3,0.0,0.0,0
Kevin Fiala,14-15,LW,1,0.0,0.0,0
Vernon Fiddler,14-15,C,80,569.0,528.0,18
Valtteri Filppula,14-15,C,82,573.0,567.0,15
Mike Fisher,14-15,C,59,601.0,548.0,19
Mark Fistric,14-15,D,9,0.0,0.0,0
Tomáš Fleischmann,14-15,LW,66,4.0,10.0,0
Brian Flynn,14-15,C,63,172.0,179.0,8
Marcus Foligno,14-15,LW,57,57.0,75.0,5
Nick Foligno,14-15,LW,79,125.0,138.0,5
Christian Folin,14-15,D,40,0.0,0.0,0
Justin Fontaine,14-15,RW,71,1.0,1.0,0
Filip Forsberg,14-15,C,82,3.0,4.0,0
Cam Fowler,14-15,D,80,0.0,0.0,0
Cody Franson,14-15,D,78,0.0,0.0,0
Johan Franzén,14-15,C,33,5.0,10.0,0
Colin Fraser,14-15,C,1,0.0,0.0,0
Mark Fraser,14-15,D,34,0.0,0.0,0
Matt Fraser,14-15,RW,60,3.0,4.0,0
Matt Frattin,14-15,RW,9,1.0,0.0,0
Max Friberg,14-15,LW,1,0.0,0.0,0
Michael Frolík,14-15,RW,82,14.0,27.0,0
Marián Gáborík,14-15,RW,69,1.0,0.0,-1
Simon Gagné,14-15,LW,23,1.0,8.0,0
Sam Gagner,14-15,C,81,361.0,405.0,8
Alex Galchenyuk,14-15,C,80,82.0,85.0,5
T.J. Galiardi,14-15,LW,38,2.0,9.0,0
Stanislav Galiev,14-15,RW,2,0.0,0.0,0
Brendan Gallagher,14-15,RW,82,43.0,52.0,5
Ryan Garbutt,14-15,LW,67,16.0,9.0,0
Jake Gardiner,14-15,D,79,0.0,0.0,0
Jason Garrison,14-15,D,70,0.0,0.0,0
Tyler Gaudet,14-15,C,2,9.0,8.0,17
Johnny Gaudreau,14-15,LW,80,3.0,5.0,0
Paul Gaustad,14-15,C,73,619.0,478.0,24
Luke Gazdic,14-15,LW,40,0.0,0.0,0
Éric Gélinas,14-15,D,61,0.0,0.0,0
Nathan Gerbe,14-15,LW,78,9.0,6.0,0
Ryan Getzlaf,14-15,C,77,632.0,612.0,16
Brian Gibbons,14-15,C,25,4.0,5.0,0
Tom Gilbert,14-15,D,72,0.0,0.0,0
Brian Gionta,14-15,RW,69,69.0,100.0,5
Stephen Gionta,14-15,RW,61,155.0,239.0,5
Mark Giordano,14-15,D,61,0.0,0.0,0
Dan Girardi,14-15,D,82,0.0,0.0,0
Zemgus Girgensons,14-15,C,61,440.0,556.0,5
Claude Giroux,14-15,C,81,1063.0,807.0,25
Tanner Glass,14-15,LW,66,10.0,11.0,0
Tim Gleason,14-15,D,72,0.0,0.0,0
Curtis Glencross,14-15,LW,71,8.0,10.0,0
Luke Glendening,14-15,C,82,499.0,463.0,17
Marcel Goc,14-15,C,74,372.0,309.0,20
Alex Goligoski,14-15,D,81,0.0,0.0,0
Cody Goloubef,14-15,D,36,0.0,0.0,0
Scott Gomez,14-15,C,58,357.0,418.0,8
Sergei Gonchar,14-15,D,48,1.0,0.0,-1
Barclay Goodrow,14-15,RW,60,12.0,11.0,0
Boyd Gordon,14-15,C,68,681.0,526.0,24
Josh Gorges,14-15,D,46,0.0,0.0,0
Brandon Gormley,14-15,D,27,0.0,0.0,0
Shayne Gostisbehere,14-15,D,2,0.0,0.0,0
Michael Grabner,14-15,RW,34,0.0,2.0,0
Mikhail Grabovski,14-15,C,51,38.0,45.0,5
Petter Granberg,14-15,D,7,0.0,0.0,0
Markus Granlund,14-15,C,48,198.0,331.0,5
Mikael Granlund,14-15,C,68,476.0,508.0,11
Tyler Graovac,14-15,C,3,6.0,16.0,0
Mike Green,14-15,D,72,0.0,0.0,0
Andy Greene,14-15,D,82,0.0,0.0,0
Matt Greene,14-15,D,82,0.0,0.0,0
Colin Greening,14-15,LW,26,6.0,2.0,0
Seth Griffith,14-15,C,30,3.0,6.0,0
Mikhail Grigorenko,14-15,C,25,153.0,173.0,9
Rocco Grimaldi,14-15,C,7,6.0,8.0,0
Nicklas Grossmann,14-15,D,68,0.0,0.0,0
Eric Gryba,14-15,D,75,0.0,0.0,0
Radko Gudas,14-15,D,31,0.0,0.0,0
Erik Gudbranson,14-15,D,76,0.0,0.0,0
Nate Guenin,14-15,D,76,0.0,0.0,0
Carl Gunnarsson,14-15,D,61,0.0,0.0,0
Carl Hagelin,14-15,LW,82,7.0,10.0,0
Ron Hainsey,14-15,D,81,1.0,0.0,-1
Micheal Haley,14-15,C,4,1.0,1.0,0
Matt Halischuk,14-15,RW,47,1.0,0.0,-1
Taylor Hall,14-15,LW,53,45.0,52.0,5
Dan Hamhuis,14-15,D,59,0.0,0.0,0
Curtis Hamilton,14-15,LW,1,0.0,0.0,0
Dougie Hamilton,14-15,D,72,0.0,0.0,0
Freddie Hamilton,14-15,C,18,23.0,37.0,5
Ryan Hamilton,14-15,LW,16,1.0,3.0,0
Travis Hamonic,14-15,D,71,0.0,0.0,0
Scott Hannan,14-15,D,58,0.0,0.0,0
Jannik Hansen,14-15,RW,81,1.0,4.0,0
Martin Hanzal,14-15,C,37,346.0,266.0,24
Scott Harrington,14-15,D,10,0.0,0.0,0
Jay Harrison,14-15,D,55,0.0,0.0,0
Peter Harrold,14-15,D,43,0.0,0.0,0
Ryan Hartman,14-15,RW,5,0.0,0.0,0
Scott Hartnell,14-15,LW,77,7.0,7.0,0
Erik Haula,14-15,C,72,260.0,307.0,6
Martin Havlát,14-15,RW,40,0.0,0.0,0
Eriah Hayes,14-15,RW,4,1.0,0.0,0
Jimmy Hayes,14-15,RW,72,4.0,5.0,0
Kevin Hayes,14-15,RW,79,248.0,430.0,5
Dany Heatley,14-15,LW,6,0.0,0.0,0
Victor Hedman,14-15,D,59,0.0,0.0,0
Jan Hejda,14-15,D,81,0.0,0.0,0
Seth Helgeson,14-15,D,22,0.0,0.0,0
Darren Helm,14-15,C,75,223.0,192.0,13
Aleš Hemský,14-15,RW,76,0.0,0.0,0
Matt Hendricks,14-15,LW,71,98.0,100.0,5
Adam Henrique,14-15,C,75,260.0,246.0,13
Tomáš Hertl,14-15,C,82,35.0,43.0,5
Thomas Hickey,14-15,D,81,1.0,1.0,0
Chris Higgins,14-15,LW,77,3.0,6.0,0
Jack Hillen,14-15,D,38,0.0,0.0,0
Joey Hishon,14-15,C,13,35.0,43.0,5
Niklas Hjalmarsson,14-15,D,82,0.0,0.0,0
Justin Hodgman,14-15,C,5,25.0,21.0,20
Cody Hodgson,14-15,C,78,173.0,204.0,5
Mike Hoffman,14-15,LW,79,7.0,7.0,0
Nick Holden,14-15,D,78,0.0,0.0,0
Peter Holland,14-15,C,62,312.0,373.0,7
Korbinian Holzer,14-15,D,34,0.0,0.0,0
Shawn Horcoff,14-15,C,76,237.0,235.0,10
Patric Hörnqvist,14-15,RW,64,2.0,5.0,0
Bo Horvat,14-15,C,68,436.0,409.0,17
Marián Hossa*,14-15,RW,82,4.0,3.0,0
Raman Hrabarenka,14-15,D,1,0.0,0.0,0
Jonathan Huberdeau,14-15,LW,79,2.0,6.0,0
Jiří Hudler,14-15,C,78,21.0,25.0,0
Brad Hunt,14-15,D,11,0.0,0.0,0
Matt Hunwick,14-15,D,55,0.0,0.0,0
Jarome Iginla*,14-15,RW,82,57.0,71.0,5
Matt Irwin,14-15,D,53,0.0,0.0,0
Barret Jackman,14-15,D,80,0.0,0.0,0
Tim Jackman,14-15,RW,55,10.0,4.0,0
Jaromír Jágr,14-15,RW,77,1.0,0.0,-1
Calle Järnkrok,14-15,C,74,295.0,345.0,7
Dmitrij Jaškin,14-15,RW,54,3.0,4.0,0
Boone Jenner,14-15,C,31,151.0,155.0,12
Nicklas Jensen,14-15,RW,5,0.0,0.0,0
Jesse Joensuu,14-15,LW,20,0.0,0.0,0
Ryan Johansen,14-15,C,82,850.0,787.0,18
Marcus Johansson,14-15,C,82,7.0,9.0,0
Erik Johnson,14-15,D,47,0.0,0.0,0
Jack Johnson,14-15,D,79,0.0,0.0,0
Tyler Johnson,14-15,C,77,508.0,569.0,9
Jussi Jokinen,14-15,LW,81,126.0,124.0,5
Olli Jokinen,14-15,C,62,133.0,196.0,5
Jyrki Jokipakka,14-15,D,51,0.0,0.0,0
Blair Jones,14-15,C,4,5.0,5.0,3
David Jones,14-15,RW,67,15.0,16.0,0
Seth Jones,14-15,D,82,0.0,0.0,0
Josh Jooris,14-15,RW,60,279.0,293.0,11
Michal Jordán,14-15,D,38,0.0,0.0,0
Jacob Josefson,14-15,C,62,289.0,302.0,11
Roman Josi,14-15,D,81,0.0,1.0,0
Tomáš Jurčo,14-15,RW,63,0.0,2.0,0
Nazem Kadri,14-15,C,73,528.0,616.0,8
Patrick Kaleta,14-15,RW,42,3.0,5.0,0
Steven Kampfer,14-15,D,25,0.0,0.0,0
Evander Kane,14-15,LW,37,30.0,37.0,5
Patrick Kane,14-15,RW,61,3.0,4.0,0
Erik Karlsson,14-15,D,82,0.0,0.0,0
Melker Karlsson,14-15,C,53,13.0,20.0,0
William Karlsson,14-15,C,21,93.0,104.0,9
Zack Kassian,14-15,RW,42,0.0,6.0,0
Duncan Keith,14-15,D,80,0.0,0.0,0
Chris Kelly,14-15,C,80,262.0,274.0,9
Ronalds Ķēniņš,14-15,LW,30,0.0,0.0,0
Tyler Kennedy,14-15,C,38,13.0,15.0,0
Ryan Kesler,14-15,C,81,937.0,718.0,25
Phil Kessel,14-15,RW,82,2.0,3.0,0
Alexander Khokhlachev,14-15,C,3,9.0,8.0,13
Alex Killorn,14-15,C,71,34.0,46.0,5
Jakub Kindl,14-15,D,35,0.0,0.0,0
Dwight King,14-15,LW,81,3.0,2.0,0
Oscar Klefbom,14-15,D,60,0.0,0.0,0
Kevin Klein,14-15,D,65,0.0,1.0,0
Carl Klingberg,14-15,LW,2,0.0,0.0,0
John Klingberg,14-15,D,65,0.0,0.0,0
Rob Klinkhammer,14-15,C,69,10.0,27.0,0
Corban Knight,14-15,C,2,9.0,2.0,19
Slater Koekkoek,14-15,D,3,0.0,0.0,0
Mikko Koivu,14-15,C,80,989.0,791.0,23
Leo Komarov,14-15,C,62,95.0,97.0,5
Tomáš Kopecký,14-15,RW,64,3.0,1.0,0
Anže Kopitar,14-15,C,79,736.0,674.0,18
Lauri Korpikoski,14-15,LW,69,11.0,22.0,0
Mike Kostka,14-15,D,7,0.0,0.0,0
Brandon Kozun,14-15,RW,20,1.0,1.0,0
Chris Kreider,14-15,LW,80,9.0,12.0,0
David Krejčí,14-15,C,47,316.0,266.0,21
Niklas Kronwall,14-15,D,80,1.0,0.0,-1
Torey Krug,14-15,D,78,0.0,0.0,0
Marcus Krüger,14-15,C,81,357.0,313.0,17
Nikita Kucherov,14-15,RW,82,0.0,2.0,0
Brett Kulak,14-15,D,1,0.0,0.0,0
Nikolai Kulemin,14-15,LW,82,7.0,17.0,0
Dmitry Kulikov,14-15,D,73,0.0,0.0,0
Chris Kunitz,14-15,LW,74,7.0,6.0,0
Evgeny Kuznetsov,14-15,C,80,304.0,377.0,5
Andrew Ladd,14-15,LW,81,7.0,13.0,0
Brooks Laich,14-15,C,66,87.0,111.0,5
Anton Lander,14-15,C,38,226.0,225.0,14
Gabriel Landeskog,14-15,LW,82,16.0,29.0,0
Maxim Lapierre,14-15,C,80,307.0,273.0,16
Adam Larsson,14-15,D,64,0.0,0.0,0
Johan Larsson,14-15,LW,39,150.0,191.0,5
Brian Lashoff,14-15,D,11,0.0,0.0,0
Michael Latta,14-15,C,53,160.0,175.0,7
Scott Laughton,14-15,C,31,134.0,141.0,11
Oliver Lauridsen,14-15,D,1,0.0,0.0,0
Curtis Lazar,14-15,C,67,129.0,144.0,5
Vincent Lecavalier,14-15,C,57,95.0,96.0,5
Nick Leddy,14-15,D,78,0.0,0.0,0
Anders Lee,14-15,C,76,1.0,0.0,-1
David Legwand,14-15,C,80,451.0,507.0,9
Jori Lehterä,14-15,C,75,541.0,513.0,17
Josh Leivo,14-15,LW,9,0.0,2.0,0
Jordan Leopold,14-15,D,43,0.0,0.0,0
Bryan Lerg,14-15,C,2,4.0,0.0,5
Lucas Lessio,14-15,LW,26,0.0,2.0,0
Kris Letang,14-15,D,69,0.0,1.0,0
Mark Letestu,14-15,C,54,319.0,284.0,19
Trevor Lewis,14-15,C,73,66.0,98.0,5
John-Michael Liles,14-15,D,57,0.0,0.0,0
Oscar Lindberg,14-15,C,1,2.0,3.0,1
Matt Lindblad,14-15,C,2,0.0,5.0,0
Petteri Lindbohm,14-15,D,23,0.0,0.0,0
Elias Lindholm,14-15,C,81,115.0,105.0,5
Hampus Lindholm,14-15,D,78,0.0,4.0,0
Joakim Lindström,14-15,C,53,7.0,16.0,0
Bryan Little,14-15,C,70,759.0,780.0,13
Ben Lovejoy,14-15,D,60,0.0,0.0,0
Keegan Lowe,14-15,D,2,0.0,0.0,0
Adam Lowry,14-15,LW,80,406.0,453.0,9
Milan Lucic,14-15,LW,81,34.0,40.0,5
Joffrey Lupul,14-15,LW,55,4.0,2.0,0
Olli Määttä,14-15,D,20,0.0,0.0,0
Clarke MacArthur,14-15,LW,62,8.0,13.0,0
Andrew MacDonald,14-15,D,58,0.0,0.0,0
Derek MacKenzie,14-15,C,82,543.0,479.0,20
Nathan MacKinnon,14-15,C,64,201.0,227.0,7
Andrew MacWilliam,14-15,D,12,0.0,1.0,0
Manny Malhotra,14-15,C,58,537.0,367.0,27
Evgeni Malkin,14-15,C,69,322.0,427.0,5
Brad Malone,14-15,C,65,30.0,19.0,1
Ryan Malone,14-15,LW,6,1.0,0.0,0
Brandon Manning,14-15,D,11,0.0,0.0,0
Josh Manson,14-15,D,28,0.0,0.0,0
Brad Marchand,14-15,LW,77,13.0,19.0,0
Alexey Marchenko,14-15,D,13,0.0,0.0,0
Jonathan Marchessault,14-15,C,2,1.0,2.0,0
Martin Marinčin,14-15,D,41,1.0,0.0,-1
Andrei Markov,14-15,D,81,0.0,0.0,0
Patrick Marleau,14-15,LW,82,139.0,182.0,5
Pat Maroon,14-15,LW,71,7.0,14.0,0
Matt Martin,14-15,LW,78,5.0,5.0,0
Paul Martin,14-15,D,74,0.0,0.0,0
Alec Martinez,14-15,D,56,0.0,0.0,0
Jordan Martinook,14-15,C,8,1.0,0.0,0
Stefan Matteau,14-15,LW,7,0.0,0.0,0
Shawn Matthias,14-15,C,78,85.0,102.0,5
Jamie McBain,14-15,D,26,0.0,0.0,0
Jake McCabe,14-15,D,2,0.0,0.0,0
Jay McClement,14-15,C,82,549.0,441.0,23
Cody McCormick,14-15,C,33,147.0,144.0,14
