Name,Short Name,Team,ShotPct,SOGPlus,Pos,Other Pos,Rook,GP,Goals,Asst,Pts,SOG,FOW,FOL,PPG,SHG,GWG,GTG,PIM,Mins,+/-,Pas C,Pas I,Cor W,Cor L,Ft W,Ft L,Ft D,Hits,Blks,Saves,Gls A,GAA,W,L,T,EN,ShO,Sv Pct,Sh Fat,Gm Fat,Inj Rt,Skate,Pass,Fchk,Phys,Int,Clr,Rock,Kill,Blk,FO,Speed,C,LW,RW,LD,RD
"Aho, Sebastian",Aho,WIN,25,43,C,LW,N,82,30,53,83,243,585,619,3,4,7,0,26,1652,25,0,0,0,0,0,0,0,65,34,0,0,0,0,0,0,0,0,,90,20:15,0,5,5,4,2,1,0,0,0,0,2,5,4,4,0,0,0
"Anderson, Josh",Jos. Anderson,WIN,23,53,RW,,N,82,27,20,47,230,12,26,3,2,5,0,60,1396,25,0,0,0,0,0,0,0,214,40,0,0,0,0,0,0,0,0,,90,17:00,0,4,4,5,5,5,0,0,1,0,0,4,0,0,5,0,0
"Bailey, Josh",Jo. Bailey,BOS,25,33,RW,LW,N,82,16,40,56,126,140,132,2,1,4,0,21,1380,8,0,0,0,0,0,0,0,19,32,0,0,0,0,0,0,0,0,,90,16:45,0,4,4,2,1,1,0,1,0,0,2,3,0,3,3,0,0
"Barkov, Aleksander",Barkov,TAM,34,59,C,,N,82,35,61,96,206,1041,898,13,0,5,0,8,1833,-3,0,0,0,0,0,0,0,28,61,0,0,0,0,0,0,0,0,,90,22:15,0,4,5,5,2,2,0,0,1,0,4,4,4,0,0,0,0
"Barzal, Mathew",Barzal,SAN,20,28,C,,N,82,18,44,62,179,241,339,3,0,3,0,46,1470,-5,0,0,0,0,0,0,0,25,56,0,0,0,0,0,0,0,0,,90,18:00,0,5,5,3,2,1,0,0,0,0,1,5,2,0,0,0,0
"Brodin, Jonas",Brodin,LSV,7,14,LD,,N,82,4,14,18,111,0,0,0,1,2,0,30,1685,-15,0,0,0,0,0,0,0,61,135,0,0,0,0,0,0,0,0,,120,20:30,0,3,3,0,3,2,3,0,0,1,0,3,0,0,0,5,0
"Brown, Connor",C. Brown,LAD,19,25,RW,LW,N,82,8,21,29,85,20,31,0,0,0,0,16,1131,11,0,0,0,0,0,0,0,35,37,0,0,0,0,0,0,0,0,,90,13:45,0,3,4,2,2,1,0,1,0,0,0,3,0,3,3,0,0
"Burns, Brent",Burns,CHI,11,21,RD,,N,82,16,67,83,300,0,1,7,1,6,0,34,2058,13,0,0,0,0,0,0,0,90,105,0,0,0,0,0,0,0,0,,120,25:00:00,0,4,5,0,3,3,3,0,0,0,0,4,0,0,0,0,4
"Calvert, Matt",Calvert,BOS,16,31,RW,,N,82,11,15,26,141,40,53,1,0,0,0,58,1164,-10,0,0,0,0,0,0,0,115,51,0,0,0,0,0,0,0,0,,90,14:15,0,3,3,5,3,3,0,0,0,0,0,3,0,0,3,0,0
"Cirelli, Anthony",Cirelli,EDM,31,55,C,,Y,82,19,20,39,123,502,449,0,5,5,0,34,1217,25,0,0,0,0,0,0,0,94,49,0,0,0,0,0,0,0,0,,90,14:45,0,3,4,4,3,3,0,0,1,0,3,5,4,0,0,0,0
