Name,Short Name,Team,ShotPct,SOGPlus,Pos,Other Pos,Rook,GP,Goals,Asst,Pts,SOG,FOW,FOL,PPG,SHG,GWG,GTG,PIM,Mins,+/-,Pas C,Pas I,Cor W,Cor L,Ft W,Ft L,Ft D,Hits,Blks,Saves,Gls A,GAA,W,L,T,EN,ShO,Sv Pct,Sh Fat,Gm Fat,Inj Rt,Skate,Pass,Fchk,Phys,Int,Clr,Rock,Kill,Blk,FO,Speed,C,LW,RW,LD,RD
"Connor, Kyle",Connor,WIN,30,53,LW,,N,82,34,32,66,227,8,5,11,1,5,0,18,1579,-7,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,,90,19:15,0,4,4,3,1,1,0,0,0,0,0,5,0,2,0,0,0
"Dadonov, Evgenii",Dadonov,DEN,29,54,RW,LW,N,82,28,42,70,195,2,3,8,0,4,0,8,1506,-6,0,0,0,0,0,0,0,33,42,0,0,0,0,0,0,0,0,,90,18:15,0,4,5,3,2,2,0,0,0,0,0,5,0,2,2,0,0
"Dahlin, Rasmus",Dahlin,TAM,10,15,LD,RD,Y,82,9,35,44,177,0,0,5,0,4,0,34,1735,-13,0,0,0,0,0,0,0,97,66,0,0,0,0,0,0,0,0,,120,21:15,0,5,4,0,3,2,3,0,0,0,0,4,0,0,0,3,3
"DeBrincat, Alex",DeBrincat,NOT,37,71,LW,RW,N,82,41,35,76,220,16,19,13,0,3,0,15,1451,0,0,0,0,0,0,0,0,35,26,0,0,0,0,0,0,0,0,,90,17:45,0,4,4,3,3,1,0,0,0,0,0,5,0,2,2,0,0
"Dillon, Brenden",Dillon,PHI,3,6,LD,RD,N,82,1,21,22,71,0,0,0,1,0,0,61,1455,19,0,0,0,0,0,0,0,201,78,0,0,0,0,0,0,0,0,,120,17:45,0,3,3,0,4,4,5,0,0,0,0,3,0,0,0,3,3
"Domi, Max",Domi,MTL,28,50,C,,N,82,28,44,72,203,447,549,4,0,2,0,80,1425,20,0,0,0,0,0,0,0,53,39,0,0,0,0,0,0,0,0,,90,17:30,0,5,4,4,2,3,0,0,0,0,1,4,2,0,0,0,0
"Doughty, Drew",Doughty,PHI,10,23,RD,,N,82,8,37,45,154,0,0,7,0,1,0,44,2181,-34,0,0,0,0,0,0,0,168,120,0,0,0,0,0,0,0,0,,120,26:30:00,0,4,4,0,4,4,5,0,0,0,0,4,0,0,0,0,4
"Draisaitl, Leon",Draisaitl,VAN,43,75,LW,C,N,82,50,55,105,231,677,663,16,3,5,0,52,1852,2,0,0,0,0,0,0,0,57,26,0,0,0,0,0,0,0,0,,90,22:30,0,5,5,4,2,2,0,0,0,0,3,4,3,3,0,0,0
"Dubois, Pierre-Luc",Dubois,OTT,31,64,C,,N,82,27,34,61,174,455,592,2,0,5,0,64,1453,16,0,0,0,0,0,0,0,115,52,0,0,0,0,0,0,0,0,,90,17:45,0,4,4,3,4,3,0,0,0,0,1,4,3,0,0,0,0
"Ekblad, Aaron",Ekblad,LON,14,33,RD,,N,82,13,24,37,180,0,0,5,0,1,0,47,1939,1,0,0,0,0,0,0,0,114,88,0,0,0,0,0,0,0,0,,120,23:45,0,4,4,0,4,4,4,0,0,0,0,4,0,0,0,0,4
"Ellis, Ryan",Ellis,VAN,9,21,RD,,N,82,7,34,41,149,0,0,1,1,2,0,20,1969,21,0,0,0,0,0,0,0,71,154,0,0,0,0,0,0,0,0,,120,24:00:00,0,4,4,0,3,2,1,0,0,1,0,4,0,0,0,0,4
"Faulk, Justin",Faulk,WIN,10,17,RD,LD,N,82,11,24,35,217,0,0,6,0,3,0,47,1839,9,0,0,0,0,0,0,0,156,121,0,0,0,0,0,0,0,0,,120,22:30,0,5,4,0,4,3,5,0,0,0,0,3,0,0,0,4,4
"Foligno, Marcus",M. Foligno,POR,15,27,LW,RW,N,82,7,12,19,91,13,15,0,0,0,0,55,982,-1,0,0,0,0,0,0,0,206,43,0,0,0,0,0,0,0,0,,90,12:00,0,3,2,4,4,5,0,0,1,0,0,2,0,4,4,0,0
"Gallagher, Brendan",Gallagher,QUE,22,44,RW,,N,82,33,19,52,302,23,28,4,0,4,0,49,1345,10,0,0,0,0,0,0,0,126,31,0,0,0,0,0,0,0,0,,90,16:30,0,4,3,5,3,3,0,0,0,0,0,4,0,0,4,0,0
"Gaudreau, Johnny",J. Gaudreau,CHI,29,53,LW,,N,82,36,63,99,245,1,2,6,0,8,0,24,1646,18,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,,90,20:00,0,5,5,3,1,1,0,0,0,0,0,5,0,2,0,0,0
"Girard, Samuel",Girard,DEN,7,12,LD,RD,N,82,4,23,27,116,1,0,0,0,0,0,6,1631,8,0,0,0,0,0,0,0,65,90,0,0,0,0,0,0,0,0,,120,20:00,0,4,4,0,2,2,2,0,0,0,0,4,0,0,0,2,2
"Giroux, Claude",Giroux,VAN,19,31,LW,C RW,N,82,22,63,85,229,674,489,2,1,4,0,24,1759,9,0,0,0,0,0,0,0,28,19,0,0,0,0,0,0,0,0,,90,21:30,0,4,5,3,2,2,0,0,0,0,5,4,4,4,4,0,0
"Goodrow, Barclay",Goodrow,LON,17,27,C,LW,N,82,7,9,16,84,296,255,0,1,3,0,76,903,4,0,0,0,0,0,0,0,125,68,0,0,0,0,0,0,0,0,,90,11:00,0,3,3,4,4,4,0,1,0,1,3,4,4,4,0,0,0
"Greene, Andy",Greene,VAN,10,21,LD,,N,82,5,20,25,104,0,0,0,0,0,0,16,1708,-9,0,0,0,0,0,0,0,67,208,0,0,0,0,0,0,0,0,,120,20:45,0,3,4,0,2,2,4,0,0,2,0,3,0,0,0,5,0
"Guentzel, Jake",Guentzel,POR,35,63,LW,RW,N,82,40,36,76,227,10,20,6,1,4,0,26,1587,13,0,0,0,0,0,0,0,105,47,0,0,0,0,0,0,0,0,,90,19:15,0,4,4,4,2,1,0,0,0,0,0,4,0,3,3,0,0
"Hagg, Robert",Hagg,SAN,12,16,LD,RD,N,82,5,15,20,86,0,0,0,0,1,0,63,1390,-3,0,0,0,0,0,0,0,258,158,0,0,0,0,0,0,0,0,,120,17:00,0,2,3,0,5,4,4,0,0,2,0,2,0,0,0,3,3
"Hamilton, Dougie",Hamilton,SAS,14,38,RD,,N,82,18,21,39,259,0,1,2,0,2,0,54,1613,0,0,0,0,0,0,0,0,160,91,0,0,0,0,0,0,0,0,,120,19:45,0,3,4,0,3,3,3,0,0,0,0,3,0,0,0,0,2
"Heiskanen, Miro",Heiskanen,MTL,13,18,LD,RD,Y,82,12,21,33,182,0,0,2,0,4,0,16,1895,-14,0,0,0,0,0,0,0,34,71,0,0,0,0,0,0,0,0,0,120,23:00,0,5,4,0,2,1,2,0,0,0,0,4,0,0,0,3,3
"Henrique, Adam",Henrique,SAS,30,43,C,,N,82,18,24,42,122,571,511,8,0,3,0,24,1349,-5,0,0,0,0,0,0,0,78,71,0,0,0,0,0,0,0,0,,90,16:30,0,4,4,3,3,2,0,1,0,0,3,4,3,0,0,0,0
"Hjalmarsson, Niklas",Hjalmarsson,POR,0,3,RD,LD,N,82,0,10,10,57,0,0,0,0,0,0,44,1615,8,0,0,0,0,0,0,0,45,187,0,0,0,0,0,0,0,0,,120,19:45,0,2,2,0,2,1,2,0,0,2,0,2,0,0,0,5,5
"Hoffman, Mike",Hoffman,CHI,28,56,RW,LW,N,82,36,34,70,253,13,25,17,0,6,0,30,1463,-24,0,0,0,0,0,0,0,42,26,0,0,0,0,0,0,0,0,,90,17:45,0,4,4,3,2,1,0,0,0,0,0,5,0,2,2,0,0
"Horvat, Bo",Horvat,POR,24,45,C,,N,82,27,34,61,227,1083,935,7,2,3,0,33,1709,-4,0,0,0,0,0,0,0,62,63,0,0,0,0,0,0,0,0,,90,20:45,0,4,4,3,3,2,0,0,0,0,4,3,3,0,0,0,0
"Huberdeau, Jonathan",Huberdeau,LSV,27,45,LW,,N,82,30,62,92,226,12,7,11,0,5,0,40,1546,-14,0,0,0,0,0,0,0,57,45,0,0,0,0,0,0,0,0,,90,18:45,0,5,5,4,3,2,0,0,0,0,0,4,0,3,0,0,0
"Iafallo, Alex",Iafallo,LAD,20,41,LW,,N,82,15,18,33,148,7,17,2,0,2,0,22,1380,-17,0,0,0,0,0,0,0,87,54,0,0,0,0,0,0,0,0,,90,16:45,0,3,3,3,3,2,0,0,0,0,0,3,0,3,0,0,0
"Johnson, Jack",J. Johnson,CHI,2,5,LD,RD,N,82,1,12,13,86,0,0,1,0,0,0,41,1581,-4,0,0,0,0,0,0,0,233,147,0,0,0,0,0,0,0,0,,120,19:15,0,3,3,0,4,4,4,0,0,1,0,3,0,0,0,3,3
"Josi, Roman",Josi,CHI,11,25,LD,,N,82,15,41,56,274,0,1,2,0,4,0,42,2064,9,0,0,0,0,0,0,0,53,144,0,0,0,0,0,0,0,0,,120,25:15:00,0,5,4,0,2,2,3,0,0,1,0,4,0,0,0,4,0
"Kahun, Dominik",Kahun,LON,19,37,RW,LW,Y,82,13,24,37,137,22,39,1,0,2,0,6,1160,10,0,0,0,0,0,0,0,13,27,0,0,0,0,0,0,0,0,0,90,14:15,0,3,4,2,1,1,0,0,0,0,0,4,0,2,2,0,0
"Karlsson, William",W. Karlsson,QUE,28,53,C,,N,82,24,32,56,169,588,646,7,1,5,0,16,1545,1,0,0,0,0,0,0,0,51,55,0,0,0,0,0,0,0,0,,90,18:45,0,4,4,4,2,2,0,0,0,0,2,4,4,0,0,0,0
"Keith, Duncan",Keith,NOT,9,12,LD,,N,82,6,34,40,141,0,0,0,0,1,0,70,1887,13,0,0,0,0,0,0,0,42,144,0,0,0,0,0,0,0,0,,120,23:00,0,5,4,0,3,3,2,0,0,1,0,3,0,0,0,4,0
"Keller, Clayton",Keller,WIN,14,26,RW,LW,N,82,14,33,47,200,28,56,1,0,5,0,24,1495,-21,0,0,0,0,0,0,0,16,21,0,0,0,0,0,0,0,0,,90,18:15,0,4,4,2,1,1,0,0,0,0,0,4,0,1,1,0,0
"Kessel, Phil",Kessel,BOS,25,46,RW,,N,82,27,55,82,215,4,5,12,0,10,0,28,1474,-19,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,,90,18:00,0,4,4,1,1,1,0,0,0,0,0,4,0,0,1,0,0
"Killorn, Alex",Killorn,EDM,24,37,LW,RW,N,82,18,22,40,153,2,8,2,1,2,0,45,1220,22,0,0,0,0,0,0,0,88,23,0,0,0,0,0,0,0,0,,90,14:45,0,4,4,3,4,2,0,0,1,0,0,3,0,4,4,0,0
"Komarov, Leo",Komarov,LSV,15,22,RW,LW,N,82,6,20,26,78,84,100,0,0,1,0,42,1139,18,0,0,0,0,0,0,0,203,38,0,0,0,0,0,0,0,0,,90,14:00,0,3,4,4,5,5,0,1,0,0,1,3,0,5,5,0,0
"Konecny, Travis",Konecny,OTT,26,50,RW,,N,82,24,25,49,182,7,15,4,0,3,0,40,1251,-4,0,0,0,0,0,0,0,65,45,0,0,0,0,0,0,0,0,,90,15:15,0,4,4,4,2,3,0,0,0,0,0,4,0,0,2,0,0
"Kucherov, Nikita",Kucherov,PHI,33,58,RW,LW,N,82,41,87,128,246,0,3,15,0,8,0,62,1637,24,0,0,0,0,0,0,0,44,31,0,0,0,0,0,0,0,0,,90,20:00,0,5,6,3,2,1,0,0,0,0,0,4,0,1,1,0,0
"Labanc, Kevin",Labanc,NYH,26,44,RW,LW,N,82,17,39,56,130,9,14,2,0,4,0,36,1150,-1,0,0,0,0,0,0,0,66,16,0,0,0,0,0,0,0,0,,90,14:00,0,4,5,3,3,2,0,0,0,0,0,5,0,3,3,0,0
"Laine, Patrik",Laine,SAN,24,47,RW,LW,N,82,30,20,50,245,11,19,15,0,3,0,42,1413,-24,0,0,0,0,0,0,0,70,44,0,0,0,0,0,0,0,0,,90,17:15,0,4,3,2,2,2,0,0,0,0,0,4,0,1,1,0,0
"Larsson, Adam",A. Larsson,VAN,5,8,RD,,N,82,3,17,20,117,0,0,0,0,0,0,44,1773,-28,0,0,0,0,0,0,0,256,128,0,0,0,0,0,0,0,0,,120,21:30,0,4,3,0,5,3,5,0,0,1,0,3,0,0,0,0,5
"Laughton, Scott",Laughton,OTT,18,34,LW,C,N,82,12,20,32,130,344,291,0,0,1,0,53,1218,-11,0,0,0,0,0,0,0,146,46,0,0,0,0,0,0,0,0,,90,14:45,0,3,3,3,4,4,0,0,0,0,4,3,3,3,0,0,0
"Leddy, Nick",Leddy,EDM,7,10,LD,RD,N,82,4,22,26,116,0,0,0,0,0,0,18,1767,0,0,0,0,0,0,0,0,77,89,0,0,0,0,0,0,0,0,,120,21:30,0,4,4,0,3,1,2,0,0,0,0,4,0,0,0,2,2
"Lee, Anders",Lee,WIN,27,40,LW,,N,82,28,23,51,204,75,80,10,0,5,0,58,1401,20,0,0,0,0,0,0,0,103,51,0,0,0,0,0,0,0,0,,90,17:00,0,3,4,3,4,3,0,1,0,0,0,4,0,3,0,0,0
"Lehkonen, Artturi",Lehkonen,SAS,13,20,LW,RW,N,82,11,20,31,176,5,14,0,0,4,0,32,1276,10,0,0,0,0,0,0,0,120,39,0,0,0,0,0,0,0,0,,90,15:30,0,4,4,3,3,2,0,0,1,0,0,4,0,4,4,0,0
"Lindell, Esa",Lindell,POR,17,20,LD,,N,82,11,21,32,132,0,0,4,2,1,0,33,1995,14,0,0,0,0,0,0,0,143,161,0,0,0,0,0,0,0,0,,120,24:15:00,0,4,3,0,4,2,4,0,0,1,0,4,0,0,0,5,0
"Little, Bryan",Little,QUE,24,42,C,RW,N,82,15,26,41,126,526,476,4,0,5,0,26,1298,-12,0,0,0,0,0,0,0,62,29,0,0,0,0,0,0,0,0,,90,15:45,0,3,4,3,2,1,0,0,0,0,3,3,3,0,3,0,0
"MacKinnon, Nathan",MacKinnon,VAN,22,46,C,,N,82,41,58,99,365,518,666,12,0,6,0,34,1812,20,0,0,0,0,0,0,0,54,31,0,0,0,0,0,0,0,0,,90,22:00,0,5,5,4,2,2,0,0,0,0,2,5,3,0,0,0,0
"Marchessault, Jonathan",Marchessault,SAS,18,32,LW,RW,N,82,25,34,59,278,92,155,5,0,6,0,52,1488,2,0,0,0,0,0,0,0,98,22,0,0,0,0,0,0,0,0,,90,18:15,0,4,4,3,3,3,0,0,0,0,0,4,0,2,2,0,0
"Marleau, Patrick",Marleau,POR,20,30,LW,,N,82,16,21,37,161,104,99,4,0,3,0,28,1340,-6,0,0,0,0,0,0,0,74,41,0,0,0,0,0,0,0,0,,90,16:15,0,3,4,2,2,1,0,1,0,0,2,3,0,2,0,0,0
"Marner, Mitch",Marner,MTL,22,40,RW,,N,82,26,68,94,233,7,5,3,1,5,0,22,1625,22,0,0,0,0,0,0,0,29,43,0,0,0,0,0,0,0,0,,90,19:45,0,4,5,3,1,1,0,0,0,0,0,4,0,0,2,0,0
"Martinook, Jordan",Martinook,NOT,21,33,LW,C RW,N,82,15,10,25,146,150,191,0,1,5,0,38,1188,1,0,0,0,0,0,0,0,199,46,0,0,0,0,0,0,0,0,,90,14:30,0,2,2,4,5,3,0,0,0,0,1,3,3,3,3,0,0
"McDonagh, Ryan",McDonagh,NYH,14,28,LD,,N,82,9,37,46,128,0,0,0,0,1,0,34,1811,38,0,0,0,0,0,0,0,98,161,0,0,0,0,0,0,0,0,,120,22:00,0,3,4,0,3,4,4,0,0,1,0,2,0,0,0,5,0
"McGinn, Brock",B. McGinn,POR,16,27,LW,RW,N,82,10,16,26,123,26,35,0,1,0,0,20,1173,10,0,0,0,0,0,0,0,137,38,0,0,0,0,0,0,0,0,,90,14:15,0,3,3,5,4,3,0,0,1,0,0,3,0,4,4,0,0
"Nelson, Brock",B. Nelson,EDM,28,43,C,,N,82,25,28,53,181,594,652,2,1,3,0,28,1474,20,0,0,0,0,0,0,0,51,55,0,0,0,0,0,0,0,0,,90,18:00,0,3,4,3,2,2,0,0,0,0,2,3,3,0,0,0,0
"Nugent-Hopkins, Ryan",Nugent-Hopkins,BOS,27,47,C,LW,N,82,28,41,69,208,379,461,8,1,3,0,26,1648,-13,0,0,0,0,0,0,0,69,40,0,0,0,0,0,0,0,0,,90,20:00,0,5,4,3,3,2,0,0,0,0,2,5,3,3,0,0,0
"Nurse, Darnell",Nurse,CHI,10,25,LD,,N,82,10,31,41,196,0,0,1,0,1,0,87,1953,-5,0,0,0,0,0,0,0,162,146,0,0,0,0,0,0,0,0,,120,23:45,0,4,4,0,4,5,5,0,0,1,0,3,0,0,0,4,0
"O'Reilly, Ryan",O'Reilly,PHI,24,40,C,,N,82,28,48,76,234,1086,824,6,1,5,0,12,1702,22,0,0,0,0,0,0,0,31,36,0,0,0,0,0,0,0,0,,90,20:45,0,4,4,5,2,2,0,0,1,0,5,4,5,0,0,0,0
"Orlov, Dmitry",Orlov,PHI,6,9,LD,RD,N,82,3,26,29,101,0,0,0,0,0,0,33,1774,3,0,0,0,0,0,0,0,137,103,0,0,0,0,0,0,0,0,,120,21:45,0,4,4,0,4,2,3,0,0,0,0,3,0,0,0,4,4
"Perreault, Mathieu",Perreault,POR,32,59,LW,RW,N,82,15,16,31,95,26,27,4,0,3,0,44,1003,-1,0,0,0,0,0,0,0,127,25,0,0,0,0,0,0,0,0,,90,12:15,0,3,3,3,3,3,0,0,0,0,0,4,0,2,2,0,0
"Petry, Jeff",Petry,QUE,15,26,RD,,N,82,13,33,46,172,0,1,3,0,4,0,28,1896,-5,0,0,0,0,0,0,0,190,123,0,0,0,0,0,0,0,0,,120,23:00,0,4,4,0,4,4,4,0,0,0,0,3,0,0,0,0,3
"Provorov, Ivan",Provorov,QUE,10,13,LD,RD,N,82,7,19,26,145,0,1,0,0,1,0,32,2059,-16,0,0,0,0,0,0,0,123,149,0,0,0,0,0,0,0,0,,120,25:00:00,0,4,4,0,4,3,5,0,0,1,0,4,0,0,0,4,4
"Pulock, Ryan",Pulock,LSV,10,13,RD,LD,N,82,9,28,37,180,0,0,3,0,3,0,22,1834,21,0,0,0,0,0,0,0,143,148,0,0,0,0,0,0,0,0,,120,22:15,0,4,4,0,3,4,3,0,0,1,0,4,0,0,0,3,3
"Reinhart, Sam",Reinhart,LAD,24,49,RW,,N,82,22,43,65,180,31,56,2,0,1,0,16,1555,-10,0,0,0,0,0,0,0,38,47,0,0,0,0,0,0,0,0,,90,19:00,0,3,4,3,2,1,0,0,0,0,0,4,0,0,2,0,0
"Rielly, Morgan",Rielly,PHI,18,27,LD,RD,N,82,20,52,72,223,0,1,3,0,5,0,14,1896,24,0,0,0,0,0,0,0,61,114,0,0,0,0,0,0,0,0,,120,23:00,0,4,4,0,2,2,1,0,0,0,0,5,0,0,0,3,3
"Sanheim, Travis",Sanheim,DET,15,20,RD,LD,N,82,9,26,35,121,0,0,2,0,2,0,22,1604,-4,0,0,0,0,0,0,0,45,133,0,0,0,0,0,0,0,0,,120,19:30,0,4,4,0,2,1,1,0,0,1,0,3,0,0,0,3,3
"Savard, David",Savard,TAM,13,22,RD,LD,N,82,8,16,24,124,0,0,0,0,1,0,36,1619,19,0,0,0,0,0,0,0,122,123,0,0,0,0,0,0,0,0,,120,19:45,0,4,4,0,3,3,4,0,0,1,0,3,0,0,0,4,4
"Scheifele, Mark",Scheifele,SAN,38,73,C,,N,82,38,46,84,199,802,933,12,0,6,0,38,1793,8,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,,90,21:45,0,4,5,3,2,2,0,0,0,0,2,3,4,0,0,0,0
"Seguin, Tyler",Seguin,DEN,20,37,C,,N,82,33,47,80,334,676,579,9,0,8,0,18,1701,17,0,0,0,0,0,0,0,74,47,0,0,0,0,0,0,0,0,,90,20:45,0,4,5,3,2,2,0,0,0,0,4,5,3,0,0,0,0
"Severson, Damon",Severson,NOT,15,30,RD,,N,82,11,28,39,146,0,0,3,0,0,0,58,1808,-27,0,0,0,0,0,0,0,83,87,0,0,0,0,0,0,0,0,,120,22:00,0,4,4,0,3,3,3,0,0,0,0,3,0,0,0,0,4
"Skinner, Jeff",Skinner,DET,30,58,LW,,N,82,40,23,63,268,157,144,8,0,7,0,36,1518,0,0,0,0,0,0,0,0,31,24,0,0,0,0,0,0,0,0,,90,18:30,0,4,3,2,2,1,0,0,0,0,2,5,0,2,0,0,0
"Slavin, Jaccob",Slavin,VAN,11,20,LD,,N,82,8,23,31,146,0,1,5,1,1,0,18,1889,0,0,0,0,0,0,0,0,70,133,0,0,0,0,0,0,0,0,,120,23:00,0,4,4,0,2,2,3,0,0,1,0,3,0,0,0,5,0
"Soderberg, Carl",Soderberg,DEN,24,52,C,,N,82,23,26,49,188,528,542,2,3,2,0,26,1431,-5,0,0,0,0,0,0,0,99,67,0,0,0,0,0,0,0,0,,90,17:30,0,4,4,4,3,2,0,0,0,0,3,3,3,0,0,0,0
"Spurgeon, Jared",Spurgeon,BOS,18,41,RD,,N,82,14,29,43,152,1,0,4,0,0,0,20,1980,-1,0,0,0,0,0,0,0,91,145,0,0,0,0,0,0,0,0,,120,24:15:00,0,3,4,0,3,2,2,0,0,1,0,3,0,0,0,0,4
"Stamkos, Steven",Stamkos,NYH,38,72,C,RW,N,82,45,53,98,234,506,447,19,2,6,0,37,1501,4,0,0,0,0,0,0,0,72,40,0,0,0,0,0,0,0,0,,90,18:15,0,4,5,3,3,2,0,0,0,0,3,4,2,0,2,0,0
"Suter, Ryan",Suter,BOS,10,16,LD,,N,82,7,40,47,136,1,0,3,1,2,0,41,2189,-8,0,0,0,0,0,0,0,78,109,0,0,0,0,0,0,0,0,,120,26:45:00,0,4,5,0,3,3,4,0,0,0,0,3,0,0,0,4,0
"Svechnikov, Andrei",Svechnikov,LAD,21,41,LW,RW,Y,82,20,17,37,189,1,6,0,0,3,0,62,1201,0,0,0,0,0,0,0,0,123,26,0,0,0,0,0,0,0,0,0,90,14:45,0,5,3,3,4,3,0,0,0,0,0,4,0,2,2,0,0
"Tavares, John",Tavares,NOT,33,58,C,,N,82,47,41,88,286,833,694,10,0,8,0,34,1565,19,0,0,0,0,0,0,0,59,53,0,0,0,0,0,0,0,0,,90,19:00,0,4,5,3,2,2,0,0,0,0,4,3,2,0,0,0,0
"Teravainen, Teuvo",Teravainen,EDM,25,43,RW,,N,82,21,55,76,167,18,25,8,1,1,0,12,1469,30,0,0,0,0,0,0,0,35,23,0,0,0,0,0,0,0,0,,90,18:00,0,5,5,3,1,1,0,0,0,0,0,4,0,0,4,0,0
"Toews, Jonathan",J. Toews,BOS,30,58,C,,N,82,35,46,81,235,1059,821,9,1,5,0,40,1723,2,0,0,0,0,0,0,0,42,44,0,0,0,0,0,0,0,0,,90,21:00,0,4,5,4,2,3,0,0,0,0,5,4,5,0,0,0,0
"Toffoli, Tyler",Toffoli,SAN,12,23,RW,LW,N,82,13,21,34,226,24,27,3,0,3,0,23,1411,-16,0,0,0,0,0,0,0,39,23,0,0,0,0,0,0,0,0,,90,17:15,0,4,4,3,2,2,0,0,0,0,0,3,0,3,3,0,0
"Trouba, Jacob",Trouba,WIN,10,16,RD,,N,82,8,42,50,162,0,0,3,1,1,0,58,1876,8,0,0,0,0,0,0,0,112,171,0,0,0,0,0,0,0,0,,120,23:00,0,5,4,0,4,3,4,0,0,1,0,4,0,0,0,0,4
"Vrana, Jakub",Vrana,TAM,30,58,LW,RW,N,82,24,23,47,161,4,6,1,0,4,0,27,1151,20,0,0,0,0,0,0,0,47,32,0,0,0,0,0,0,0,0,,90,14:00,0,3,4,3,2,1,0,0,0,0,0,4,0,2,2,0,0
"Werenski, Zach",Werenski,OTT,13,30,LD,,N,82,11,33,44,168,0,0,2,0,1,0,18,1878,-12,0,0,0,0,0,0,0,67,89,0,0,0,0,0,0,0,0,,120,23:00,0,4,4,0,3,2,3,0,0,0,0,4,0,0,0,2,0
"Wheeler, Blake",Wheeler,DET,17,39,RW,,N,82,20,71,91,231,31,57,2,2,3,0,60,1698,0,0,0,0,0,0,0,0,81,53,0,0,0,0,0,0,0,0,,90,20:45,0,4,5,3,3,3,0,0,0,0,0,3,0,0,3,0,0
"Williams, Justin",Williams,SAN,19,38,RW,,N,82,23,30,53,237,92,150,9,0,5,0,44,1430,-4,0,0,0,0,0,0,0,55,32,0,0,0,0,0,0,0,0,,90,17:30,0,2,4,3,2,2,0,0,0,0,0,2,0,0,3,0,0
"Yandle, Keith",Yandle,PHI,9,20,LD,,N,82,9,53,62,199,0,0,7,0,2,0,50,1840,-17,0,0,0,0,0,0,0,47,76,0,0,0,0,0,0,0,0,,120,22:30,0,4,5,0,2,2,2,0,0,0,0,4,0,0,0,2,0
