Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
762,Eric Staal,35,MIN,C,66,19,28,47,-9,28,4.4,14,5,0,5,19,9,0,113,16.8,1131,17:08,22,24,495,504,49.5,staaler01
763,Jordan Staal,31,CAR,C,68,8,19,27,3,40,1.6,6,2,0,0,18,1,0,125,6.4,1190,17:30,36,149,699,585,54.4,staaljo01
764,Marc Staal,33,NYR,D,52,2,9,11,5,16,2.1,2,0,0,0,9,0,0,46,4.3,917,17:39,76,69,0,0,,staalma01
765,Steven Stamkos,29,TBL,C,57,29,37,66,14,22,8.1,19,10,0,6,28,9,0,176,16.5,1050,18:25,38,69,365,307,54.3,stamkst01
766,Paul Stastny,34,VEG,C,71,17,21,38,6,24,3.8,12,5,0,3,15,5,1,136,12.5,1216,17:08,32,63,624,515,54.8,stastpa01
767,Troy Stecher,25,VAN,D,69,5,12,17,10,32,3.8,5,0,0,0,12,0,0,86,5.8,1059,15:21,70,69,0,0,,stechtr01
768,Sam Steel,21,ANA,C,65,6,16,22,-13,20,0.8,5,1,0,1,9,7,0,85,7.1,1011,15:33,25,24,369,365,50.3,steelsa01
769,Alexander Steen,35,STL,C,55,7,10,17,7,12,1.4,7,0,0,0,9,1,0,71,9.9,772,14:02,47,26,8,7,53.3,steenal01
770,Kevin Stenlund,23,CBJ,C,32,6,4,10,2,8,1.1,3,3,0,1,2,2,0,57,10.5,447,13:59,22,19,52,77,40.3,stenlke01
771,Derek Stepan,29,ARI,C,70,10,18,28,-4,16,2.0,8,1,1,2,12,6,0,158,6.3,1235,17:39,54,43,569,628,47.5,stepade01
772,Mitchell Stephens,22,TBL,C,38,3,3,6,-9,10,-0.2,3,0,0,0,3,0,0,43,7.0,410,10:47,9,36,187,169,52.5,stephmi01
773,Chandler Stephenson,25,TOT,C,65,11,15,26,24,16,3.1,8,1,2,5,13,1,1,73,15.1,931,14:19,32,52,233,281,45.3,stephch02
773,Chandler Stephenson,25,VEG,C,41,8,14,22,19,10,2.7,5,1,2,3,13,1,0,55,14.5,647,15:47,20,32,155,204,43.2,stephch02
773,Chandler Stephenson,25,WSH,C,24,3,1,4,5,6,0.4,3,0,0,2,0,0,1,18,16.7,284,11:50,12,20,78,77,50.3,stephch02
774,Chris Stewart,32,PHI,RW,16,0,1,1,-7,21,-0.4,0,0,0,0,1,0,0,5,0.0,124,7:47,4,35,0,0,,stewach02
775,Riley Stillman,21,FLA,D,34,0,5,5,-3,14,0.6,0,0,0,0,5,0,0,39,0.0,650,19:07,57,59,0,0,,stillri01
776,Mark Stone,27,VEG,RW,65,21,42,63,15,27,7.1,15,6,0,3,30,11,1,168,12.5,1262,19:25,51,56,16,30,34.8,stonema01
777,Michael Stone,29,CGY,D,33,2,5,7,-5,16,1.1,2,0,0,0,5,0,0,57,3.5,539,16:19,54,52,0,0,,stonemi01
778,Anton Strålman,33,FLA,D,69,5,14,19,-6,14,2.6,5,0,0,3,13,0,1,89,5.6,1454,21:04,96,68,0,0,,stralan01
779,Ben Street,32,NJD,C,3,0,1,1,1,0,0.1,0,0,0,0,1,0,0,4,0.0,24,8:08,0,3,5,6,45.5,streebe01
780,Dylan Strome,22,CHI,C,58,12,26,38,1,16,3.5,10,2,0,2,20,6,0,97,12.4,925,15:56,29,23,277,304,47.7,stromdy01
781,Ryan Strome,26,NYR,C,70,18,41,59,21,48,5.9,15,3,0,3,26,14,1,154,11.7,1371,19:35,32,45,496,548,47.5,stromry01
782,Jack Studnicka,20,BOS,C,2,0,1,1,2,2,0.1,0,0,0,0,1,0,0,3,0.0,24,12:08,0,2,9,6,60.0,studnja01
783,Nico Sturm,24,MIN,C,6,0,2,2,2,0,0.2,0,0,0,0,2,0,0,2,0.0,71,11:54,5,6,26,23,53.1,sturmni01
784,P.K. Subban,30,NJD,D,68,7,11,18,-21,79,2.8,5,2,0,3,7,4,0,151,4.6,1504,22:07,90,88,0,0,,subbapk01
785,C.J. Suess,25,WPG,LW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,6,6:26,0,1,1,3,25.0,frankcl01
786,Oskar Sundqvist,25,STL,C,57,12,11,23,5,28,2.4,11,0,1,1,10,0,1,97,12.4,820,14:23,26,60,105,132,44.3,sundqos01
787,Antti Suomela,25,SJS,C,20,1,6,7,4,4,0.7,1,0,0,0,6,0,0,18,5.6,194,9:41,5,27,51,42,54.8,suomean01
788,Ryan Suter,35,MIN,D,69,8,40,48,-6,12,6.4,6,2,0,2,24,16,0,111,7.2,1700,24:38,93,48,0,0,,suterry01
789,Brandon Sutter,30,VAN,C,44,8,9,17,1,25,1.4,7,1,0,0,7,2,0,76,10.5,653,14:51,15,18,185,193,48.9,suttebr03
790,Nick Suzuki,20,MTL,C,71,13,28,41,-15,6,3.2,7,6,0,1,20,8,0,138,9.4,1135,15:59,32,64,305,354,46.3,suzukni01
791,Andrei Svechnikov,19,CAR,RW,68,24,37,61,9,54,6.9,18,6,0,5,23,14,0,183,13.1,1138,16:44,27,116,0,1,0.0,svechan01
792,Evgeny Svechnikov,23,DET,LW,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,7,0.0,33,8:20,1,5,0,0,,svechev01
793,Jordan Szwarz,28,OTT,RW,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,15,4:55,1,6,4,5,44.4,szwarjo01
794,Brandon Tanev,28,PIT,LW,68,11,14,25,-1,16,1.9,9,0,2,4,12,1,1,95,11.6,1004,14:46,65,244,6,9,40.0,tanevbr01
