Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
LW,5,0.08,0.11,0.2,0.08,1.08,5,7,12,5,23,1,13,0,9.0,21.8,20.0,1.7,0.1,0.9,1.0,,greeraj01,22-23
D,14,0.2,0.34,0.54,0.2,3.04,13,23,36,13,105,38,110,29,-14.0,61.3,57.3,4.0,3.0,1.6,4.6,,ekblaaa01,22-23
C,1,0.13,0.07,0.2,0.09,1.07,2,1,3,1,3,0,3,0,0.0,4.0,4.1,-0.2,0.1,0.2,0.3,,ratyaa01,22-23
LW,0,0.0,0.0,0.0,0.0,1.33,0,0,0,0,0,0,2,0,-2.0,2.5,2.8,-0.3,-0.3,0.1,-0.2,,beckmad01,22-23
D,8,0.11,0.41,0.52,0.17,1.48,5,18,23,8,52,14,50,0,-12.0,29.1,39.8,-10.7,1.8,1.2,3.0,,boqviad01,22-23
LW,7,0.13,0.16,0.3,0.12,0.9,8,9,17,7,26,0,53,15,-12.0,18.8,25.3,-6.5,0.2,0.6,0.8,,ernead01,22-23
D,23,0.15,0.73,0.88,0.27,1.94,11,57,68,22,137,50,81,22,28.0,73.8,57.4,16.4,5.5,6.4,11.9,1.0,foxad01,22-23
D,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,1,0.0,1.1,0.9,0.2,0.0,0.0,0.0,,ginniad01,22-23
C,16,0.35,0.26,0.61,0.26,2.13,21,15,36,16,63,21,75,25,-8.0,35.0,40.0,-5.0,2.6,1.0,3.6,1.0,henriad01,22-23
D,11,0.1,0.3,0.4,0.14,1.74,8,24,32,11,103,1,113,38,27.0,71.4,60.9,10.5,1.6,5.1,6.7,,larssad01,22-23
LW,13,0.16,0.28,0.44,0.16,1.54,12,22,34,13,58,8,70,24,4.0,38.4,37.7,0.7,1.0,1.9,2.9,,lowryad01,22-23
D,7,0.1,0.25,0.34,0.12,1.59,6,14,20,7,59,1,62,19,15.0,50.6,46.5,4.1,1.0,4.1,5.1,,pelecad01,22-23
RW,0,0.0,0.0,0.0,0.0,0.33,0,0,0,0,1,0,1,0,0.0,1.5,1.7,-0.3,-0.1,0.0,-0.1,,raskaad01,22-23
C,7,0.14,0.32,0.45,0.16,1.45,6,13,19,7,26,7,20,0,-1.0,19.3,15.5,3.8,1.1,0.6,1.6,1.0,ruzicad01,22-23
LW,29,0.5,0.32,0.82,0.35,3.05,39,25,64,28,104,37,60,15,22.0,51.3,41.5,9.9,6.0,2.5,8.5,3.0,kempead01,22-23
LW,1,0.17,0.0,0.17,0.09,0.67,1,0,1,1,1,0,3,0,-2.0,1.1,2.5,-1.4,0.0,0.0,0.0,,mcdonai01,22-23
D,1,0.0,0.43,0.43,0.11,0.57,0,3,3,1,4,2,3,0,-1.0,2.3,5.4,-3.1,0.1,0.2,0.3,,hirosak01,22-23
D,5,0.04,0.14,0.18,0.06,0.99,3,10,13,4,81,1,68,18,30.0,56.8,53.9,3.0,-0.2,5.1,5.0,,martial01,22-23
D,0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,2,2,3,0,-3.0,1.7,2.5,-0.8,-0.1,0.0,-0.1,,regulal01,22-23
C,27,0.34,0.81,1.15,0.4,3.06,22,52,74,26,119,47,85,23,10.0,50.6,43.6,6.9,5.7,1.7,7.3,2.0,barkoal01,22-23
C,1,0.1,0.2,0.3,0.11,0.6,1,2,3,1,4,0,5,0,-1.0,1.8,3.7,-1.9,0.1,0.0,0.2,,heponal01,22-23
F,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.1,0.2,-0.2,0.0,0.0,0.0,,barreal01,22-23
F,5,0.19,0.26,0.45,0.17,1.29,6,8,14,5,19,0,25,6,0.0,11.7,16.6,-4.9,0.9,0.4,1.3,1.0,belzial01,22-23
RW,4,0.3,0.15,0.45,0.2,1.25,6,3,9,4,14,10,12,0,-8.0,4.7,4.8,-0.2,0.8,0.0,0.8,,chiasal01,22-23
RW,26,0.33,0.48,0.8,0.31,3.21,26,37,63,24,102,51,82,0,-31.0,53.3,52.8,0.5,4.7,0.9,5.6,1.0,debrial01,22-23
C,0,0.0,0.0,0.0,0.0,0.73,0,0,0,0,0,0,8,0,-8.0,3.2,4.1,-0.9,-0.2,-0.2,-0.4,,galchal01,22-23
D,2,0.04,0.09,0.13,0.05,1.37,2,4,6,2,29,2,42,6,-9.0,32.4,30.3,2.1,-0.2,1.4,1.2,,goligal01,22-23
C,13,0.24,0.37,0.61,0.23,2.25,13,21,34,13,57,16,45,18,14.0,33.9,29.7,4.2,2.1,1.5,3.6,,iafalal01,22-23
C/LW,24,0.33,0.45,0.78,0.3,1.74,26,35,61,24,102,30,77,23,18.0,47.7,46.6,1.1,4.6,2.3,6.9,0.0,killoal01,22-23
C,12,0.17,0.2,0.37,0.14,1.41,13,15,28,11,55,10,45,0,0.0,46.3,38.5,7.9,1.0,1.3,2.3,,newhoal01,22-23
LW,32,0.58,0.45,1.03,0.44,4.03,40,31,71,30,110,46,81,1,-16.0,54.1,55.0,-0.9,7.1,1.4,8.5,3.0,ovechal01,22-23
D,18,0.15,0.59,0.74,0.24,2.33,11,41,52,17,104,23,94,26,13.0,61.9,56.1,5.9,4.1,4.4,8.6,,pietral01,22-23
F,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,2,0,-2.0,0.6,0.9,-0.3,-0.1,0.0,-0.1,,steeval02,22-23
RW,31,0.49,0.58,1.07,0.42,2.95,35,41,76,30,125,43,85,17,14.0,54.0,53.0,0.9,7.2,1.8,9.0,3.0,tuchal01,22-23
C,0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,2,0,-2.0,0.9,1.0,-0.1,-0.1,0.0,-0.1,,turcoal02,22-23
D,0,0.0,0.17,0.17,0.05,0.67,0,1,1,0,4,0,6,1,-1.0,2.3,3.5,-1.2,0.0,0.2,0.2,,vlasial01,22-23
D,1,0.0,0.16,0.16,0.04,0.88,0,5,5,1,21,0,26,3,-2.0,16.2,21.3,-5.1,-0.2,1.1,0.9,,alexeal01,22-23
F,17,0.22,0.47,0.69,0.24,1.76,14,30,44,16,80,27,84,1,-30.0,45.1,43.3,1.8,2.5,0.5,3.0,2.0,barabal01,22-23
D,4,0.03,0.14,0.17,0.05,0.88,2,8,10,3,43,1,56,13,-1.0,33.9,34.3,-0.3,0.1,1.9,2.0,,edleral01,22-23
RW,2,0.16,0.05,0.21,0.1,1.11,3,1,4,2,9,4,11,0,-6.0,5.8,6.1,-0.3,0.1,0.0,0.1,,holtzal01,22-23
C,11,0.12,0.27,0.39,0.14,1.62,10,21,31,11,53,4,54,13,8.0,43.9,38.7,5.3,0.6,1.7,2.3,0.0,kerfoal01,22-23
LW,1,0.11,0.11,0.22,0.09,1.22,1,1,2,1,5,0,4,0,1.0,6.2,3.6,2.6,0.0,0.2,0.1,,nylanal01,22-23
D,7,0.03,0.26,0.29,0.09,1.32,2,19,21,6,62,0,64,15,13.0,52.0,59.3,-7.4,0.5,4.3,4.8,,romanal01,22-23
C,14,0.16,0.3,0.46,0.17,1.23,12,24,36,13,77,21,93,30,-7.0,43.2,42.1,1.1,0.6,1.1,1.8,,wennbal01,22-23
D,3,0.05,0.16,0.21,0.07,1.12,2,7,9,3,25,0,35,10,0.0,25.9,27.6,-1.7,0.1,1.9,2.0,,carrial01,22-23
RW,8,0.14,0.13,0.28,0.11,1.25,10,8,18,8,30,0,36,12,6.0,26.9,29.8,-2.9,0.4,1.1,1.6,,toropal01,22-23
LW,15,0.2,0.28,0.48,0.18,1.67,15,22,37,14,68,10,48,0,10.0,48.6,50.1,-1.5,1.8,1.8,3.6,1.0,lafreal01,22-23
C,5,0.07,0.19,0.26,0.09,1.43,4,10,14,5,23,0,31,0,-8.0,27.0,24.0,3.0,0.0,0.6,0.5,,protaal01,22-23
LW,3,0.14,0.43,0.57,0.2,1.07,2,6,8,3,9,0,9,4,4.0,7.5,7.2,0.3,0.4,0.4,0.9,,bjorkan01,22-23
LW,22,0.34,0.27,0.61,0.26,2.61,27,21,48,20,91,28,66,0,-3.0,58.6,49.3,9.3,3.7,1.7,5.4,,leean01,22-23
LW,14,0.27,0.53,0.8,0.29,2.14,12,25,37,13,52,19,42,0,-9.0,26.8,29.0,-2.2,2.8,0.4,3.2,,burakan01,22-23
C,16,0.25,0.25,0.49,0.2,2.16,19,19,38,16,58,13,74,0,-29.0,44.5,60.2,-15.7,2.2,0.9,3.1,1.0,athanan01,22-23
D,1,0.0,0.09,0.09,0.02,0.66,0,4,4,1,16,0,22,5,-1.0,17.7,19.5,-1.8,-0.3,1.2,0.9,,engluan01,22-23
LW,1,0.0,0.23,0.23,0.06,1.38,0,3,3,1,6,1,11,0,-6.0,7.0,6.1,0.9,-0.2,0.0,-0.2,,johnsan01,22-23
F,30,0.48,0.43,0.91,0.37,1.77,37,33,70,29,105,32,64,0,9.0,49.6,40.9,8.7,6.9,1.7,8.6,3.0,kuzmean01,22-23
RW,22,0.36,0.5,0.86,0.34,3.2,22,30,52,20,84,31,47,0,6.0,49.1,34.3,14.8,4.4,1.7,6.1,2.0,svechan01,22-23
LW,1,0.25,0.5,0.75,0.27,2.25,1,2,3,1,3,0,4,0,-1.0,3.7,2.3,1.4,0.2,0.0,0.2,,agozzan01,22-23
LW/C,8,0.13,0.11,0.24,0.1,1.08,10,8,18,8,32,0,49,23,6.0,27.4,33.7,-6.2,0.0,1.4,1.3,,coglian01,22-23
C,14,0.11,0.4,0.51,0.17,1.46,9,31,40,13,66,10,83,29,2.0,41.6,44.0,-2.4,0.7,2.0,2.7,,coppan01,22-23
LW,16,0.21,0.32,0.52,0.2,2.22,16,25,41,16,77,13,61,9,12.0,60.8,41.5,19.3,1.9,2.1,3.9,,mangian01,22-23
D,5,0.08,0.09,0.16,0.06,1.13,6,7,13,5,52,0,136,43,-41.0,48.3,65.0,-16.8,-0.2,1.2,1.0,,peekean01,22-23
LW,0,0.0,0.33,0.33,0.09,0.33,0,1,1,0,1,0,4,0,-3.0,0.5,2.8,-2.3,0.0,-0.1,0.0,,andrean01,22-23
LW,16,0.22,0.27,0.49,0.19,2.15,18,20,38,15,72,13,71,2,-10.0,48.7,49.3,-0.6,1.8,1.2,3.0,,beauvan01,22-23
C,11,0.19,0.31,0.5,0.18,1.91,11,17,28,11,53,6,48,14,13.0,39.2,32.9,6.3,1.1,1.6,2.7,,cirelan01,22-23
LW,3,0.1,0.35,0.45,0.15,2.15,2,7,9,3,16,1,11,0,4.0,16.9,15.3,1.6,0.2,0.4,0.6,,duclaan01,22-23
RW,10,0.16,0.24,0.4,0.15,1.78,11,15,26,10,40,2,46,0,-8.0,36.8,32.0,4.8,1.0,1.0,2.0,1.0,manthan01,22-23
C,2,0.23,0.15,0.38,0.17,1.0,3,2,5,2,7,0,5,0,2.0,3.4,5.4,-2.0,0.4,0.2,0.6,,richaan01,22-23
LW,0,0.0,0.0,0.0,0.0,0.64,0,0,0,0,0,0,2,0,-2.0,3.4,4.2,-0.8,-0.3,0.0,-0.2,,blidhan01,22-23
F,0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0.0,0.3,1.0,-0.7,-0.1,0.0,0.0,,levtcan01,22-23
C,12,0.16,0.29,0.45,0.17,2.08,11,20,31,11,61,12,73,25,1.0,45.7,38.0,7.6,1.0,1.1,2.1,1.0,lundean01,22-23
D,0,0.0,0.0,0.0,0.0,0.38,0,0,0,0,4,0,7,0,-3.0,5.0,5.2,-0.2,-0.2,0.0,-0.1,,stralan01,22-23
