Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season
Justin Abdelkader,27,DET,LW,71,23,21,44,3,72,5.6,15,8,0,5,15,6,0,154,14.9,1272,17:55,28.0,153,7.0,8.0,46.7,abdelju01,14-15
Will Acton,27,EDM,C,3,0,0,0,-2,5,-0.1,0,0,0,0,0,0,0,2,0.0,32,10:43,3.0,3,4.0,4.0,50.0,actonwi01,14-15
Luke Adam,24,CBJ,C,3,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0,,19,6:27,0.0,2,0.0,0.0,,adamlu01,14-15
Craig Adams,37,PIT,RW,70,1,6,7,-1,44,-0.3,1,0,0,1,5,0,1,51,2.0,682,9:45,29.0,183,17.0,23.0,42.5,adamscr01,14-15
Andrew Agozzino,24,COL,LW,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0.0,10,9:45,0.0,1,0.0,2.0,0.0,agozzan01,14-15
Jason Akeson,24,PHI,RW,13,0,0,0,-1,8,-0.2,0,0,0,0,0,0,0,9,0.0,105,8:03,4.0,11,1.0,1.0,50.0,akesoja01,14-15
Bryan Allen,34,TOT,D,11,0,2,2,-2,6,0.2,0,0,0,0,2,0,0,6,0.0,173,15:43,15.0,20,0.0,0.0,,allenbr01,14-15
Conor Allen,25,NYR,D,4,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0.0,49,12:12,0.0,6,0.0,0.0,,allenco01,14-15
Mark Alt,23,PHI,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,9,9:25,0.0,1,0.0,0.0,,altma01,14-15
Karl Alzner,26,WSH,D,82,5,16,21,14,20,5.4,5,0,0,0,16,0,0,72,6.9,1593,19:26,165.0,120,0.0,0.0,,alzneka01,14-15
Josh Anderson,20,CBJ,RW,6,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,10,0.0,81,13:27,2.0,24,0.0,0.0,,anderjo05,14-15
Joakim Andersson,25,DET,C,68,3,5,8,-4,22,-0.3,3,0,0,1,5,0,0,74,4.1,791,11:38,24.0,27,192.0,183.0,51.2,anderjo03,14-15
Andy Andreoff,23,LAK,C,18,2,1,3,1,18,0.4,2,0,0,1,1,0,0,14,14.3,154,8:34,0.0,33,32.0,29.0,52.5,andrean01,14-15
Sven Andrighetto,21,MTL,RW,12,2,1,3,0,0,0.4,2,0,0,0,1,0,0,12,16.7,113,9:25,4.0,5,3.0,12.0,20.0,andrisv01,14-15
Mike Angelidis,29,TBL,LW,3,0,0,0,0,12,0.0,0,0,0,0,0,0,0,0,,22,7:21,0.0,5,7.0,12.0,36.8,angelmi01,14-15
Artem Anisimov,26,CBJ,C,52,7,20,27,-6,8,2.0,7,0,0,2,13,4,3,88,8.0,852,16:23,26.0,33,102.0,127.0,44.5,anisiar01,14-15
Mark Arcobello,26,TOT,C,77,17,14,31,-10,20,3.3,16,1,0,2,10,3,1,129,13.2,1140,14:48,27.0,111,471.0,468.0,50.2,arcobma01,14-15
Joel Armia,21,BUF,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,15,14:47,0.0,4,0.0,0.0,,armiajo01,14-15
Viktor Arvidsson,21,NSH,LW,6,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,9,0.0,62,10:15,5.0,3,0.0,0.0,,arvidvi01,14-15
Carter Ashton,23,TOR,RW,7,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,44,6:13,3.0,6,1.0,4.0,20.0,ashtoca01,14-15
Cam Atkinson,25,CBJ,RW,78,22,18,40,-2,22,4.5,14,7,1,7,15,3,0,212,10.4,1325,16:59,39.0,55,4.0,5.0,44.4,atkinca01,14-15
Keith Aulie,25,EDM,D,31,0,1,1,-3,66,0.3,0,0,0,0,1,0,0,25,0.0,443,14:18,37.0,59,0.0,0.0,,aulieke01,14-15
David Backes,30,STL,C,80,26,32,58,7,104,7.2,16,10,0,3,26,6,0,183,14.2,1491,18:38,87.0,227,615.0,507.0,54.8,backeda01,14-15
Mikael Backlund,25,CGY,C,52,10,17,27,4,14,2.7,8,0,2,2,16,1,0,103,9.7,923,17:45,33.0,41,432.0,456.0,48.6,backlmi01,14-15
Nicklas Bäckström,27,WSH,C,82,18,60,78,5,40,8.1,15,3,0,3,30,30,0,153,11.8,1683,20:32,52.0,91,862.0,747.0,53.6,backsni02,14-15
Sven Baertschi,22,TOT,LW,18,2,4,6,-3,10,0.5,2,0,0,0,4,0,0,15,13.3,174,9:41,7.0,8,0.0,0.0,,baertsv01,14-15
Casey Bailey,23,TOR,C,6,1,0,1,1,2,0.2,1,0,0,0,0,0,0,9,11.1,54,9:02,4.0,3,0.0,0.0,,baileca01,14-15
Josh Bailey,25,NYI,LW,70,15,26,41,3,12,4.3,13,2,0,1,24,2,0,140,10.7,1175,16:47,36.0,66,30.0,36.0,45.5,bailejo01,14-15
Keith Ballard,32,MIN,D,14,0,1,1,-3,26,0.0,0,0,0,0,1,0,0,5,0.0,169,12:03,20.0,15,0.0,0.0,,ballake01,14-15
Mark Barberio,24,TBL,D,52,1,6,7,-4,16,0.9,1,0,0,0,6,0,0,53,1.9,873,16:47,46.0,35,0.0,0.0,,barbema01,14-15
Aleksander Barkov,19,FLA,C,71,16,20,36,-4,16,3.6,13,3,0,3,16,4,0,123,13.0,1242,17:30,35.0,35,462.0,540.0,46.1,barkoal01,14-15
Tyson Barrie,23,COL,D,80,12,41,53,5,26,9.4,10,2,0,0,27,14,0,139,8.6,1709,21:22,90.0,80,0.0,0.0,,barrity01,14-15
Matt Bartkowski,26,BOS,D,47,0,4,4,-6,37,0.7,0,0,0,0,4,0,0,67,0.0,796,16:56,24.0,88,0.0,0.0,,bartkma01,14-15
Victor Bartley,26,NSH,D,37,0,10,10,1,26,1.6,0,0,0,0,10,0,0,28,0.0,497,13:26,53.0,77,0.0,0.0,,bartlvi01,14-15
Kyle Baun,22,CHI,RW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,38,12:32,0.0,12,0.0,0.0,,baunky01,14-15
Jay Beagle,29,WSH,RW,62,10,10,20,6,20,2.2,10,0,0,2,9,0,1,84,11.9,794,12:49,33.0,73,217.0,167.0,56.5,beaglja01,14-15
François Beauchemin,34,ANA,D,64,11,12,23,17,48,6.1,9,2,0,1,10,1,1,110,10.0,1456,22:45,107.0,105,1.0,0.0,100.0,beaucfr01,14-15
Nathan Beaulieu,22,MTL,D,64,1,8,9,6,45,2.6,1,0,0,0,6,2,0,62,1.6,1005,15:42,69.0,50,0.0,0.0,,beaulna01,14-15
Taylor Beck,23,NSH,LW,62,8,8,16,-4,18,1.2,6,2,0,3,8,0,0,78,10.3,740,11:56,23.0,61,5.0,5.0,50.0,beckta01,14-15
Matt Beleskey,26,ANA,LW,65,22,10,32,13,39,5.0,18,4,0,8,10,0,0,145,15.2,941,14:29,25.0,159,8.0,11.0,42.1,belesma01,14-15
Pierre-Édouard Bellemare,29,PHI,LW,81,6,6,12,-3,18,0.1,6,0,0,1,6,0,0,113,5.3,1039,12:50,61.0,121,360.0,395.0,47.7,bellepi01,14-15
Brett Bellemore,26,CAR,D,49,2,8,10,1,27,2.9,2,0,0,1,8,0,0,26,7.7,802,16:23,54.0,148,0.0,0.0,,bellebr01,14-15
Jamie Benn,25,DAL,LW,82,35,52,87,1,64,10.7,23,10,2,6,37,13,2,253,13.8,1636,19:57,50.0,120,298.0,278.0,51.7,bennja01,14-15
Jordie Benn,27,DAL,D,73,2,14,16,-5,34,2.1,2,0,0,0,11,2,1,70,2.9,1319,18:04,121.0,92,0.0,1.0,0.0,bennjo01,14-15
Beau Bennett,23,PIT,RW,49,4,8,12,-1,16,0.8,4,0,0,1,8,0,0,81,4.9,612,12:29,13.0,68,0.0,2.0,0.0,bennebe01,14-15
Sam Bennett,18,CGY,C,1,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,1,0.0,16,16:00,0.0,0,2.0,10.0,16.7,bennesa01,14-15
André Benoit,31,BUF,D,59,1,8,9,-19,20,1.0,0,0,1,0,7,1,0,45,2.2,1069,18:08,98.0,38,0.0,0.0,,benoian01,14-15
Sean Bergenheim,30,TOT,LW,56,9,10,19,-2,40,1.8,9,0,0,2,8,2,0,108,8.3,735,13:07,13.0,72,2.0,4.0,33.3,bergese01,14-15
Patrice Bergeron,29,BOS,C,81,23,32,55,2,44,6.4,18,4,1,4,21,10,1,234,9.8,1469,18:08,60.0,57,1175.0,764.0,60.6,bergepa01,14-15
Patrik Berglund,26,STL,C,77,12,15,27,-2,26,2.4,12,0,0,0,14,1,0,145,8.3,1122,14:35,26.0,93,161.0,168.0,48.9,berglpa01,14-15
Steve Bernier,29,NJD,RW,67,16,16,32,2,28,4.2,12,4,0,2,12,4,0,107,15.0,867,12:56,48.0,126,1.0,1.0,50.0,bernist01,14-15
Stu Bickel,28,MIN,D,9,0,1,1,1,46,0.2,0,0,0,0,1,0,0,3,0.0,49,5:26,9.0,10,0.0,0.0,,bickest01,14-15
Bryan Bickell,28,CHI,LW,80,14,14,28,5,38,3.4,13,1,0,3,12,2,0,113,12.4,966,12:05,13.0,205,0.0,2.0,0.0,bickebr01,14-15
Alex Biega,26,VAN,D,7,1,0,1,-2,0,0.1,1,0,0,1,0,0,0,7,14.3,111,15:48,8.0,34,0.0,0.0,,biegaal01,14-15
Danny Biega,23,CAR,D,10,0,2,2,-5,0,0.1,0,0,0,0,2,0,0,7,0.0,161,16:09,7.0,27,0.0,0.0,,biegada01,14-15
Kevin Bieksa,33,VAN,D,60,4,10,14,0,77,3.0,4,0,0,1,8,1,1,99,4.0,1250,20:50,93.0,109,0.0,0.0,,biekske01,14-15
Anthony Bitetto,24,NSH,D,7,0,0,0,-1,7,0.0,0,0,0,0,0,0,0,2,0.0,82,11:47,3.0,9,1.0,0.0,100.0,bitetan01,14-15
