CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
14,18,43.8,-2.8,8,14,36.4,-11.6,0.0,100.0,100.0,0.0,100.0,9:43,0,0,0.2,2.0,0.0,abramvi01,20-21
430,474,47.6,-7.2,330,357,48.0,-7.0,6.7,93.0,99.8,31.6,68.4,12:13,17,11,3.1,102.0,66.7,acciano01,20-21
44,48,47.8,0.8,34,40,45.9,-1.7,12.0,91.7,103.7,75.9,24.1,15:46,0,0,1.0,6.0,66.7,addisca01,20-21
3,1,75.0,12.3,3,1,75.0,15.7,0.0,100.0,100.0,0.0,100.0,4:08,0,0,0.1,0.0,,agostke01,20-21
32,37,46.4,6.4,22,24,47.8,11.3,7.1,93.8,100.9,47.6,52.4,11:55,0,1,0.2,5.0,60.0,agozzan01,20-21
43,61,41.3,-10.7,38,49,43.7,-10.1,0.0,90.0,90.0,72.4,27.6,18:11,0,0,0.1,7.0,71.4,ahcanja01,20-21
867,667,56.5,4.0,651,506,56.3,4.2,10.3,91.3,101.7,56.1,43.9,14:49,33,61,6.3,251.0,59.0,ahose01,20-21
36,48,42.9,-12.2,27,40,40.3,-15.2,11.1,88.0,99.1,44.4,55.6,13:16,0,3,-0.1,8.0,50.0,ahose02,20-21
11,11,50.0,-6.3,11,7,61.1,2.6,0.0,60.0,60.0,50.0,50.0,16:59,0,0,0.0,0.0,,allarfr01,20-21
146,123,54.3,2.1,104,93,52.8,1.4,7.2,91.9,99.2,51.9,48.1,11:12,6,3,3.2,39.0,61.5,alliswa01,20-21
30,39,43.5,-2.2,20,33,37.7,-9.0,11.1,92.9,104.0,60.9,39.1,10:49,1,2,-1.3,3.0,33.3,alsinol01,20-21
15,21,41.7,2.3,12,17,41.4,-0.4,0.0,100.0,100.0,60.0,40.0,12:09,0,0,-1.4,4.0,75.0,altma01,20-21
237,269,46.8,-0.1,177,206,46.2,-1.3,5.8,93.0,98.8,56.0,44.0,11:05,3,8,-4.0,,,amadimi01,20-21
5,12,29.4,-14.5,1,9,10.0,-34.4,,100.0,,57.1,42.9,9:36,0,1,-0.5,0.0,,anderjo08,20-21
671,626,51.7,-2.6,487,468,51.0,-2.4,7.8,89.3,97.1,56.0,44.0,14:24,17,12,2.2,218.0,57.3,anderjo05,20-21
788,849,48.1,0.9,596,647,47.9,0.1,8.2,92.1,100.3,46.8,53.2,19:04,14,34,-0.9,110.0,47.3,andermi02,20-21
289,413,41.2,-7.7,220,316,41.0,-8.6,9.9,88.6,98.5,47.9,52.1,11:32,4,7,-5.0,65.0,56.9,anderja01,20-21
198,260,43.2,-1.5,154,203,43.1,-0.9,12.5,88.7,101.2,42.4,57.6,11:25,3,5,-3.4,37.0,62.2,anderli01,20-21
885,889,49.9,-4.7,647,688,48.5,-6.3,9.0,89.5,98.5,52.0,48.0,17:32,16,39,0.6,197.0,48.7,anderra01,20-21
29,46,38.7,-19.0,25,34,42.4,-12.5,0.0,75.0,75.0,50.0,50.0,8:34,1,0,-2.5,4.0,50.0,andrean01,20-21
109,102,51.7,4.3,89,71,55.6,8.5,7.0,98.1,105.2,42.6,57.4,7:11,1,1,0.9,27.0,70.4,angelan01,20-21
171,198,46.3,-2.4,118,139,45.9,-4.4,9.0,94.3,103.3,45.1,54.9,10:09,4,7,-1.5,56.0,53.6,anisiar01,20-21
578,648,47.1,-1.7,445,485,47.8,-0.7,10.4,92.7,103.1,42.7,57.3,12:54,13,21,-7.5,140.0,62.9,applema01,20-21
442,535,45.2,-4.1,330,390,45.8,-3.3,11.0,91.5,102.5,32.1,67.9,11:16,14,15,-2.7,103.0,60.2,archijo01,20-21
501,416,54.6,0.5,354,315,52.9,0.1,9.8,90.9,100.8,53.9,46.1,12:28,18,18,4.3,123.0,59.3,armiajo01,20-21
722,607,54.3,6.7,584,456,56.2,8.5,8.6,92.6,101.2,57.1,42.9,14:20,18,23,5.1,264.0,57.2,arvidvi01,20-21
249,309,44.6,-1.0,203,261,43.8,-0.9,9.1,92.7,101.9,42.3,57.7,12:04,14,3,-0.1,45.0,75.6,asplura01,20-21
431,452,48.8,-0.9,339,334,50.4,1.1,8.2,94.2,102.4,32.2,67.8,12:41,14,16,0.1,119.0,66.4,astonza01,20-21
519,566,47.8,-0.8,393,418,48.5,-0.2,8.9,89.4,98.3,54.1,45.9,13:01,18,10,-0.7,153.0,55.6,athanan01,20-21
700,788,47.0,0.8,548,592,48.1,1.6,8.8,88.1,96.9,57.9,42.1,14:57,22,45,-6.1,250.0,63.2,atkinca01,20-21
443,431,50.7,-1.4,339,329,50.7,-0.6,6.5,93.3,99.8,44.3,55.7,10:58,16,17,-3.0,93.0,57.0,aubekni01,20-21
138,134,50.7,-2.1,106,97,52.2,-1.0,7.9,84.7,92.6,37.9,62.1,10:57,5,5,-0.7,49.0,61.2,backeda01,20-21
696,615,53.1,0.2,535,470,53.2,0.9,8.9,88.4,97.3,47.7,52.3,13:56,48,49,7.7,244.0,59.0,backlmi01,20-21
699,710,49.6,-0.8,519,539,49.1,-1.1,12.8,89.2,102.0,58.3,41.7,15:11,33,24,4.7,161.0,56.5,backsni02,20-21
67,97,40.9,-2.5,48,77,38.4,-5.1,9.4,90.9,100.3,48.3,51.7,15:46,2,4,-2.8,10.0,50.0,bahlke01,20-21
618,705,46.7,-3.0,462,533,46.4,-4.4,11.0,93.2,104.1,51.2,48.8,14:32,19,39,2.7,122.0,63.1,bailejo01,20-21
21,11,65.6,15.6,17,11,60.7,10.7,0.0,80.0,80.0,81.8,18.2,6:46,0,0,0.9,7.0,85.7,baileju01,20-21
476,493,49.1,2.1,370,345,51.7,4.5,8.1,88.4,96.4,48.7,51.3,13:07,31,15,6.6,99.0,66.7,balceru01,20-21
207,226,47.8,1.9,158,169,48.3,1.9,12.1,88.1,100.2,42.0,58.0,10:58,9,9,2.3,,,barabal01,20-21
354,386,47.8,-0.3,269,291,48.0,0.3,8.0,94.7,102.7,49.7,50.3,11:15,9,12,-3.0,71.0,60.6,barbaiv01,20-21
805,550,59.4,8.1,634,434,59.4,7.7,9.8,89.3,99.2,53.8,46.2,15:28,39,23,20.3,261.0,67.4,barkoal01,20-21
160,130,55.2,3.1,115,99,53.7,1.2,8.1,92.0,100.1,64.5,35.5,12:27,4,4,1.2,47.0,55.3,barreal01,20-21
990,932,51.5,4.6,750,734,50.5,2.8,10.4,90.9,101.3,59.0,41.0,17:44,16,43,-1.5,291.0,50.2,barrity01,20-21
30,50,37.5,0.2,23,43,34.8,-2.1,11.1,89.7,100.8,47.8,52.2,11:49,0,2,-0.8,7.0,42.9,barromo01,20-21
6,16,27.3,-27.1,6,13,31.6,-20.4,0.0,87.5,87.5,40.0,60.0,11:22,0,0,-0.5,2.0,100.0,bartkma01,20-21
852,703,54.8,9.1,670,513,56.6,10.9,9.8,89.6,99.4,59.4,40.6,16:07,28,45,19.0,217.0,61.8,barzama01,20-21
376,396,48.7,-1.3,288,305,48.6,-0.3,9.6,91.7,101.3,30.4,69.6,11:13,11,6,-2.4,74.0,62.2,bastina01,20-21
685,754,47.6,-1.0,518,585,47.0,-2.3,7.2,89.9,97.1,51.9,48.1,13:13,15,25,-0.2,212.0,52.4,bathedr01,20-21
114,104,52.3,7.7,92,79,53.8,10.5,4.5,93.3,97.8,59.4,40.6,15:01,5,0,-0.5,32.0,50.0,bayrega01,20-21
