Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season
Justin Abdelkader,28,DET,LW,82,19,23,42,-16,120,3.8,13,6,0,4,16,7,0,155,12.3,1512,18:26,44,207,5,9,35.7,abdelju01,15-16
Noel Acciari,24,BOS,C,19,0,1,1,-4,8,-0.4,0,0,0,0,1,0,0,18,0.0,188,9:54,4,52,60,76,44.1,acciano01,15-16
Kenny Agostino,23,CGY,LW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,3,0.0,27,13:33,0,3,0,0,,agostke01,15-16
Andrew Agozzino,25,COL,LW,9,0,2,2,-1,0,0.1,0,0,0,0,1,1,0,3,0.0,77,8:34,4,8,24,21,53.3,agozzan01,15-16
Karl Alzner,27,WSH,D,82,4,17,21,14,26,5.4,4,0,0,1,17,0,0,75,5.3,1753,21:23,207,135,0,0,,alzneka01,15-16
Josh Anderson,21,CBJ,RW,12,1,3,4,0,2,0.3,1,0,0,0,3,0,0,11,9.1,128,10:42,4,40,0,0,,anderjo05,15-16
Joakim Andersson,26,DET,C,29,1,2,3,1,6,0.1,1,0,0,0,2,0,0,17,5.9,262,9:01,5,14,32,38,45.7,anderjo03,15-16
Andy Andreoff,24,LAK,LW,60,8,2,10,1,76,1.2,8,0,0,1,2,0,0,46,17.4,528,8:48,11,82,134,134,50.0,andrean01,15-16
Sven Andrighetto,22,MTL,RW,44,7,10,17,1,6,1.7,6,1,0,0,9,1,0,74,9.5,621,14:07,17,71,3,4,42.9,andrisv01,15-16
Mike Angelidis,30,TBL,LW,4,1,0,1,2,5,0.3,1,0,0,1,0,0,0,1,100.0,36,9:00,1,6,10,21,32.3,angelmi01,15-16
Artem Anisimov,27,CHI,C,77,20,22,42,8,12,4.9,12,5,3,1,16,5,1,121,16.5,1393,18:05,40,53,507,641,44.2,anisiar01,15-16
Josh Archibald,23,PIT,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,5,5:02,1,1,0,0,,archijo01,15-16
Mark Arcobello,27,TOR,C,20,3,1,4,0,0,0.4,3,0,0,0,1,0,0,43,7.0,254,12:41,3,22,132,110,54.5,arcobma01,15-16
Joel Armia,22,WPG,RW,43,4,6,10,2,12,0.8,4,0,0,1,4,0,2,52,7.7,523,12:10,20,59,0,2,0.0,armiajo01,15-16
Viktor Arvidsson,22,NSH,LW,56,8,8,16,-8,35,1.2,7,1,0,3,8,0,0,139,5.8,694,12:24,35,27,0,0,,arvidvi01,15-16
Andreas Athanasiou,21,DET,C,37,9,5,14,1,5,2.1,8,0,1,1,5,0,0,53,17.0,334,9:01,8,17,53,76,41.1,athanan01,15-16
