Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season
Cam Atkinson,26,CBJ,RW,81,27,26,53,-8,22,6.2,21,4,2,3,20,6,0,226,11.9,1442,17:48,40,47,2,2,50.0,atkinca01,15-16
David Backes,31,STL,C,79,21,24,45,4,83,5.2,13,8,0,3,19,5,0,168,12.5,1519,19:14,63,239,620,572,52.0,backeda01,15-16
Mikael Backlund,26,CGY,C,82,21,26,47,10,28,5.5,15,3,3,4,19,6,1,155,13.5,1347,16:26,51,68,539,604,47.2,backlmi01,15-16
Nicklas Bäckström,28,WSH,C,75,20,50,70,17,36,8.3,17,3,0,4,23,27,0,129,15.5,1439,19:11,50,51,659,698,48.6,backsni02,15-16
Sven Baertschi,23,VAN,LW,69,15,13,28,-14,14,2.8,13,2,0,1,8,5,0,108,13.9,929,13:27,36,30,0,1,0.0,baertsv01,15-16
Josh Bailey,26,NYI,RW,81,12,20,32,-7,22,2.5,8,4,0,2,19,1,0,105,11.4,1284,15:51,25,45,14,20,41.2,bailejo01,15-16
Justin Bailey,20,BUF,RW,8,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,22,0.0,93,11:36,6,8,0,0,,baileju01,15-16
Mark Barberio,25,MTL,D,30,2,8,10,0,6,1.7,2,0,0,0,8,0,0,32,6.3,450,15:00,18,12,0,0,,barbema01,15-16
Aleksander Barkov,20,FLA,C,66,28,31,59,18,8,8.4,18,9,1,8,23,7,1,171,16.4,1282,19:26,39,43,569,587,49.2,barkoal01,15-16
Tyson Barrie,24,COL,D,78,13,36,49,-16,31,7.2,9,3,1,5,17,18,1,172,7.6,1810,23:12,84,37,0,0,,barrity01,15-16
Matt Bartkowski,27,VAN,D,80,6,12,18,-19,50,2.9,6,0,0,0,12,0,0,85,7.1,1490,18:37,42,141,0,0,,bartkma01,15-16
Victor Bartley,27,TOT,D,10,0,0,0,2,6,0.3,0,0,0,0,0,0,0,8,0.0,133,13:19,17,21,0,0,,bartlvi01,15-16
Cody Bass,29,NSH,C,17,0,0,0,-1,17,-0.3,0,0,0,0,0,0,0,11,0.0,130,7:40,8,26,12,9,57.1,bassco01,15-16
Kyle Baun,23,CHI,RW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,18,9:03,0,3,0,0,,baunky01,15-16
Jay Beagle,30,WSH,RW,57,8,9,17,0,24,1.4,8,0,0,1,9,0,0,74,10.8,799,14:01,24,55,370,267,58.1,beaglja01,15-16
François Beauchemin,35,COL,D,82,8,26,34,-7,38,6.0,6,2,0,2,15,9,2,127,6.3,2057,25:05,256,78,0,0,,beaucfr01,15-16
Nathan Beaulieu,23,MTL,D,64,2,17,19,-6,55,2.8,1,1,0,0,15,2,0,74,2.7,1117,17:27,89,59,0,0,,beaulna01,15-16
Taylor Beck,24,NYI,LW,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,17,8:29,0,6,0,0,,beckta01,15-16
Matt Beleskey,27,BOS,LW,80,15,22,37,6,65,3.9,12,3,0,1,18,4,0,168,8.9,1269,15:51,44,260,6,19,24.0,belesma01,15-16
Pierre-Édouard Bellemare,30,PHI,LW,74,7,7,14,-8,27,0.4,6,0,1,1,6,0,1,102,6.9,1004,13:34,61,65,272,307,47.0,bellepi01,15-16
Jamie Benn,26,DAL,LW,82,41,48,89,7,64,12.1,22,17,2,5,32,13,3,247,16.6,1642,20:01,55,156,226,252,47.3,bennja01,15-16
Jordie Benn,28,DAL,D,64,3,9,12,2,21,2.2,2,1,0,2,8,0,1,58,5.2,1001,15:39,94,90,0,0,,bennjo01,15-16
Beau Bennett,24,PIT,RW,33,6,6,12,-1,10,1.3,5,1,0,0,4,2,0,52,11.5,393,11:54,6,65,2,4,33.3,bennebe01,15-16
Sam Bennett,19,CGY,C,77,18,18,36,-11,37,3.4,15,3,0,2,13,5,0,136,13.2,1166,15:09,32,110,160,187,46.1,bennesa01,15-16
André Benoit,32,STL,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,27,13:35,5,1,0,0,,benoian01,15-16
Patrice Bergeron,30,BOS,C,80,32,36,68,12,49,9.0,19,12,1,6,21,13,2,282,11.3,1587,19:50,56,77,1130,848,57.1,bergepa01,15-16
Patrik Berglund,27,STL,C,42,10,5,15,1,16,1.8,6,4,0,5,5,0,0,80,12.5,651,15:29,17,48,139,138,50.2,berglpa01,15-16
Steve Bernier,30,NYI,RW,24,1,5,6,3,9,0.5,1,0,0,0,5,0,0,27,3.7,269,11:14,13,42,0,0,,bernist01,15-16
Christoph Bertschy,21,MIN,C,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,21,6:57,2,7,0,0,,bertsch02,15-16
Bryan Bickell,29,CHI,LW,25,0,2,2,-5,2,-0.4,0,0,0,0,2,0,0,21,0.0,245,9:47,10,58,2,0,100.0,bickebr01,15-16
Alex Biega,27,VAN,D,51,0,7,7,-11,22,0.9,0,0,0,0,7,0,0,61,0.0,855,16:46,41,124,0,0,,biegaal01,15-16
Kevin Bieksa,34,ANA,D,71,4,11,15,-7,99,3.6,2,2,0,1,7,4,0,109,3.7,1492,21:01,108,152,0,0,,biekske01,15-16
Chris Bigras,20,COL,D,31,1,2,3,-2,16,0.7,1,0,0,0,2,0,0,21,4.8,414,13:21,17,17,0,0,,bigrach01,15-16
Anthony Bitetto,25,NSH,D,28,1,5,6,0,19,1.1,1,0,0,0,5,0,0,19,5.3,340,12:08,41,62,0,0,,bitetan01,15-16
Oliver Bjorkstrand,20,CBJ,RW,12,4,4,8,6,0,1.3,4,0,0,1,4,0,0,25,16.0,192,15:59,5,9,0,0,,bjorkol01,15-16
Nick Bjugstad,23,FLA,C,67,15,19,34,-8,41,3.4,9,6,0,3,10,9,0,171,8.8,1039,15:31,28,87,449,419,51.7,bjugsni01,15-16
Joseph Blandisi,21,NJD,LW,41,5,12,17,-14,34,1.1,1,4,0,1,10,2,0,43,11.6,640,15:36,13,39,11,22,33.3,blandjo01,15-16
Mike Blunden,29,TBL,RW,20,3,2,5,3,34,0.8,3,0,0,1,2,0,0,14,21.4,173,8:39,3,41,0,0,,blundmi01,15-16
Andrew Bodnarchuk,27,TOT,D,37,0,4,4,-7,14,0.2,0,0,0,0,4,0,0,9,0.0,457,12:20,27,44,0,0,,bodnaan01,15-16
Zach Bogosian,25,BUF,D,64,7,17,24,-11,68,4.5,4,3,0,1,13,3,1,121,5.8,1430,22:21,98,86,0,0,,bogosza01,15-16
Jared Boll,29,CBJ,RW,30,1,2,3,-3,61,0.0,1,0,0,0,2,0,0,11,9.1,200,6:39,15,53,2,0,100.0,bollja01,15-16
Dave Bolland,29,FLA,C,25,1,4,5,-2,16,0.0,1,0,0,0,1,3,0,26,3.8,352,14:06,9,36,156,185,45.7,bollada01,15-16
Brandon Bollig,29,CGY,LW,54,2,2,4,-10,103,-0.7,2,0,0,0,2,0,0,56,3.6,502,9:17,25,117,2,1,66.7,bollibr01,15-16
Nick Bonino,27,PIT,C,63,9,20,29,13,31,3.0,6,2,1,0,20,0,0,97,9.3,998,15:50,67,22,463,455,50.4,boninni01,15-16
Mark Borowiecki,26,OTT,D,63,1,1,2,-4,107,0.2,1,0,0,0,1,0,0,27,3.7,922,14:38,99,271,0,1,0.0,borowma01,15-16
Robert Bortuzzo,26,STL,D,40,2,1,3,2,52,1.3,2,0,0,0,1,0,0,47,4.3,531,13:16,42,93,0,0,,borturo01,15-16
Reid Boucher,22,NJD,LW,39,8,11,19,-13,6,1.8,6,2,0,4,7,4,0,74,10.8,557,14:16,14,32,1,2,33.3,bouchre01,15-16
Eric Boulton,39,NYI,LW,6,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,3,0.0,57,9:29,0,15,0,0,,boulter01,15-16
Lance Bouma,25,CGY,C,44,2,5,7,-6,31,-0.2,2,0,0,0,3,0,2,49,4.1,530,12:02,42,110,5,8,38.5,boumala01,15-16
Gabriel Bourque,25,NSH,RW,22,1,3,4,0,18,0.1,1,0,0,0,3,0,0,25,4.0,272,12:22,22,55,0,1,0.0,bourqga01,15-16
Rene Bourque,34,CBJ,RW,49,3,5,8,-9,38,0.0,3,0,0,0,5,0,0,77,3.9,512,10:27,19,82,3,6,33.3,bourqre01,15-16
Jay Bouwmeester,32,STL,D,72,3,16,19,-4,18,3.9,2,1,0,0,15,1,0,105,2.9,1664,23:07,110,71,0,0,,bouwmja01,15-16
Johnny Boychuk,32,NYI,D,70,9,16,25,17,31,6.6,8,1,0,1,12,4,0,165,5.5,1496,21:22,140,149,0,0,,boychjo01,15-16
Brad Boyes,33,TOR,RW,60,8,16,24,-6,12,2.1,6,2,0,1,13,3,0,85,9.4,718,11:58,17,20,9,5,64.3,boyesbr01,15-16
Brian Boyle,31,TBL,C,76,13,7,20,-7,57,1.9,9,2,2,4,6,1,0,117,11.1,981,12:55,48,115,346,336,50.7,boylebr01,15-16
Dan Boyle,39,NYR,D,74,10,14,24,0,30,4.5,7,3,0,0,7,7,0,95,10.5,1392,18:49,105,66,0,0,,boyleda01,15-16
Tyler Bozak,29,TOR,C,57,12,23,35,-9,18,3.2,9,3,0,1,16,7,0,99,12.1,988,17:20,24,46,597,462,56.4,bozakty01,15-16
Derick Brassard,28,NYR,C,80,27,31,58,12,30,7.5,19,8,0,5,17,14,0,182,14.8,1431,17:53,23,103,676,670,50.2,brassde01,15-16
Justin Braun,28,SJS,D,80,4,19,23,11,36,5.4,4,0,0,0,18,1,0,114,3.5,1645,20:34,140,95,0,0,,braunju01,15-16
T.J. Brennan,26,TOR,D,7,1,0,1,-6,6,-0.2,1,0,0,0,0,0,0,11,9.1,106,15:06,5,7,0,0,,brenntj01,15-16
Connor Brickley,23,FLA,C,23,1,4,5,1,14,0.4,1,0,0,1,4,0,0,13,7.7,201,8:44,6,46,0,0,,brickco01,15-16
T.J. Brodie,25,CGY,D,70,6,39,45,4,18,6.9,4,2,0,1,30,7,2,79,7.6,1768,25:15,104,15,0,0,,broditj01,15-16
Jonas Brodin,22,MIN,D,68,2,5,7,-5,18,2.1,2,0,0,0,5,0,0,58,3.4,1389,20:25,110,34,0,0,,brodijo01,15-16
Kyle Brodziak,31,STL,C,76,7,4,11,-1,37,0.7,4,0,3,4,4,0,0,49,14.3,821,10:48,37,50,275,281,49.5,brodzky01,15-16
Troy Brouwer,30,STL,RW,82,18,21,39,2,62,4.3,11,7,0,4,18,3,0,142,12.7,1394,17:00,52,200,65,49,57.0,brouwtr01,15-16
Chris Brown,24,WSH,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,8,7:41,0,2,0,0,,brownch01,15-16
Connor Brown,22,TOR,RW,7,1,5,6,-2,0,0.5,0,1,0,0,1,3,1,11,9.1,105,14:58,2,1,0,0,,brownco02,15-16
Dustin Brown,31,LAK,RW,82,11,17,28,-5,30,1.9,9,2,0,0,15,1,1,218,5.0,1326,16:10,20,234,8,9,47.1,browndu01,15-16
J.T. Brown,25,TBL,RW,78,8,14,22,16,59,2.4,8,0,0,0,12,0,2,140,5.7,1042,13:22,40,103,23,27,46.0,brownjt01,15-16
Mike Brown,30,TOT,RW,58,2,3,5,-5,90,-0.2,2,0,0,0,3,0,0,51,3.9,453,7:48,25,176,3,1,75.0,brownmi02,15-16
Patrick Brown,23,CAR,C,7,1,1,2,4,4,0.4,1,0,0,0,1,0,0,8,12.5,88,12:36,6,11,0,0,,brownpa02,15-16
Brett Bulmer,23,MIN,RW,3,0,0,0,-1,7,-0.1,0,0,0,0,0,0,0,2,0.0,20,6:43,0,2,0,0,,bulmebr01,15-16
André Burakovsky,20,WSH,LW,79,17,21,38,4,12,4.6,17,0,0,1,17,4,0,126,13.5,1029,13:01,24,37,17,20,45.9,burakan01,15-16
Alexander Burmistrov,24,WPG,C,81,7,14,21,-11,32,0.4,7,0,0,2,12,1,1,102,6.9,1310,16:10,35,125,205,307,40.0,burmial01,15-16
Brent Burns,30,SJS,D,82,27,48,75,-5,53,12.9,19,7,1,4,24,23,1,353,7.6,2121,25:52,145,101,1,0,100.0,burnsbr01,15-16
Alexandre Burrows,34,VAN,RW,79,9,13,22,-13,49,1.1,7,2,0,0,9,4,0,135,6.7,1198,15:10,33,81,10,12,45.5,burroal01,15-16
Chris Butler,29,STL,D,5,0,0,0,-1,4,0.0,0,0,0,0,0,0,0,4,0.0,58,11:30,8,3,0,0,,butlech01,15-16
Dustin Byfuglien,30,WPG,D,81,19,34,53,4,119,9.7,15,3,1,6,19,14,1,247,7.7,2041,25:12,105,222,0,0,,byfugdu01,15-16
Paul Byron,26,MTL,C,62,11,7,18,-9,11,1.4,8,0,3,2,5,0,2,50,22.0,853,13:46,25,112,3,2,60.0,byronpa01,15-16
Mikkel Bødker,26,TOT,LW,80,17,34,51,-33,12,3.8,14,3,0,5,18,16,0,166,10.2,1481,18:30,31,50,1,2,33.3,boedkmi01,15-16
Ryan Callahan,30,TBL,RW,73,10,18,28,-5,45,2.1,8,2,0,1,16,2,0,156,6.4,1258,17:14,71,164,21,15,58.3,callary01,15-16
Matt Calvert,26,CBJ,LW,73,11,13,24,1,51,2.1,10,1,0,1,13,0,0,114,9.6,1104,15:08,46,91,7,7,50.0,calvema01,15-16
Mike Cammalleri,33,NJD,LW,42,14,24,38,15,18,5.6,11,3,0,1,17,7,0,101,13.9,810,19:17,13,15,7,7,50.0,cammami01,15-16
Andrew Campbell,27,TOR,D,6,0,1,1,0,2,0.2,0,0,0,0,1,0,0,1,0.0,70,11:35,10,5,0,0,,campban01,15-16
Brian Campbell,36,FLA,D,82,6,25,31,31,26,7.8,5,0,1,1,17,8,0,99,6.1,1827,22:17,80,27,0,0,,campbbr02,15-16
Gregory Campbell,32,CBJ,C,82,3,8,11,-6,78,-0.2,3,0,0,2,8,0,0,58,5.2,866,10:34,56,100,229,253,47.5,campbgr01,15-16
Paul Carey,27,WSH,C,4,1,0,1,0,0,0.2,1,0,0,0,0,0,0,5,20.0,40,9:58,1,6,0,0,,careypa01,15-16
Matt Carle,31,TBL,D,64,2,7,9,4,26,2.6,2,0,0,1,7,0,0,54,3.7,1074,16:47,91,30,0,0,,carlema01,15-16
John Carlson,26,WSH,D,56,8,31,39,16,14,7.7,6,2,0,4,18,12,1,124,6.5,1327,23:42,114,46,0,0,,carlsjo01,15-16
Jordan Caron,25,STL,RW,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0.0,33,8:08,0,6,0,0,,caronjo01,15-16
Ryan Carpenter,25,SJS,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,7:27,0,1,0,2,0.0,carpery01,15-16
Daniel Carr,24,MTL,LW,23,6,3,9,0,8,1.2,5,1,0,1,3,0,0,39,15.4,278,12:04,5,25,0,0,,carrda01,15-16
Connor Carrick,21,TOT,D,19,2,2,4,-5,15,0.5,2,0,0,1,1,1,0,21,9.5,295,15:32,19,38,0,0,,carrico01,15-16
Sam Carrick,23,TOR,C,3,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,4,0.0,34,11:28,0,4,1,0,100.0,carrisa01,15-16
Trevor Carrick,21,CAR,D,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,3,0.0,33,16:40,2,1,0,0,,carritr01,15-16
Jeff Carter,31,LAK,C,77,24,38,62,18,20,8.0,19,4,1,6,29,8,1,242,9.9,1416,18:23,39,89,598,630,48.7,carteje01,15-16
Ryan Carter,32,MIN,LW,60,7,5,12,-3,48,1.0,6,0,1,0,5,0,0,62,11.3,668,11:08,37,87,21,17,55.3,cartery01,15-16
Daniel Catenacci,22,BUF,C,11,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,7,0.0,96,8:44,2,22,2,0,100.0,catenda01,15-16
Cody Ceci,22,OTT,D,75,10,16,26,9,18,5.2,10,0,0,2,14,2,0,116,8.6,1448,19:18,130,70,0,0,,cecico01,15-16
Michael Chaput,23,CBJ,C,8,1,1,2,3,5,0.3,1,0,0,0,1,0,0,10,10.0,72,9:00,3,13,49,26,65.3,chapumi01,15-16
Zdeno Chára,38,BOS,D,80,9,28,37,12,71,7.3,8,1,0,3,17,9,2,158,5.7,1928,24:06,123,134,0,1,0.0,charazd01,15-16
Ben Chiarot,24,WPG,D,70,1,9,10,-9,43,1.1,1,0,0,0,9,0,0,74,1.4,1012,14:27,105,130,0,0,,chiarbe01,15-16
Alex Chiasson,25,OTT,RW,77,8,6,14,2,45,0.6,5,2,1,1,6,0,0,88,9.1,1050,13:38,28,103,3,2,60.0,chiasal01,15-16
Jason Chimera,36,WSH,LW,82,20,20,40,0,22,4.7,14,4,2,3,15,5,0,165,12.1,1152,14:03,13,103,8,20,28.6,chimeja01,15-16
Kyle Chipchura,29,ARI,C,70,4,8,12,-10,38,0.2,4,0,0,1,7,1,0,47,8.5,716,10:13,13,73,88,80,52.4,chipcky01,15-16
Taylor Chorney,28,WSH,D,55,1,5,6,8,21,2.0,1,0,0,0,5,0,0,28,3.6,726,13:11,58,56,0,0,,chornta01,15-16
Casey Cizikas,24,NYI,C,80,8,21,29,4,31,2.6,7,0,1,4,20,0,2,84,9.5,1015,12:41,62,158,469,490,48.9,cizikca01,15-16
Fredrik Claesson,23,OTT,D,16,0,2,2,-6,2,-0.2,0,0,0,0,2,0,0,15,0.0,309,19:17,30,33,0,0,,claesfr01,15-16
David Clarkson,31,CBJ,RW,23,2,2,4,-8,23,0.0,2,0,0,1,2,0,0,24,8.3,212,9:13,6,45,2,10,16.7,clarkda03,15-16
Adam Clendening,23,TOT,D,29,1,6,7,6,20,1.8,1,0,0,0,6,0,0,43,2.3,429,14:48,34,19,0,0,,clendad01,15-16
Kyle Clifford,25,LAK,LW,56,3,6,9,-1,55,0.4,3,0,0,0,6,0,0,68,4.4,524,9:21,11,111,3,4,42.9,cliffky01,15-16
Rich Clune,28,TOR,LW,19,0,4,4,1,22,0.2,0,0,0,0,4,0,0,10,0.0,154,8:06,5,58,0,0,,cluneri01,15-16
Cal Clutterbuck,28,NYI,RW,77,15,8,23,7,22,3.1,13,0,2,5,7,0,1,80,18.8,918,11:55,34,288,1,2,33.3,cluttca01,15-16
Braydon Coburn,30,TBL,D,80,1,9,10,12,53,3.6,1,0,0,0,8,0,1,92,1.1,1340,16:45,88,111,0,0,,coburbr01,15-16
Andrew Cogliano,28,ANA,LW,82,9,23,32,2,28,3.0,7,0,2,3,22,0,1,131,6.9,1183,14:26,27,124,6,11,35.3,coglian01,15-16
Carlo Colaiacovo,33,BUF,D,36,1,4,5,-11,10,0.4,1,0,0,0,3,1,0,29,3.4,521,14:28,41,36,0,0,,colaica01,15-16
Joe Colborne,26,CGY,C,73,19,25,44,-9,27,4.6,16,3,0,2,23,2,0,100,19.0,1107,15:10,28,122,85,70,54.8,colbojo01,15-16
Ian Cole,26,PIT,D,70,0,12,12,-3,59,1.8,0,0,0,0,11,1,0,72,0.0,1207,17:14,122,122,0,0,,coleia01,15-16
Sean Collins,27,WSH,C,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,17,8:32,2,0,0,0,,collise02,15-16
Blake Comeau,29,COL,LW,81,12,24,36,-9,58,2.6,8,2,2,3,18,6,0,142,8.5,1428,17:38,35,173,276,290,48.8,comeabl01,15-16
Erik Condra,29,TBL,RW,54,6,5,11,-4,34,0.8,6,0,0,0,5,0,0,58,10.3,578,10:42,16,20,1,2,33.3,condrer01,15-16
Kevin Connauton,25,TOT,D,65,5,12,17,7,60,3.9,5,0,0,0,9,3,0,109,4.6,1088,16:44,58,100,0,0,,connake01,15-16
Brett Connolly,23,BOS,RW,71,9,16,25,-1,20,2.2,7,2,0,2,13,3,0,95,9.5,920,12:58,36,137,14,17,45.2,connobr01,15-16
Andrew Copp,21,WPG,C,77,7,6,13,8,6,1.5,7,0,0,0,6,0,0,54,13.0,616,8:00,18,87,224,262,46.1,coppan01,15-16
Patrice Cormier,25,WPG,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,9,4:30,0,1,3,6,33.3,cormipa01,15-16
Frank Corrado,22,TOR,D,39,1,5,6,-12,26,0.4,1,0,0,0,4,1,0,46,2.2,564,14:27,37,46,0,0,,corrafr01,15-16
Nick Cousins,22,PHI,C,36,6,5,11,5,4,1.5,6,0,0,1,3,2,0,41,14.6,386,10:44,17,38,109,128,46.0,cousini01,15-16
Logan Couture,26,SJS,C,52,15,21,36,2,20,4.3,10,5,0,4,11,10,0,137,10.9,904,17:23,38,29,271,305,47.0,coutulo01,15-16
Sean Couturier,23,PHI,C,63,11,28,39,8,30,4.0,9,2,0,1,22,5,1,119,9.2,1172,18:36,30,31,537,568,48.6,coutuse01,15-16
Jared Cowen,25,OTT,D,37,0,4,4,7,16,1.2,0,0,0,0,4,0,0,23,0.0,628,16:59,58,116,0,0,,cowenja01,15-16
Charlie Coyle,23,MIN,C,82,21,21,42,1,16,4.9,19,2,0,4,16,4,1,140,15.0,1419,17:18,60,130,228,274,45.4,coylech01,15-16
Adam Cracknell,30,TOT,RW,52,5,5,10,-1,20,0.7,5,0,0,1,5,0,0,68,7.4,636,12:14,25,124,156,239,39.5,crackad01,15-16
Sidney Crosby,28,PIT,C,80,36,49,85,19,42,11.5,26,10,0,9,35,14,0,248,14.5,1638,20:28,35,90,986,921,51.7,crosbsi01,15-16
Tommy Cross,26,BOS,D,3,0,1,1,-1,0,0.0,0,0,0,0,0,0,1,0,,39,13:05,1,3,0,0,,crossto01,15-16
Matt Cullen,39,PIT,C,82,16,16,32,5,20,3.6,13,0,3,4,13,0,3,118,13.6,1138,13:53,41,40,582,462,55.7,cullema01,15-16
Craig Cunningham,25,ARI,RW,10,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,13,0.0,101,10:05,4,15,2,1,66.7,cunnicr01,15-16
Klas Dahlbeck,24,ARI,D,71,2,6,8,-5,28,1.5,2,0,0,0,5,0,1,64,3.1,1117,15:44,76,178,0,0,,dahlbkl01,15-16
Trevor Daley,32,TOT,D,82,6,22,28,9,34,5.6,5,1,0,0,14,8,0,130,4.6,1512,18:26,79,42,0,1,0.0,daleytr01,15-16
Zac Dalpe,26,MIN,C,2,1,0,1,0,0,0.2,1,0,0,0,0,0,0,3,33.3,21,10:15,0,3,11,6,64.7,dalpeza01,15-16
Phillip Danault,22,TOT,C,51,4,6,10,-5,14,0.3,4,0,0,1,6,0,0,72,5.6,651,12:45,28,45,247,272,47.6,danauph01,15-16
Marko Daňo,21,TOT,C,34,5,5,10,-7,10,0.7,5,0,0,0,4,1,0,54,9.3,417,12:15,15,62,2,4,33.3,danoma01,15-16
Pavel Datsyuk,37,DET,C,66,16,33,49,7,14,5.6,8,8,0,1,21,12,0,181,8.8,1297,19:39,33,70,599,517,53.7,datsypa01,15-16
Laurent Dauphin,20,ARI,C,8,1,0,1,0,4,0.1,1,0,0,0,0,0,0,7,14.3,91,11:19,7,6,32,41,43.8,dauphla01,15-16
Brandon Davidson,24,EDM,D,51,4,7,11,7,20,3.4,2,2,0,0,6,0,1,63,6.3,979,19:12,92,74,0,0,,davidbr01,15-16
Calvin de Haan,24,NYI,D,72,2,14,16,3,20,3.6,2,0,0,0,13,1,0,102,2.0,1486,20:38,198,128,0,1,0.0,dehaaca01,15-16
Jacob de La Rose,20,MTL,LW,22,0,1,1,-6,6,-0.6,0,0,0,0,1,0,0,20,0.0,274,12:26,19,39,67,63,51.5,delarja01,15-16
Chase De Leo,20,WPG,C,2,0,0,0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,19,9:25,0,0,1,0,100.0,deleoch01,15-16
Danny DeKeyser,25,DET,D,78,8,12,20,2,44,5.2,8,0,0,3,12,0,0,72,11.1,1701,21:48,107,88,0,0,,dekeyda01,15-16
Michael Del Zotto,25,PHI,D,52,4,9,13,-8,16,2.3,4,0,0,1,8,1,0,98,4.1,1217,23:25,104,140,0,0,,delzomi01,15-16
Dylan DeMelo,22,SJS,D,45,2,2,4,0,14,1.2,0,2,0,0,0,2,0,42,4.8,613,13:37,35,39,0,0,,demeldy01,15-16
Jason Demers,27,DAL,D,62,7,16,23,16,72,5.2,3,3,1,1,14,2,0,94,7.4,1294,20:52,73,86,0,0,,demerja01,15-16
David Desharnais,29,MTL,C,65,11,18,29,-6,20,2.5,8,3,0,4,16,2,0,90,12.2,1040,16:00,25,31,391,412,48.7,deshada01,15-16
Andrew Desjardins,29,CHI,LW,77,8,5,13,-8,30,0.3,8,0,0,1,5,0,0,96,8.3,1030,13:23,49,102,43,44,49.4,desjaan01,15-16
Nicolas Deslauriers,24,BUF,LW,70,6,6,12,-14,59,0.4,6,0,0,1,6,0,0,72,8.3,723,10:20,30,206,0,1,0.0,deslani01,15-16
Simon Despres,24,ANA,D,32,0,4,4,2,8,1.5,0,0,0,0,3,1,0,32,0.0,628,19:38,71,67,0,0,,desprsi01,15-16
