CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
69,72,48.9,-2.8,46,59,43.8,-8.9,5.7,92.5,98.2,46.3,53.7,,0,3,0.2,12,66.7,abruzni01,21-22
204,165,55.3,-1.5,150,119,55.8,-0.2,9.6,89.4,99.1,52.0,48.0,,8,6,2.7,52,61.5,acciano01,21-22
199,150,57.0,6.3,144,119,54.8,4.2,9.7,84.7,94.4,50.5,49.5,,0,1,3.0,36,47.2,addisca01,21-22
8,4,66.7,26.7,5,2,71.4,29.1,0.0,100.0,100.0,50.0,50.0,,0,0,-0.2,1,100.0,agozzan01,21-22
93,70,57.1,5.3,69,52,57.0,3.7,0.0,92.1,92.1,59.2,40.8,,1,4,1.2,14,35.7,ahcanja01,21-22
1163,965,54.7,-1.6,878,771,53.2,-2.9,11.4,90.5,101.8,57.9,42.1,,68,56,7.4,402,55.0,ahose01,21-22
433,547,44.2,-2.6,318,416,43.3,-3.5,10.0,90.8,100.9,58.8,41.2,,8,27,-9.0,76,44.7,ahose02,21-22
9,12,42.9,-5.4,6,7,46.2,-1.5,0.0,100.0,100.0,60.0,40.0,,0,0,0.5,1,0.0,alexeal01,21-22
8,5,61.5,13.1,6,4,60.0,12.0,0.0,66.7,66.7,66.7,33.3,,1,1,-0.1,2,100.0,alliswa01,21-22
684,566,54.7,1.2,502,395,56.0,1.6,7.9,90.2,98.2,51.2,48.8,,26,11,4.3,109,58.7,amadimi01,21-22
45,32,58.4,5.5,31,28,52.5,-1.4,3.8,93.8,97.6,75.0,25.0,,2,0,2.0,15,66.7,anderjo08,21-22
913,1018,47.3,0.6,677,767,46.9,0.9,9.2,88.4,97.6,47.4,52.6,,33,31,-10.0,283,53.7,anderjo05,21-22
980,841,53.8,0.0,762,645,54.2,-0.7,8.7,90.7,99.4,50.3,49.7,,10,26,5.5,133,43.6,andermi02,21-22
77,68,53.1,-2.4,55,54,50.5,-6.6,0.0,90.0,90.0,52.2,47.8,,2,2,0.1,17,29.4,anderja01,21-22
184,206,47.2,-6.1,138,157,46.8,-8.3,2.9,90.8,93.8,59.1,40.9,,2,5,-1.7,38,76.3,anderli01,21-22
1544,1263,55.0,-0.6,1219,989,55.2,0.3,10.1,90.8,100.9,53.5,46.5,,24,44,24.0,289,52.6,anderra01,21-22
40,59,40.4,-8.4,27,38,41.5,-4.2,6.3,91.7,97.9,53.3,46.7,,1,3,-1.9,9,66.7,andrean01,21-22
16,20,44.4,-13.5,11,14,44.0,-12.7,11.1,90.0,101.1,57.1,42.9,,0,0,-0.2,2,100.0,angelan01,21-22
803,818,49.5,0.2,596,617,49.1,-0.1,9.0,91.4,100.3,37.0,63.0,,15,13,-6.4,171,57.3,applema01,21-22
35,54,39.3,-14.1,23,45,33.8,-19.9,13.3,87.5,100.8,45.9,54.1,,3,1,-1.3,9,44.4,archijo01,21-22
606,637,48.8,1.3,442,480,47.9,1.5,6.1,90.7,96.8,49.4,50.6,,30,28,-1.8,179,57.5,armiajo01,21-22
1071,833,56.3,2.3,836,607,57.9,3.3,8.6,89.2,97.8,53.7,46.3,,24,16,12.2,412,55.1,arvidvi01,21-22
873,781,52.8,5.7,684,610,52.9,7.1,7.8,89.8,97.6,51.2,48.8,,21,23,0.9,192,67.7,asplura01,21-22
632,683,48.1,-2.4,485,510,48.7,-2.3,8.2,94.0,102.1,33.4,66.6,,19,10,0.4,130,60.0,astonza01,21-22
350,347,50.2,-4.1,279,256,52.1,-3.2,11.9,91.5,103.4,51.6,48.4,,15,9,0.2,123,57.7,athanan01,21-22
918,1027,47.2,0.7,695,780,47.1,0.5,11.2,89.9,101.1,54.9,45.1,,37,28,-4.8,331,65.0,atkinca01,21-22
209,199,51.2,4.8,148,146,50.3,2.7,10.5,87.7,98.3,52.3,47.7,,6,9,-0.9,45,35.6,attarro01,21-22
603,643,48.4,-4.3,445,489,47.6,-4.1,8.5,94.6,103.1,38.2,61.8,,17,20,2.1,152,57.2,aubekni01,21-22
1195,900,57.0,2.2,907,696,56.6,2.2,8.1,92.7,100.8,49.8,50.2,,55,44,12.0,355,60.3,backlmi01,21-22
594,605,49.5,-0.7,449,448,50.1,-1.2,11.1,87.5,98.6,61.5,38.5,,25,13,-3.9,121,56.2,backsni02,21-22
4,6,40.0,0.3,2,4,33.3,-5.4,0.0,100.0,100.0,0.0,100.0,,0,0,0.0,0,,baddobr01,21-22
6,17,26.1,-33.9,4,13,23.5,-41.2,0.0,90.9,90.9,71.4,28.6,,0,0,-1.3,1,100.0,baertsv01,21-22
211,239,46.9,-1.8,166,186,47.2,0.4,9.3,86.9,96.2,39.1,60.9,,4,3,-2.3,30,53.3,bahlke01,21-22
850,1069,44.3,-2.4,637,777,45.0,-1.8,10.4,90.6,101.0,51.9,48.1,,31,43,-6.4,156,55.8,bailejo01,21-22
71,128,35.7,-18.8,51,98,34.2,-19.3,2.5,91.0,93.5,31.4,68.6,,7,4,-3.3,25,64.0,baileju01,21-22
751,850,46.9,2.3,554,612,47.5,1.6,9.0,90.7,99.6,42.8,57.2,,35,30,-4.3,160,61.3,balceru01,21-22
967,1113,46.5,1.3,718,817,46.8,0.0,9.7,91.0,100.7,45.8,54.2,,40,30,-7.5,166,62.0,barabal01,21-22
868,1174,42.5,-6.4,661,914,42.0,-6.6,13.1,90.6,103.7,47.8,52.2,,44,46,-10.5,188,59.0,barbaiv01,21-22
20,31,39.2,-2.1,12,24,33.3,-7.6,10.0,90.0,100.0,60.0,40.0,,1,3,-0.8,8,50.0,barberi01,21-22
1119,749,59.9,4.4,857,586,59.4,4.2,11.6,90.5,102.2,55.8,44.2,,59,51,22.8,340,62.9,barkoal01,21-22
123,151,44.9,-6.0,86,116,42.6,-9.5,12.3,92.3,104.6,53.7,46.3,,4,3,-3.9,28,57.1,barreal01,21-22
1086,1049,50.9,-1.8,795,846,48.4,-4.1,9.8,91.8,101.6,52.6,47.4,,14,43,0.7,297,50.2,barrity01,21-22
92,108,46.0,3.9,71,91,43.8,1.1,9.3,89.1,98.3,42.4,57.6,,2,3,-1.3,18,72.2,barroju01,21-22
183,238,43.5,-5.2,154,168,47.8,-0.9,5.1,91.9,97.0,48.1,51.9,,6,4,-1.9,46,71.7,barromo01,21-22
1107,1117,49.8,5.1,822,859,48.9,3.3,8.0,90.5,98.5,64.8,35.2,,43,82,-1.7,252,63.9,barzama01,21-22
614,629,49.4,-1.8,470,449,51.1,0.6,8.8,88.6,97.4,31.5,68.5,,13,15,0.5,165,58.8,bastina01,21-22
666,712,48.3,3.0,505,543,48.2,2.2,10.7,91.2,102.0,65.3,34.7,,21,30,-1.3,189,58.7,bathedr01,21-22
460,501,47.9,0.0,341,395,46.3,-1.4,10.5,90.3,100.8,51.4,48.6,,12,12,-4.8,85,51.8,bayrega01,21-22
270,389,41.0,-5.8,206,294,41.2,-5.0,3.2,88.9,92.1,31.4,68.6,,9,7,-9.2,40,60.0,beaglja01,21-22
1098,1183,48.1,-0.2,814,949,46.2,-1.1,9.7,91.4,101.1,52.3,47.7,,21,23,-17.5,209,43.1,beanja01,21-22
884,680,56.5,1.5,692,533,56.5,2.0,8.1,90.8,98.9,56.2,43.8,,16,28,4.3,186,52.2,bearet01,21-22
10,10,50.0,1.4,4,8,33.3,-13.0,0.0,83.3,83.3,100.0,0.0,,0,0,-0.6,1,100.0,beaudni01,21-22
157,219,41.8,-8.3,122,165,42.5,-6.9,6.2,89.9,96.1,47.6,52.4,,0,17,-4.9,52,46.2,beaulna01,21-22
967,1116,46.4,0.5,703,860,45.0,-1.7,8.7,91.5,100.2,53.6,46.4,,36,54,-8.2,252,61.1,beauvan01,21-22
33,31,51.6,-9.2,22,23,48.9,-10.0,5.0,88.9,93.9,42.1,57.9,,1,2,-0.7,6,66.7,beckmad01,21-22
697,745,48.3,-3.1,537,567,48.6,-3.1,10.6,95.3,105.9,38.6,61.4,,26,18,2.0,129,55.8,bellepi01,21-22
437,495,46.9,-0.6,320,373,46.2,-1.6,9.4,92.1,101.6,54.6,45.4,,6,26,-2.7,147,54.4,belloki01,21-22
83,77,51.9,0.2,60,63,48.8,-1.3,5.9,93.6,99.5,43.1,56.9,,3,5,0.2,19,68.4,belzial01,21-22
343,337,50.4,3.4,267,259,50.8,5.2,8.5,91.5,100.0,52.3,47.7,,11,5,-1.1,105,59.0,bemstem01,21-22
109,123,47.0,-7.3,85,89,48.9,-6.3,11.7,86.4,98.1,63.1,36.9,,6,5,-1.3,36,50.0,beniema01,21-22
1044,1207,46.4,-3.7,759,905,45.6,-4.9,8.8,90.8,99.6,48.3,51.7,,37,47,-5.5,317,57.4,bennja01,21-22
462,547,45.8,-5.0,340,415,45.0,-6.2,11.7,90.6,102.3,48.9,51.1,,6,15,-1.4,77,48.1,bennjo01,21-22
1059,794,57.2,0.0,816,622,56.7,-0.2,11.0,91.1,102.1,70.7,29.3,,41,49,16.4,398,60.6,bennesa01,21-22
752,808,48.2,-1.2,587,619,48.7,-1.2,7.1,88.4,95.5,36.9,63.1,,8,33,-7.4,114,53.5,bennima01,21-22
579,685,45.8,-2.3,438,523,45.6,-2.0,7.6,92.3,99.9,46.6,53.4,,7,21,-3.9,87,51.7,benoisi01,21-22
236,206,53.4,2.3,173,157,52.4,2.0,4.6,91.1,95.6,50.0,50.0,,3,6,-0.5,35,51.4,bensoty01,21-22
1227,686,64.1,13.7,977,518,65.4,13.8,7.6,91.6,99.2,59.1,40.9,,37,21,29.3,427,68.6,bergepa01,21-22
101,105,49.0,2.0,70,76,47.9,0.1,12.8,92.1,104.8,53.2,46.8,,2,2,-1.6,12,50.0,bernaja01,21-22
1025,1049,49.4,4.3,779,833,48.3,3.2,10.9,88.2,99.1,52.4,47.6,,42,57,-0.6,306,58.8,bertuty01,21-22
19,20,48.7,-11.4,16,15,51.6,-8.2,0.0,83.3,83.3,69.2,30.8,,0,1,-0.2,4,50.0,biegaal01,21-22
