Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
D,12,0.07,0.54,0.61,0.18,2.19,6,43,49,15,92,11,93,25,12.0,53.2,54.3,-1.1,2.7,3.5,6.2,,ekblaaa01,19-20
D,0,0.0,0.04,0.04,0.01,0.46,0,1,1,0,13,0,13,0,1.0,12.1,10.9,1.2,-0.3,0.8,0.6,,nessaa01,19-20
D,5,0.1,0.22,0.32,0.11,1.22,5,11,16,6,36,7,33,0,-3.0,27.5,30.3,-2.8,0.9,1.1,2.0,,boqviad01,19-20
C,1,0.0,0.43,0.43,0.12,0.29,0,4,4,1,3,0,2,0,1.0,2.0,1.7,0.3,0.2,0.1,0.2,,brookad01,19-20
LW,2,0.04,0.05,0.09,0.03,1.13,2,3,5,2,11,0,32,0,-24.0,18.5,20.8,-2.3,-1.2,0.1,-1.0,,ernead01,19-20
D,13,0.11,0.49,0.6,0.19,1.79,9,40,49,16,88,17,48,1,22.0,53.5,45.9,7.6,3.4,4.0,7.4,,foxad01,19-20
C,12,0.2,0.36,0.56,0.2,1.27,14,25,39,14,47,17,37,1,-7.0,21.6,29.8,-8.2,2.4,0.5,3.0,1.0,gaudead01,19-20
C,19,0.37,0.24,0.61,0.27,2.38,30,20,50,22,63,13,56,3,-3.0,40.7,41.2,-0.5,3.9,1.3,5.2,,henriad01,19-20
C,1,0.14,0.14,0.29,0.12,0.71,1,1,2,1,3,0,3,0,-1.0,1.5,0.7,0.8,0.2,0.0,0.2,,johnsad01,19-20
D,2,0.02,0.1,0.12,0.04,1.24,1,6,7,2,40,2,41,4,0.0,31.9,35.7,-3.8,-0.5,2.3,1.8,,larssad01,19-20
LW,4,0.08,0.12,0.2,0.08,1.39,5,7,12,5,18,0,33,12,-4.0,18.4,25.6,-7.2,-0.7,0.7,0.0,,lowryad01,19-20
D,3,0.03,0.21,0.24,0.07,1.29,1,10,11,3,31,0,39,8,4.0,26.7,30.4,-3.7,0.0,2.2,2.2,,pelecad01,19-20
LW,12,0.16,0.3,0.46,0.17,2.14,13,25,38,14,47,18,44,5,-10.0,36.3,32.2,4.1,1.2,1.1,2.4,2.0,kempead01,19-20
C,1,0.11,0.0,0.11,0.06,1.33,1,0,1,1,1,0,2,0,-1.0,2.7,2.9,-0.2,0.0,0.1,0.0,,quineal01,19-20
D,5,0.06,0.25,0.31,0.1,1.47,3,15,18,6,53,8,65,13,-4.0,37.3,35.2,2.1,0.6,2.4,3.0,,martial01,19-20
C,22,0.3,0.64,0.94,0.33,2.61,24,50,74,27,96,34,64,5,2.0,46.9,43.6,3.2,4.6,1.4,5.9,4.0,barkoal01,19-20
C,2,0.22,0.22,0.44,0.18,1.67,2,2,4,2,6,2,3,0,2.0,3.5,4.8,-1.3,0.3,0.2,0.5,,saareal01,19-20
D,1,0.0,0.06,0.06,0.02,1.12,0,3,3,1,17,0,36,10,-9.0,21.0,29.0,-8.0,-0.7,1.6,0.9,,biegaal01,19-20
RW,9,0.17,0.2,0.37,0.15,1.49,13,15,28,11,54,32,24,1,-3.0,24.0,24.6,-0.5,1.1,1.0,2.2,,chiasal01,19-20
RW,17,0.26,0.39,0.64,0.24,2.96,21,32,53,20,69,27,52,0,-10.0,42.1,45.3,-3.1,3.0,0.9,3.9,3.0,debrial01,19-20
C,9,0.14,0.27,0.41,0.15,1.46,10,19,29,11,33,9,28,0,-5.0,24.5,26.6,-2.1,1.2,0.6,1.8,,galchal01,19-20
D,10,0.06,0.4,0.46,0.14,1.44,5,33,38,12,80,19,78,23,8.0,51.2,53.2,-2.0,1.7,4.7,6.4,,goligal01,19-20
C,16,0.24,0.37,0.61,0.23,2.03,20,31,51,19,69,19,63,14,1.0,36.5,37.7,-1.3,2.3,1.8,4.2,,iafalal01,19-20
C/LW,20,0.38,0.34,0.72,0.3,1.91,31,27,58,24,80,26,59,22,19.0,34.6,33.4,1.2,4.2,1.8,6.0,,killoal01,19-20
LW,32,0.71,0.28,0.99,0.47,4.57,58,23,81,38,106,38,78,0,-12.0,48.5,46.3,2.1,8.0,0.8,8.7,3.0,ovechal01,19-20
D,18,0.23,0.51,0.74,0.26,3.21,19,42,61,22,114,35,85,15,11.0,57.4,52.8,4.6,4.8,4.3,9.1,,pietral01,19-20
RW,7,0.19,0.21,0.4,0.17,2.33,9,10,19,8,27,9,29,1,-10.0,21.0,18.1,3.0,0.9,0.2,1.1,1.0,tuchal01,19-20
D,10,0.08,0.47,0.56,0.17,2.0,6,33,39,12,76,12,78,24,13.0,47.2,48.3,-1.1,2.1,3.7,5.8,1.0,edleral01,19-20
C,10,0.14,0.29,0.43,0.16,1.35,11,22,33,12,53,7,52,1,-2.0,36.1,39.5,-3.5,1.1,0.8,1.8,1.0,kerfoal01,19-20
LW,10,0.15,0.25,0.4,0.15,1.45,12,19,31,12,33,2,35,0,-2.0,32.4,34.0,-1.6,1.5,0.8,2.2,,nylanal01,19-20
RW,13,0.25,0.32,0.57,0.22,2.2,18,23,41,16,56,20,25,0,8.0,38.9,30.3,8.7,2.2,1.7,3.9,3.0,radulal01,19-20
C,7,0.13,0.18,0.31,0.12,1.29,8,12,20,8,35,2,45,19,7.0,24.8,23.0,1.8,0.3,1.2,1.4,1.0,steenal01,19-20
