CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
1148,1021,52.9,-3.5,862,766,52.9,-4.0,9.0,91.8,100.8,49.7,50.3,19:00,33,39,9.8,225.0,49.8,schmina01,19-20
719,708,50.4,-0.9,574,530,52.0,0.8,7.3,89.1,96.4,56.4,43.6,16:54,6,18,2.7,178.0,48.3,schulju01,19-20
953,858,52.6,2.8,726,662,52.3,2.5,8.9,91.4,100.4,54.0,46.0,14:52,50,29,2.8,286.0,56.6,schwaja01,19-20
451,564,44.4,-6.0,328,420,43.9,-5.6,7.9,94.0,101.9,46.2,53.8,15:45,3,27,-7.5,78.0,51.3,seabrbr01,19-20
105,167,38.6,-9.3,79,120,39.7,-8.5,4.1,89.7,93.7,56.6,43.4,11:14,1,7,-3.1,,,seeleni01,19-20
1132,1123,50.2,1.2,830,830,50.0,1.1,7.6,92.3,99.9,51.0,49.0,15:44,34,52,4.7,395.0,62.0,seguity01,19-20
766,846,47.5,-2.7,575,616,48.3,-1.1,5.7,96.1,101.9,44.9,55.1,15:37,8,50,0.4,128.0,49.2,sekeran01,19-20
13,13,50.0,-2.5,8,10,44.4,-10.0,0.0,85.7,85.7,50.0,50.0,9:56,1,3,-0.5,2.0,50.0,seneybr01,19-20
30,22,57.7,4.7,24,17,58.5,8.3,9.5,100.0,109.5,46.2,53.8,8:22,1,1,0.9,4.0,25.0,senysza01,19-20
1177,1046,52.9,1.3,852,798,51.6,0.4,9.4,92.1,101.5,54.7,45.3,17:01,18,39,5.7,274.0,43.1,sergami01,19-20
1112,1236,47.4,2.3,841,907,48.1,2.2,7.6,89.8,97.4,45.0,55.0,18:13,35,73,-6.7,221.0,51.6,severda01,19-20
11,12,47.8,-6.5,9,10,47.4,-6.4,0.0,100.0,100.0,50.0,50.0,8:07,2,1,-0.6,4.0,25.0,sgarbmi01,19-20
1177,1014,53.7,2.5,870,776,52.9,2.2,9.8,93.7,103.6,53.2,46.8,16:50,32,34,9.0,246.0,53.3,shattke01,19-20
328,318,50.8,3.7,229,246,48.2,1.5,8.8,91.3,100.1,49.2,50.8,11:47,12,15,1.5,69.0,66.7,shawan01,19-20
133,229,36.7,-12.6,100,160,38.5,-9.6,5.8,96.2,102.0,44.7,55.3,6:40,2,5,-4.0,36.0,55.6,shawlo01,19-20
516,664,43.7,-5.0,399,486,45.1,-3.9,7.3,89.7,97.0,32.3,67.7,10:15,36,25,-3.9,109.0,64.2,sheahri01,19-20
664,654,50.4,0.3,504,515,49.5,-0.2,8.7,90.0,98.7,50.7,49.3,11:53,19,18,1.2,,,shearco01,19-20
83,110,43.0,-4.6,63,86,42.3,-5.7,7.5,95.4,102.9,46.9,53.1,12:17,4,7,-3.9,33.0,51.5,sherwki01,19-20
23,15,60.5,10.1,19,10,65.5,10.9,0.0,100.0,100.0,46.7,53.3,6:38,2,0,0.3,6.0,100.0,sherwko01,19-20
409,499,45.0,-2.8,324,383,45.8,-2.5,7.6,89.7,97.4,50.6,49.4,10:33,12,8,-6.4,,,shorede01,19-20
358,465,43.5,-7.8,268,348,43.5,-6.5,5.8,95.9,101.7,26.0,74.0,7:38,14,16,-5.1,,,shoreni01,19-20
755,737,50.6,-2.6,574,540,51.5,-1.2,8.1,93.3,101.4,46.6,53.4,12:22,13,32,1.5,110.0,44.5,siegejo01,19-20
84,93,47.5,-2.2,67,74,47.5,-1.0,7.7,94.8,102.5,54.2,45.8,9:53,2,0,-2.2,12.0,83.3,sikurdy01,19-20
841,852,49.7,2.0,629,650,49.2,1.1,10.6,89.3,99.9,51.7,48.3,13:30,40,32,-3.3,270.0,57.4,silfvja01,19-20
652,755,46.3,-6.2,471,566,45.4,-7.5,7.2,90.9,98.1,46.5,53.5,15:07,20,36,-6.2,87.0,46.0,simekra01,19-20
758,847,47.2,0.9,567,613,48.1,1.3,6.6,91.1,97.7,48.1,51.9,12:05,27,18,-1.3,,,simmowa01,19-20
865,763,53.1,3.1,666,581,53.4,2.7,7.2,90.0,97.2,58.5,41.5,13:40,41,31,3.4,180.0,56.7,simondo01,19-20
545,656,45.4,-6.7,422,458,48.0,-4.4,9.4,90.6,100.0,30.6,69.4,11:35,14,25,-4.2,92.0,56.5,sissoco01,19-20
742,748,49.8,-0.2,558,582,48.9,-0.6,7.1,90.0,97.1,52.1,47.9,13:57,28,24,-1.4,291.0,62.9,skinnje01,19-20
1104,1266,46.6,-1.6,845,976,46.4,-2.8,8.9,89.8,98.6,47.2,52.8,17:58,36,55,-7.9,,,skjeibr01,19-20
1355,1100,55.2,1.7,1063,855,55.4,3.2,10.4,91.0,101.4,52.8,47.2,19:17,81,49,18.0,293.0,49.5,slavija01,19-20
433,561,43.6,-4.0,331,407,44.9,-2.9,4.7,90.8,95.5,47.1,52.9,8:58,18,24,-7.8,87.0,51.7,smithbr05,19-20
850,701,54.8,5.2,667,525,56.0,5.8,9.6,93.6,103.1,51.3,48.7,11:02,26,26,8.0,280.0,65.7,smithcr01,19-20
1,0,100.0,47.8,1,0,100.0,48.2,100.0,,,50.0,50.0,1:26,0,0,0.1,0.0,,smithda03,19-20
15,25,37.5,-6.3,13,19,40.6,2.0,9.1,93.3,102.4,30.8,69.2,7:30,1,0,-0.6,1.0,100.0,smithge02,19-20
113,132,46.1,0.2,93,102,47.7,2.2,4.5,93.8,98.2,47.2,52.8,8:21,2,6,-0.7,28.0,78.6,smithgi01,19-20
1031,899,53.4,-1.5,769,693,52.6,-3.0,10.2,91.0,101.2,56.8,43.2,14:05,58,41,7.4,266.0,63.5,smithre01,19-20
406,487,45.5,-4.1,284,370,43.4,-5.9,7.9,94.4,102.3,41.5,58.5,10:21,21,14,-5.7,76.0,56.6,smithza01,19-20
155,195,44.3,-4.4,117,147,44.3,-3.8,9.8,94.3,104.1,39.8,60.2,12:36,3,3,-2.3,32.0,71.9,sobotvl01,19-20
795,921,46.3,-2.6,611,693,46.9,-1.8,8.3,93.9,102.2,46.0,54.0,12:33,28,24,-5.5,219.0,61.6,soderca01,19-20
673,711,48.6,-1.9,487,532,47.8,-2.6,7.4,90.1,97.5,45.8,54.2,11:47,28,18,-3.8,124.0,62.9,sorenma01,19-20
633,711,47.1,-3.6,487,524,48.2,-2.8,11.0,94.2,105.1,43.2,56.8,14:15,17,16,1.0,112.0,54.5,soucyca01,19-20
519,506,50.6,-1.2,385,385,50.0,-1.3,9.5,90.8,100.4,45.3,54.7,9:28,20,33,-0.2,132.0,55.3,spezzja01,19-20
118,91,56.5,7.6,96,69,58.2,9.0,6.6,88.2,94.8,41.9,58.1,11:19,1,0,0.4,31.0,54.8,spronda01,19-20
1103,1006,52.3,3.9,818,763,51.7,2.7,9.7,90.2,99.8,49.2,50.8,17:25,10,23,10.3,234.0,47.9,spurgja01,19-20
871,891,49.4,-0.6,635,677,48.4,-2.4,11.9,88.2,100.1,55.7,44.3,13:59,25,46,-0.7,232.0,48.7,staaler01,19-20
994,791,55.7,2.1,747,614,54.9,1.9,8.2,91.6,99.8,46.6,53.4,13:58,30,41,6.3,202.0,61.9,staaljo01,19-20
654,857,43.3,-5.4,513,640,44.5,-5.0,8.8,93.4,102.1,47.1,52.9,14:49,19,34,-5.0,87.0,52.9,staalma01,19-20
838,781,51.8,-0.8,626,608,50.7,-1.6,13.4,89.6,103.0,57.6,42.4,14:28,24,33,6.1,319.0,55.2,stamkst01,19-20
1049,810,56.4,2.6,789,600,56.8,2.8,8.0,90.2,98.2,52.4,47.6,13:43,41,18,16.4,200.0,68.0,stastpa01,19-20
975,1028,48.7,0.4,738,759,49.3,0.3,8.4,93.7,102.2,39.3,60.7,14:34,16,25,-3.4,177.0,48.6,stechtr01,19-20
772,810,48.8,1.2,590,641,47.9,-0.1,6.8,91.9,98.7,57.5,42.5,13:14,25,37,-8.9,168.0,50.6,steelsa01,19-20
537,569,48.6,-3.2,397,414,49.0,-2.6,11.0,90.9,101.9,47.7,52.3,11:18,16,12,1.8,115.0,61.7,steenal01,19-20
